"binominal","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","is_cd","trait"
"Lonicera_maackii",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Symphoricarpos_occidentalis",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Viburnum_dentatum",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Viburnum_tinus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Sambucus_williamsii",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Sambucus_canadensis",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Quintinia_serrata",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Ilex_macropoda",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Ilex_verticillata",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Ilex_opaca",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Ilex_pedunculosa",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Hedeoma_hispida",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Monarda_fistulosa",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Pycnanthemum_virginianum",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Clinopodium_nepeta",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Thymus_mastichina",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Thymus_hyemalis",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Thymus_dolomiticus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Prunella_vulgaris",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Agastache_foeniculum",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Salvia_chinensis",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Rosmarinus_officinalis",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Lavandula_multifida",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Teucrium_charidemi",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Teucrium_chamaedrys",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Teucrium_fruticans",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Lamium_album",0.00108560690150181,0.172868238996021,0.0811772438006209,-1.19006929695294,-1.14530846299267,0.234794057375483,"NMAM",TRUE,"logRD"
"Ballota_hirsuta",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Phlomoides_umbrosa",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Phlomis_purpurea",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Sideritis_pusilla",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Vitex_lucens",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Orthocarpus_luteus",0.000278739128544427,0.172868238996021,0.0812020276083795,-1.35938633420833,-1.35016151517776,0.234876062576449,"NM",TRUE,"logRD"
"Strobilanthes_villosum",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Strobilanthes_dimorphotricha",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Rungia_pectinata",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Handroanthus_guayacan",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Tanaecium_pyramidatum",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Catalpa_bignonioides",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Verbena_hastata",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Verbascum_thapsus",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
"Veronica_persica",0.00108560690150181,0.172868238996021,0.0811772438006209,-1.19006929695294,-1.1859300634217,0.234778514260571,"NMAM",TRUE,"logRD"
"Veronica_spuria",0.00108560690150181,0.172868238996021,0.0811772438006209,-1.19006929695294,-1.1859300634217,0.234778514260571,"NMAM",TRUE,"logRD"
"Veronicastrum_virginicum",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922490010909,0.234854998588939,"AM",TRUE,"logRD"
"Plantago_varia",0.00144219356824324,0.172868238996021,0.0811966955215729,-1.05922434558759,-1.05922434558759,0.234855054248867,"AM",TRUE,"logRD"
