Batrachium trichophyllum
Bauhinia brachycarpa
Bauhinia championii
Bauhinia petersiana
Bauhinia racemosa
Bauhinia variegata
Baumea articulata
Beckmannia eruciformis
Begonia fista
Beilschmiedia tarairi
Beilschmiedia tawa
Bellidiastrum michelii
Bellis perennis
Berberis heteropoda
Berberis koreana
Berberis oblonga
Berberis repens
Berberis thunbergii
Berberis vulgaris
Berberis wilsonae
Bernardia spongiosa
Berteroa incana
Berula erecta
Besseya plantaginea
Beta vulgaris
Betonica alopecuros
Betonica officinalis
Betula albo-sinensis
Betula alleghaniensis
Betula costata
Betula dahurica
Betula ermanii
Betula fruticosa
Betula glandulosa
Betula lenta
Betula lutea
Betula nana
Betula nigra
Betula papyrifera
Betula pendula
Betula platyphylla
Betula populifolia
Betula pubescens
Betula tortuosa
Betula utilis
Betula verrucosa
Bewsia biflora
Bidens frondosa
Bidens pilosa
Bidens tripartita
Biebersteinia multifida
Biophytum sensitivum
Biota orientalis
Biscutella laevigata
Biserrula pelecinus
Bistorta officinalis
Bistorta vivipara
Bituminaria bituminosa
Blastus cochinchinensis
Blastus pauciflorus
Blechnum chambersii
Blechnum discolor
Blechnum fluviatile
Blechnum novae-zelandiae
Blechnum orientale
Blechnum procerum
Blechnum spicant
Blepharoneuron tricholepis
Blumeodendron tokbrai
Blysmus compressus
Blysmus rufus
Bolboschoenus maritimus
Boltonia asteroides
Bombax ceiba
Borago officinalis
Boscia albitrunca
Boswellia serrata
Bothriochloa insculpta
Bothriochloa ischaemum
Bothriochloa macra
Botrychium lunaria
Botrychium matricariifolium
Botrychium multifidum
Botrychium simplex
Botrychium virginianum
Bougainvillea modesta
Bouteloua curtipendula
Bouteloua dactyloides
Bouteloua eriopoda
Bouteloua gracilils
Bouteloua gracilis
Bouteloua simplex
Bowdichia virgilioides
Brachiaria dictyoneura
Brachiaria eruciformis
Brachiaria humidicola
Brachiaria muctica
Brachiaria mutica
Brachiaria pubigera
Brachiaria ruziziensis
Brachyclados caespitosus
Brachyglottis bellidioides
Brachylaena discolor
Brachypodium  pinnatum
Brachypodium distachya
Brachypodium distachyon
Brachypodium phoenicoides
Brachypodium pinnatum
Brachypodium rupestre
Brachypodium sylvaticum
Brachystegia boehmii
Brachystegia florabunda
Brachystegia longifolia
Brachystegia spiciformis
Brachystegia utilis
Braciaria ramosa
Brassica juncea
Brassica napus
Brassica oleracea
Brassica rapa
Brauneria pallida
Briza elatior
Briza marcowiczii
Briza maxima
Briza media
Bromopsis inermis
Bromus adjaricus
Bromus anomalus
Bromus benekenii
Bromus brizaeformis
Bromus briziformis
Bromus catharticus
Bromus ciliatus
Bromus commutatus
Bromus danthoniae
Bromus diandrus
Bromus erectus
Bromus hordaceaus
Bromus hordaceous
Bromus hordeaceus
Bromus inermis
Bromus intermedius
Bromus japanicus
Bromus japonicus
Bromus kalmii
Bromus lanceolatus
Bromus madritensis
Bromus molliformis
Bromus ornans
Bromus porteri
Bromus racemosus
Bromus ramosus
Bromus riparia
Bromus riparius
Bromus scoparius
Bromus secalinus
Bromus sewerzowi
Bromus squarrosus
Bromus stamineus
Bromus sterilis
Bromus tectorum
Bromus tomentellus
Bromus turkestanica
Bromus unioloides
Bromus variegata
Bromus villosula
Brosimum alicastrum
Brosimum rubescens
Bruguiera sexangula
Bryonia cretica
Buchenavia capitata
Buchloe dactyloides
Buddleja davidii
Buglossoides purpurocaerulea
Bulbilis dactyloide
Bulbostylis barbata
Bulnesia arborea
Bunchosia argentea
Bunias orientalis
Bunium chaerophylloides
Buphthalmum salicifolium
Bupleurum longifolium
Bupleurum multinerve
Bupleurum nordmannianum
Bupleurum polyphyllum
Bupleurum ranunculoides
Burkea africana
Bursera simaruba
Butea frondosa
Butea monosperma
Butomus umbellatus
Buxus colchica
Buxus sempervirens
Byrsonima crassifolia
Byrsonima cydoniifolia
Byrsonima spicata
Cacalia hastata
Cadaba fruticosa
Caesalpinia bonduc
Caesalpinia coriaria
Caesalpinia eriostachys
Caesalpinia jamesii
Caesalpinia platyloba
Caesalpinia pluviosa
Caesalpinia pyramidalis
Caesalpinia sclerocarpa
Cakile maritima
Calamagrostis angustifolia
Calamagrostis anthoxanthoides
Calamagrostis arundinacea
Calamagrostis canadensis
Calamagrostis canescens
Calamagrostis epigeios
Calamagrostis epigejos
Calamagrostis glauca
Calamagrostis hedinii
Calamagrostis lapponica
Calamagrostis neglecta
Calamagrostis obtusata
Calamagrostis persica
Calamagrostis phragmitoides
Calamagrostis pseudophragmites
Calamagrostis purpuras
Calamagrostis purpurascens
Calamagrostis purpurea
Calamagrostis rivalis
Calamagrostis stricta
Calamagrostis varia
Calamagrostis villosa
Calamintha grandiflora
Calamintha nepeta
Calamovilfa longifolia
Calamus rhabdocladus
Caldesia parnassiifolia
Calendula officinalis
Calla cordifolia
Calla palustris
Calliandra calothyrsus
Calliandra eriophylla
Callicarpa americana
Callicarpa havilandii
Callicoma serratifolia
Calligonum aphyllum
Calligonum bykovii
Calligonum caput-medusae
Calligonum leucocladum
Calligonum mongolicum
Calligonum murex
Calligonum polygonoides
Calligonum roborovskii
Callistemon citrinus
Callistephus chinensis
Callitriche cophocarpa
Callitriche hamulata
Callitriche obtusangula
Callitriche palustris
Callitriche platycarpa
Callitriche stagnalis
Callitriche truncata
Calluna vulgaris
Calocedrus decurrens
Calophyllum longifolium
Calotropis gigantea
Calotropis procera
Calpurnia aurea
Caltha palustris
Calycogonium squamulosum
Calypso bulbosa
Calyptranthes pallens
Calystegia hederacea
Calystegia pulchra
Calystegia sepium
Calystegia soldanella
Camelina microcarpa
Camellia chekiangoleosa
Camellia cuspidata
Camellia fraterna
Camellia oleifera
Cameraria retusa
Campanula altaica
Campanula annae
Campanula arvatica
Campanula aucheri
Campanula barbata
Campanula bellidifolia
Campanula bononiensis
Campanula carnica
Campanula cespitosa
Campanula circassica
Campanula collina
Campanula darialica
Campanula glomerata
Campanula grossheimii
Campanula hohenackeri
Campanula latifolia
Campanula ochroleuca
Campanula patula
Campanula persicifolia
Campanula rapunculoides
Campanula rotundifolia
Campanula saxifraga
Campanula sibirica
Campanula trachelium
Campanula trautvetteri
Campanula tridentata
Camphorosma monspeliacum
Canarium album
Canarium tonkinense
Cannabis sativa
Capparis aphylla
Capparis prisca
Capparis yco
Capsella bursa-pastoris
Capsicum annuum
Capsicum anuum
Capsicum baccattum
Caragana arborescens
Caragana korshinskii
Caragana microphylia
Caragana microphylla
Caragana pygmaea
Caragana spinosa
Caragana stenophylla
Carallia brachiata
Carapa guianensis
Cardamine amara
Cardamine bellidifolia
Cardamine microphylla
Cardamine oligosperma
Cardamine pratensis
Cardamine trifida
Cardamine trifolia
Cardamine uliginosa
Cardiospermum halicacabum
Carduus defloratus
Carduus nutans
Carduus personata
Carduus thoermeri
Carex acuta
Carex acutiformis
Carex alba
Carex albonigra
Carex annectens
Carex appropinquata
Carex aquatilis
Carex arenaria
Carex aristata
Carex arnellii
Carex atherodes
Carex atrata
Carex atrofusca
Carex baccans
Carex baldensis
Carex bigelowii
Carex binervis
Carex bohemica
Carex bostrychostigma
Carex brachystachys
Carex brizoides
Carex brunnescens
Carex buekii
Carex buschiorum
Carex buxbaumii
Carex canescens
Carex capillaris
Carex capitata
Carex cariophyllea
Carex caryophyllea
Carex caucasica
Carex cespitosa
Carex chordorrhiza
Carex colchica
Carex concolor
Carex contigua
Carex crinata
Carex crinita
Carex curvata
Carex curvula
Carex davalliana
Carex demissa
Carex depauperata
Carex diandra
Carex digitata
Carex diluta
Carex dioica
Carex distans
Carex disticha
Carex divisa
Carex divulsa
Carex doisutepensis
Carex duriuscula
Carex echinata
Carex elata
Carex eleocharis
Carex elongata
Carex enervis
Carex ericetorum
Carex extensa
Carex ferruginea
Carex filifolia
Carex firma
Carex flacca
Carex flava
Carex frigida
Carex fritschii
Carex fuliginosa
Carex fusca
Carex gaudichaudiana
Carex geophila
Carex geophylla
Carex geyeri
Carex globularis
Carex goodenoughii
Carex griffithii
Carex halleriana
Carex hartmanii
Carex heleonastes
Carex hirta
Carex hordeistichos
Carex hostiana
Carex huetiana
Carex humilis
Carex hyperborea
Carex interior
Carex juncella
Carex laevigata
Carex lasiocarpa
Carex laxa
Carex leporina
Carex limosa
Carex liparocarpos
Carex loliacea
Carex lupulina
Carex lurida
Carex magell-anica
Carex magellanica
Carex medwedewii
Carex meinshauseniana
Carex melanantha
Carex melanostachya
Carex meyeriana
Carex michelii
Carex microglochin
Carex mollissima
Carex montana
Carex moorcroftii
Carex mucronata
Carex muricata
Carex myosurus
Carex nardina
Carex nebrascensi
Carex nigra
Carex norvegica
Carex obtusata
Carex oederi
Carex orbicularis
Carex oreophila
Carex ornithopoda
Carex otrubae
Carex pachystylis
Carex pallescens
Carex panicea
