genus,count
Blennospora,3
Sonnea,2
Hymenothrix,12
Synurus,4
Aphanactis,11
Conoclinium,4
Hyaloseris,8
Actinobole,5
Picrosia,2
Nicolletia,3
Heterolepis,4
Doellia,1
Neurolaena,12
Campuloclinium,15
Piqueriopsis,1
Callilepis,5
Haastia,5
Pyrrocoma,15
Leptorhynchos,8
Rhagadiolus,2
Telmatophila,1
Phanerostylis,5
Myrovernix,6
Pseudobahia,3
Oligothrix,1
Idiothamnus,4
Bajacalia,2
Hatschbachiella,2
Podolepis,22
Rhaponticoides,13
Stenocephalum,5
Criscia,1
Cyanthillium,9
Erodiophyllum,2
Heliocauta,1
Catatia,2
Blakeanthus,2
Phania,6
Aetheolaena,2
Chucoa,2
Handelia,1
Raillardella,3
Xerochrysum,13
Eutetras,2
Pterocaulon,27
Erato,4
Facelis,3
Eriochlamys,4
Myriocephalus,13
Coreocarpus,6
Lepidostephium,2
Eclipta,9
Jessea,4
Leucochrysum,6
Poecilolepis,2
Stenophalium,5
Msuata,1
Anastraphia,12
Eucephalus,10
Sclerorhachis,3
Canadanthus,1
Arnaldoa,4
Nouelia,1
Anemocarpa,3
Sheareria,1
Abrotanella,18
Crupina,5
Pittocaulon,2
Symphipappus,1
Steirodiscus,6
Amolinia,1
Syncephalum,5
Ellenbergia,1
Warionia,1
Idiopappus,1
Oocephala,2
Ischnea,5
Wahlenbergia,265
Ancistrocarphus,2
Solenogyne,3
Antillanthus,4
Florestina,8
Praxeliopsis,1
Rafinesquia,2
Endocellion,1
Tomentaurum,2
Nicolasia,7
Lepidesmia,1
Petasites,18
Leonis,1
Miyamayomena,5
Corymbium,9
Echinacea,10
Haeckeria,4
Gyptis,8
Aldama,46
Adenocritonia,3
Oresbia,1
Catananche,5
Chrysactinium,7
Xanthisma,11
Pentalepis,6
Berlandiera,8
Ewartia,5
Linzia,10
Micropus,4
Pasaccardoa,4
Schoenia,5
Dolichoglottis,2
Grangeopsis,1
Pacifigeron,2
Calanticaria,4
Anisocoma,1
Imeria,2
Pseudohandelia,1
Commidendrum,5
Epaltes,10
Monoptilon,2
Eitenia,2
Chrysanthoglossum,2
Talamancalia,4
Chiliotrichiopsis,3
Sachsia,2
Blepharizonia,2
Hinterhubera,8
Himalaiella,14
Heteroderis,1
Espejoa,1
Trianthema,32
Camptacra,2
Uropappus,1
Diodontium,1
Tetradymia,7
Erythradenia,1
Struchium,2
Nanothamnus,1
Leptocarpha,1
Hazardia,10
Heptanthus,6
Hymenonema,3
Arctogeron,1
Amblyocarpum,1
Steyermarkina,4
Robinsonia,7
Lachnospermum,4
Riencourtia,5
Galeana,2
Stokesia,1
Piptothrix,5
Cymbonotus,3
Pseudoblepharispermum,2
Pseudopodospermum,39
Lagenocypsela,2
Ageratella,2
Lachnophyllum,2
Catamixis,1
Glossopappus,1
Harleya,1
Rochonia,2
Hilliardiella,11
Garcibarrigoa,2
Blepharipappus,1
Musilia,1
Scolymus,3
Isocarpha,5
Chrysanthellum,12
Helianthella,10
Hololepis,2
Schizogyne,3
Humbertacalia,8
Pityopsis,7
Centaurodendron,2
Chamaechaenactis,1
Polyarrhena,4
Tetrachyron,8
Oncosiphon,12
Planaltoa,2
Alfredia,8
Eleutheranthera,2
Oiospermum,1
Adelostigma,2
Podotheca,6
Cousiniopsis,1
Iphionopsis,3
Ageratinastrum,6
Norlindhia,3
Adenoon,1
Garhadiolus,3
Adenoglossa,1
Artemisiopsis,1
Bolandia,2
Thespidium,1
Neotysonia,1
Jefea,4
Marshallia,11
Gymnocoronis,4
Cabobanthus,2
Edmondia,3
Grangea,8
Cavea,1
Austrobrickellia,3
Buphthalmum,3
Bishopiella,1
Pseudoclappia,2
Urospermum,3
Baileya,3
Inuloides,1
Hasteola,2
Engelmannia,2
Dillandia,2
Zyrphelis,11
Chthonocephalus,6
Engleria,2
Dasyanthina,2
Jalcophila,4
Villanova,4
Pycnosorus,7
Gyptidium,2
Vieraea,1
Kyhosia,1
Cymophora,5
Bombycilaena,2
Syreitschikovia,3
Brenandendron,3
Nikitinia,1
Paranephelius,7
Alomia,5
Campovassouria,2
Heteromera,2
Crossothamnus,4
Anthemimatricaria,3
Scalesia,10
Stephanodoria,1
Marshalljohnstonia,1
Ferreyrella,2
Pleurocoronis,3
Taplinia,1
Cancrinia,12
Hoehnephytum,3
Plateilema,1
Chaetadelpha,1
Troglophyton,6
Hidalgoa,3
Balduina,3
Phalacrocarpum,3
Gyrodoma,1
Calorezia,1
Corethamnium,1
Chacoa,1
Coleocoma,1
Cyclolepis,1
Oxylobus,8
Heteroplexis,2
Peteravenia,6
Duidaea,4
Nothocalais,4
Polyachyrus,7
Dasyandantha,1
Soroseris,7
Mairia,3
Varilla,2
Arnoseris,1
Croptilon,3
Diaperia,4
Hofmeisteria,12
Bejaranoa,2
Cavalcantia,2
Psilactis,5
Wunderlichia,7
Pseudonoseris,5
Nananthea,1
Dasycondylus,8
Ameghinoa,1
Shawia,2
Capparis,143
