"names","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Eschweilera_decolorans",0.00272499346128372,0.0742104934692123,0.0254658535965713,-0.91125376302142,-0.911253078407345,0.171577619640674,"AM","RD",FALSE
"Eschweilera_pedicellata",0.00272499346363438,0.0742104934692122,0.0254658536067382,-0.911253763081539,-0.911253078434675,0.171577619661331,"AM","RD",FALSE
"Eschweilera_wachenheimii",0.00272499308703834,0.0742104934692122,0.0254658535965713,-0.911253546560141,-0.911252861690802,0.171577619631905,"AM","RD",FALSE
"Eschweilera_ovata",0.00272499630571771,0.0742104990951991,0.0254659598061701,-0.911254125953314,-0.911252861690802,0.171577619631905,"AM","RD",FALSE
"Eschweilera_coriacea",0.00272499179838123,0.0742104934692122,0.0254658536067382,-0.91125279990913,-0.911252114347739,0.17157761966134,"AM","RD",FALSE
"Eschweilera_parviflora",0.00272499179838123,0.0742104934692122,0.0254658536067382,-0.91125279990913,-0.911252114347739,0.17157761966134,"AM","RD",FALSE
"Eschweilera_truncata",0.00272499179838123,0.0742104934692122,0.0254658536067382,-0.91125279990913,-0.91125211434774,0.17157761966134,"AM","RD",FALSE
"Eschweilera_albiflora",0.00272499179838123,0.0742104934692122,0.0254658536067382,-0.91125279990913,-0.91125211434774,0.17157761966134,"AM","RD",FALSE
"Eschweilera_atropetiolata",0.0027250442581805,0.0742105822534617,0.0254675297118839,-0.911262906548251,-0.911253078441608,0.171577619664496,"AM","RD",FALSE
"Eschweilera_grandiflora",0.00272498966025212,0.0742104868212023,0.0254657281030116,-0.911253078435311,-0.911253078780042,0.171577619669345,"AM","RD",FALSE
"Corythophora_alta",0.0027249886738108,0.0742104882772851,0.0254657592788798,-0.911252278543687,-0.911252127620957,0.171577630321849,"NMAM","RD",FALSE
"Allantoma_lineata",0.0027249895061242,0.0742104868213749,0.0254657317936332,-0.91125309177895,-0.911253091470688,0.171577630316774,"AM","RD",FALSE
"Grias_peruviana",0.00272498884421736,0.0742104882778453,0.0254657555918993,-0.911252275751294,-0.911252124781027,0.171577619631905,"AM","RD",FALSE
"Barringtonia_fusicarpa",0.00272499179838123,0.0742104934692122,0.0254658536067382,-0.91125279990913,-0.911252114347739,0.17157761966134,"AM","RD",FALSE
"Barringtonia_racemosa",0.00272499263141967,0.0742104949252949,0.0254658810952416,-0.911252949864043,-0.911252114347739,0.17157761966134,"AM","RD",FALSE
"Pouteria_austin-smithii",0.0027250138327507,0.0742105293464269,0.0254665345881588,-0.911257471168182,-0.911253091704783,0.171577630297395,"AM","RD",FALSE
"Pouteria_cuspidata",0.0027250442555811,0.0742105822534617,0.0254675297006502,-0.911262906480593,-0.911253078375039,0.171577619631905,"AM","RD",FALSE
"Pouteria_caimito",0.00272499991443786,0.074210507655412,0.0254661214194089,-0.911254260877206,-0.91125211434774,0.17157761966134,"AM","RD",FALSE
"Chromolucuma_rubriflora",0.00272499991704115,0.074210507655412,0.0254661214306684,-0.911254260943786,-0.911252114363988,0.171577619675292,"AM","RD",FALSE
"Chrysophyllum_sanguinolentum",0.00272498966024602,0.0742104868212023,0.0254657281029857,-0.911253078435087,-0.911253078435229,0.171577619661334,"AM","RD",FALSE
"Micropholis_trunciflora",0.00272499429432216,0.074210494925295,0.0254658810850747,-0.911253912976334,-0.911253078376398,0.171577619631918,"AM","RD",FALSE
"Micropholis_mensalis",0.00272499991443786,0.0742105076554121,0.0254661214194089,-0.911254260877206,-0.911252114956637,0.171577619661334,"AM","RD",FALSE
"Micropholis_cylindrocarpa",0.00272499991443786,0.0742105076554121,0.025466121419409,-0.911254260877206,-0.911252114956637,0.171577619661334,"AM","RD",FALSE
"Micropholis_venulosa",0.00272499991469049,0.0742105076554121,0.0254661214205016,-0.911254260883667,-0.911252114389767,0.171577619675329,"AM","RD",FALSE
"Micropholis_egensis",0.00272499991469049,0.0742105076554121,0.0254661214205016,-0.911254260883667,-0.911252114389767,0.171577619675329,"AM","RD",FALSE
"Micropholis_casiquiarensis",0.00272504425824413,0.0742105822540157,0.0254675297212502,-0.911262906598421,-0.911253078434996,0.171577619661333,"AM","RD",FALSE
"Micropholis_guyanensis",0.00272500142311974,0.0742105076554122,0.0254661250966335,-0.911255237315526,-0.911253091553454,0.171577630291106,"AM","RD",FALSE
"Planchonella_grandifolia",0.00272498964202988,0.0742104868212023,0.0254657281029857,-0.911253067898981,-0.911253068700999,0.171577619661332,"AM","RD",FALSE
"Madhuca_endertii",0.00272499997105171,0.0742105077543684,0.0254661232875461,-0.911254271068242,-0.911252114956635,0.171577619661334,"AM","RD",FALSE
"Payena_microphylla",0.00272499991443786,0.0742105076554121,0.0254661214194089,-0.911254260877206,-0.911252114956635,0.171577619661334,"AM","RD",FALSE
"Polyspora_axillaris",0.00272498784077233,0.0742104868212023,0.0254657317903755,-0.911252128588768,-0.911252128278045,0.171577630321841,"AM","RD",FALSE
"Gordonia_fruticosa",0.00272498784077233,0.0742104868212023,0.0254657317903755,-0.911252128588768,-0.911252128278045,0.171577630321841,"AM","RD",FALSE
"Schima_superba",0.0027249891293864,0.0742104868212023,0.0254657317802085,-0.91125287521489,-0.911252875031407,0.171577630295396,"AM","RD",FALSE
"Schima_wallichii",0.00272498913173695,0.0742104868212023,0.0254657317903755,-0.911252875274942,-0.911252875072433,0.171577630321841,"AM","RD",FALSE
