Genus_species,mycorrhizal state
Cicer_arietinum,AM
Cicerbita_alpina,AMNM
Cichorium_endivia,AM
Cichorium_intybus,AMNM
Cicuta_virosa,NM
Cinna_arundinacea,AM
Cinnamomum_burmannii,AM
Circaea_alpina,AM
Circaea_lutetiana,AM
Cirsium_arvense,AM
Cirsium_canum,AM
Cirsium_helenioides,AM
Cirsium_heterophyllum,AM
Cirsium_oleraceum,AMNM
Cirsium_palustre,AMNM
Cirsium_setosum,AM
Cirsium_vulgare,AMNM
Cistus_ladanifer,EM
Cistus_monspeliensis,EM
Citrullus_lanatus,AM
Citrus_aurantium,AM
Citrus_jambhiri,AM
Citrus_limon,AM
Citrus_reticulata,AM
Citrus_trifoliata,AM
Citrus_x,AM
Cladium_jamaicense,AM
Cladium_mariscus,AMNM
Claytonia_perfoliata,NM
Claytonia_sibirica,AM
Cleistanthus_sumatranus,AMNM
Cleistogenes_squarrosa,NM
Clematis_orientalis,AM
Clematis_recta,AM
Clematis_stans,AM
Clematis_terniflora,AM
Clematis_vitalba,AM
Clermontia_fauriei,AM
Clerodendrum_japonicum,AM
Clethra_barbinervis,AM
Clidemia_hirta,AM
Climacoptera_crassa,NM
Clinopodium_vulgare,AMNM
Clivia_nobilis,AM
Clusia_grandiflora,AM
Clusia_minor,AM
Coccoloba_uvifera,EM
Cocculus_orbiculatus,AM
Cochlearia_anglica,AMNM
Cochlearia_danica,AM
Cochlearia_officinalis,AMNM
Cochlospermum_vitifolium,AM
Cocos_nucifera,AM
Coffea_arabica,AM
Coincya_monensis,NM
Colchicum_autumnale,AM
Colebrookea_oppositifolia,AM
Colletia_hystrix,AM
Collinsonia_canadensis,AM
Colobanthus_apetalus,AM
Colocasia_esculenta,AM
Comarum_palustre,AMNM
Comastoma_tenellum,AM
Commelina_communis,AMNM
Comptonia_peregrina,AM
Conium_maculatum,AM
Conoclinium_coelestinum,AM
Conospermum_taxifolium,AM
Consolida_ajacis,AM
Consolida_regalis,AM
Convallaria_majalis,AMNM
Convolvulus_arvensis,AMNM
Convolvulus_tricolor,AM
Conyza_bonariensis,AMNM
Conyza_canadensis,AMNM
Copaifera_langsdorffii,AM
Coprosma_ernodeoides,AM
Coprosma_robusta,AM
Corchorus_olitorius,AM
Corchorus_tridens,AM
Cordia_alliodora,AM
Cordia_trichotoma,AM
Coreopsis_tinctoria,AM
Coriandrum_sativum,AM
Coriaria_nepalensis,AM
Cornus_alba,AMNM
Cornus_florida,AM
Cornus_sericea,AM
Cornus_suecica,AM
Coronilla_scorpioides,AM
Cortusa_matthioli,AM
Corylus_avellana,EM
Corylus_colurna,EM
Corylus_heterophylla,EM
Corylus_mandshurica,EM
Corymbia_citriodora,EM
Corymbia_torelliana,EM
Corynephorus_canescens,AMNM
Cosmos_bipinnatus,NM
Costus_scaber,AM
Costus_spiralis,AM
Cota_tinctoria,AM
Cotinus_coggygria,AM
Cotoneaster_dammeri,AM
Cotoneaster_integerrimus,AM
Cotoneaster_melanocarpus,AM
Cotoneaster_multiflorus,AM
Cotoneaster_submultiflorus,AM
Coula_edulis,AM
Couratari_guianensis,AM
Cousinia_astracanica,AM
Cousinia_microcarpa,AM
Crassocephalum_crepidioides,AM
Crassula_moschata,NM
Crassula_rupestris,AM
Crataegus_laevigata,AM
Crataegus_maximowiczii,AMNM
Crataegus_monogyna,AM
Crataegus_pinnatifida,AMNM
Cratoxylum_arborescens,AM
Crepis_aurea,AM
Crepis_biennis,AM
Crepis_capillaris,AM
Crepis_foetida,AM
Crepis_mollis,AM
Crepis_multicaulis,AM
Crepis_paludosa,AMNM
Crepis_praemorsa,AM
Crepis_setosa,AM
Crepis_tectorum,AMNM
Crinum_asiaticum,AM
Crocus_vernus,AM
Crotalaria_goreensis,AM
Crotalaria_incana,AM
Crotalaria_ochroleuca,AM
Croton_ciliatoglandulifer,AM
Croton_floribundus,AM
Croton_kongensis,AM
Croton_punctatus,AM
Croton_urucurana,AM
Cruciata_laevipes,AMNM
Cruciata_taurica,AM
Cryptocarya_mackinnoniana,AM
Ctenolepis_cerasiformis,AM
Cucumis_melo,AM
Cucumis_sativus,AM
Cucurbita_pepo,AM
Cullen_discolor,AM
Cullen_pallidum,AM
Cuphea_carthagenensis,AM
Cupressus_funebris,AM
Cupressus_sempervirens,AM
Cupressus_torulosa,AM
Cycas_circinalis,AM
Cycas_revoluta,AM
Cyclamen_hederifolium,AM
Cyclamen_persicum,AM
Cyclamen_purpurascens,AM
Cydonia_oblonga,AM
Cylicodiscus_gabunensis,AM
Cymbalaria_muralis,AM
Cynara_cardunculus,AM
Cynodon_dactylon,AM
Cynoglossum_creticum,AM
Cynoglossum_officinale,AM
Cynosurus_cristatus,AM
