source, https://besjournals.onlinelibrary.wiley.com/doi/10.1111/1365-2745.13412
phylo.name,photosynthetic.pathway,avg.RGR,leaf.N,leaf.C,SLA,LDMC,leaf.PC1,leaf.PC2,root.N,root.C,SRL,SRA,root.avg.diam.mm,root.PC1,root.PC2
Leptochloa_panicoides,C4,0.03008598,0.726121682,3.709186495,5.647945447,3.238249904,0.047412831,0.349517384,0.086049514,3.814208389,9.619045012,7.228145579,-1.214612539,-0.179089011,0.060118839
Leptochloa_virgata,C4,0.106343215,0.977511009,3.736570586,5.746145259,3.119102226,-0.110821561,-0.150454175,-0.166757874,3.740056199,9.722491284,7.19476891,-1.339601633,-0.174163186,0.202877578
Leymus_karelinii,C3,-0.02293635,1.466424803,3.750348271,5.26947836,2.962821479,0.133123511,-0.651469726,0.389749125,3.652256548,8.856388173,6.700832362,-0.954641823,0.812658268,1.182547806
Lintonia_nutans,C4,0.136429361,0.850817262,3.728624422,5.889278604,2.948024223,-0.403758735,0.013136893,-0.246610361,3.79503994,9.074677827,6.789806054,-1.118620781,0.430638227,-0.240574062
Loudetiopsis_kerstingii,C4,0.139883665,1.030381985,3.760449381,5.500517403,3.141894412,0.189252617,-0.324269513,0.659612302,3.838569354,9.904327851,7.096786364,-1.643641234,-0.695804292,0.44282576
Melinis_repens,C4,0.029617162,1.027302067,3.729639908,5.609840445,2.953622033,-0.173050393,-0.111367458,0.021223053,3.731051588,9.190226172,6.850980991,-1.177655496,0.351135277,0.387818128
Muhlenbergia_rigens,C4,0.174663839,1.180289523,3.755635676,5.431795254,2.98601973,0.067548747,-0.426833667,NA,NA,NA,NA,NA,NA,NA
Oryza_barthii,C3,0.038565346,0.795239771,3.709685325,4.891633565,3.473323315,0.93253875,0.462953912,0.065250209,3.82075766,9.900927622,7.425723462,-1.311372435,-0.488028191,0.031805201
Oryza_eichingeri,C3,0.120799029,0.745123946,3.589993094,5.456387864,3.635216246,0.249901041,1.269964914,NA,NA,NA,NA,NA,NA,NA
Oryza_glaberrima,C3,0.019591893,0.989746575,3.67642288,5.126289549,3.536109882,0.660314089,0.442205694,0.05477287,3.810829005,9.832085792,7.358915707,-1.258869073,-0.364746185,0.070257209
Oryza_grandiglumis,C3,0.014913809,0.878981089,3.686117594,5.805534618,3.293962722,-0.127927767,0.316825642,-0.121612482,3.817178713,10.10067524,7.46995165,-1.466312069,-0.693624908,-0.13829479
Oxychloris_scariosa,C4,0.102460597,0.900377772,3.753442592,5.680590932,3.019656567,-0.087205952,-0.175231584,-0.00916013,3.79076064,9.051934557,6.853028622,-0.997297446,0.481792325,0.042655428
