"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state","trait","cd"
"Salix_atrocinerea2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.21694560642662,1.39216505270551,"EcMAM","SRL",TRUE
"Salix_pierotii2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.21694563065119,1.3921650527055,"EcMAM","SRL",TRUE
"Salix_viminalis2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.21694563065119,1.3921650527055,"EcMAM","SRL",TRUE
"Salix_caprea2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.21694563065119,1.3921650527055,"EcMAM","SRL",TRUE
"Salix_raddeana2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.21694563065119,1.3921650527055,"EcMAM","SRL",TRUE
"Populus_grandidentata2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_alba2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_tremula2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_tremuloides2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_cathayana2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_koreana2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_balsamifera2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_trichocarpa2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Populus_deltoides2",0.00101726103394391,0.0621609763162446,0.172946239349867,4.25592932126059,4.2166551587302,1.39216505270551,"EcMAM","SRL",TRUE
"Dovyalis_abyssinica2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.73355282847173,1.39216505270551,"AM","SRL",TRUE
"Viola_adunca2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Viola_thomasiana2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Melicytus_ramiflorus2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Antidesma_maclurei2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Aporosa_subcaudata2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Aporosa_octandra2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Aporosa_yunnanensis2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Carallia_brachiata2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Galearia_maingayi2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Euphorbia_cyparissias2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Aleurites_moluccana2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Endospermum_chinense2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Macaranga_sampsonii2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Mallotus_paniculatus2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Blumeodendron_tokbrai2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Alchornea_tiliifolia2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Alchornea_trewioides2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Linum_lewisii2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Elaeocarpus_dentatus2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Elaeocarpus_hookerianus2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Elaeocarpus_dubius2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Elaeocarpus_sylvestris2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Elaeocarpus_glabripetalus2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Aristotelia_serrata2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Weinmannia_racemosa2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Weinmannia_blumei2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Leiospermum_racemosum2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Weinmannia_silvicola2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Caldcluvia_rosifolia2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Prionostemma_aspera2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Euonymus_alatus2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Euonymus_verrucosus2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Maytenus_arbutifolia2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Maytenus_schippii2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Microtropis_discolor2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Alliaria_petiolata2",0.00102750095599097,0.0621609763162446,0.100023883568246,4.97429322005656,4.94470501537158,0.792845110506204,"NM","SRL",TRUE
"Draba_nemorosa2",0.00102750095599097,0.0621609763162446,0.100023883568246,4.97429322005656,4.94470501537158,0.792845110506204,"NM","SRL",TRUE
"Berteroa_incana2",0.00102750095599097,0.0621609763162446,0.100023883568246,4.97429322005656,4.94470501537158,0.792845110506204,"NM","SRL",TRUE
"Hesperis_matronalis2",0.00102750095599097,0.0621609763162446,0.100023883568246,4.97429322005656,4.94470501537158,0.792845110506204,"NM","SRL",TRUE
"Erysimum_inconspicuum2",0.00102750095599097,0.0621609763162446,0.100023883568246,4.97429322005656,4.94470501537158,0.792845110506204,"NM","SRL",TRUE
"Lepidium_densiflorum2",0.00102750095599097,0.0621609763162446,0.100023883568246,4.97429322005656,4.94470501537158,0.792845110506204,"NM","SRL",TRUE
"Descurainia_sophia2",0.00102750095599097,0.0621609763162446,0.100023883568246,4.97429322005656,4.94470501537158,0.792845110506204,"NM","SRL",TRUE
"Microcos_paniculata2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.39216505270551,"AM","SRL",TRUE
"Sphaeralcea_coccinea2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Sida_acuta2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Hoheria_lyallii2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Hoheria_sexstylosa2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
"Plagianthus_regius2",0.00135875827463024,0.0621609763162446,0.172946239349867,3.72733326984992,3.72733326985605,1.3921650527055,"AM","SRL",TRUE
