binominal,F00679,F00727
Acer pictum,0.360535308,91.57193025
Platycladus orientalis,0.33,21.39
Platycladus orientalis,0.34,21.16
Platycladus orientalis,0.35,22.12
Platycladus orientalis,0.34,18.51
Platycladus orientalis,0.35,18.17
Platycladus orientalis,0.35,18.49
Juglans mandshurica,0.252000148,144.2696858
Juglans mandshurica,0.303000162,80.89891871
Fraxinus mandshurica,0.279000212,126.0674546
Fraxinus mandshurica,0.303000212,105.168591
Phellodendron amurense,0.507000078,27.64053705
Phellodendron amurense,0.525000064,25.61807058
Larix gmelinii,0.324000221,43.82031734
Larix gmelinii,0.396000169,35.05627963
Pinus koraiensis,0.594000007,21.57314475
Pinus koraiensis,0.701999916,14.83157706
Picea koraiensis,0.336000219,57.97762273
Picea koraiensis,0.378000186,45.16864313
Larix gmelinii,0.351530183,32.48785382
Juglans mandshurica,0.292235989,94.82928822
Juglans mandshurica,0.296592052,94.78409231
Juglans mandshurica,0.2638846,80.750822
Larix gmelinii,0.350878012,31.81988097
Larix gmelinii,0.330827979,44.07054803
Acer saccharum,0.26,58.0
Juniperus monosperma,0.4,21.0
Liriodendron tulipifera,0.62,11.0
Picea glauca,0.23,39.0
Pinus edulis,0.38,20.0
Pinus elliottii,0.24,35.0
Pinus resinosa,0.25,32.0
Populus balsamifera,0.16,90.0
Quercus alba,0.16,81.0
Acer saccharum,0.07029462,60.68
Aesculus hippocastanum,0.09204845,19.4575
Aesculus parviflora,0.05444722,43.2
Asimina triloba,0.17697552,13.54666667
Catalpa bignonioides,0.14620989,37.2625
Cercidiphyllum japonicum,0.05889539,27.3525
Chionanthus virginicus,0.10320651,13.8825
Cornus florida,0.03740209,39.045
Diospyros virginiana,0.07677239,24.38
Fraxinus americana,0.13193054,38.9325
Gleditsia triacanthos,0.18058055,20.165
Halesia tetraptera,0.09352183,50.52666667
Hamamelis virginiana,0.04246862,24.295
Ilex opaca,0.09411828,44.4675
Juglans nigra,0.0534852,31.23
Koelreuteria paniculata,0.13930004,97.54
Liquidambar styraciflua,0.12212971,31.7225
Liriodendron tulipifera,0.06005206,15.1875
Magnolia acuminata,0.10065245,12.3825
Magnolia denudata,0.18879751,20.9
Magnolia grandiflora,0.12586501,9.09
Magnolia kobus,0.2333452,27.32
Magnolia macrophylla,0.19940411,12.9
Magnolia stellata,0.13506912,31.1625
Magnolia tripetala,0.18597379,17.9975
Magnolia virginiana,0.10884048,20.13
Nyssa aquatica,0.18002592,13.57333333
Platanus acerifolia,0.2820609,23.93
Populus deltoides,0.16859122,87.255
Prunus sargentii,0.04215448,81.44333333
Sassafras albidum,0.21953796,20.51333333
Styphnolobium japonicum,0.0869885,36.8175
Syringa reticulata,0.06142204,89.92
Ulmus americana,0.07658111,71.77
Mallotus paniculatus,0.2358,97.12113636
Blastus cochinchinesis,0.2030833,205.3856606
Sarcandra glabra,0.4829167,29.1342253
Machilus breviflora,0.6759,10.73371901
Cinnamomum tenuifolium,0.57465,20.0281388
Alchornea trewioides,0.2543,92.55217391
Cryptocarya chinensis,0.5575333,19.84454398
