F00679,F00727,F00261,F00709,F00043,F00056,F00645,F00004,F01286,F01287,F01289,F01290
0.424,37.2625294,27.365875,0.111,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Catalpa,bignonioides,Bignoniaceae,Lamiales
0.5875,18.1318374,25.69725,0.13,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Catalpa,bignonioides,Bignoniaceae,Lamiales
1.31165,4.15536732,11.416,0.21,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Catalpa,bignonioides,Bignoniaceae,Lamiales
0.368,27.3518018,12.418875,0.16,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
0.4915,13.9390737,9.514625,0.21,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
1.135475,3.08808931,6.90675,0.36,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Cercidiphyllum,japonicum,Cercidiphyllaceae,Saxifragales
0.71025,13.8829073,17.741875,0.164,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Chionanthus,virginicus,Oleaceae,Lamiales
0.88025,8.33126731,14.721875,0.18,C3,2.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Chionanthus,virginicus,Oleaceae,Lamiales
1.352675,2.73147098,11.838375,0.28,C3,3.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Chionanthus,virginicus,Oleaceae,Lamiales
0.49175,39.0481292,16.490875,0.121,C3,1.0,AM," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",Cornus,florida,Cornaceae,Cornales
