binominal,F01286,F01287,F01289,F01290,F00004,F00043,F00645
Ilex opaca,Ilex,opaca,Aquifoliaceae,Aquifoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Juglans nigra,Juglans,nigra,Juglandaceae,Fagales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Koelreuteria paniculata,Koelreuteria,paniculata,Sapindaceae,Sapindales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia stellata,Magnolia,stellata,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae,Magnoliales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Nyssa sylvatica,Nyssa,sylvatica,Cornaceae,Cornales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Platanus occidentalis,Platanus,occidentalis,Platanaceae,Proteales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
Populus deltoides,Populus,deltoides,Salicaceae,Malpighiales," Valverde-Barrantes OJ, Smemo KA, Blackwood CB. 2014. Fine root morphology is phylogenetically structured, but nitrogen is related to the plant economics spectrum in temperate trees. Functional Ecology 29: 796-807.",C3,AM
