binominal,F01286,F01287,F00679,F00727
Prunus alabamensis,Prunus,alabamensis,0.1935,143.1475794
Prunus armeniaca,Prunus,armeniaca,0.443,33.74603524
Prunus avium,Prunus,avium,0.2005625,142.0840804
Prunus padus,Prunus,padus,0.1471,246.2047059
Prunus persica,Prunus,persica,0.1465,76.26136809666667
Prunus sargentii,Prunus,sargentii,0.15857724,81.442719665
Prunus sibirica,Prunus,sibirica,0.228423742,110.1123957
Psychotria asiatica,Psychotria,asiatica,0.20865,87.78890000000001
Pteridium aquilinum,Pteridium,aquilinum,0.2511,109.2390984
Pterospermum acerifolium,Pterospermum,acerifolium,0.28074,25.66
Pyrus betulifolia,Pyrus,betulifolia,0.476089015,17.68724614
Quercus alba,Quercus,alba,0.16999999999999998,73.07000000000001
Quercus aliena,Quercus,aliena,0.17469222550000002,101.25977734
Quercus asymmetrica,Quercus,asymmetrica,0.34704,45.18
Quercus mongolica,Quercus,mongolica,0.218030525,99.19425233000001
Quercus multinervis,Quercus,multinervis,0.231575,77.13546392
Quercus oxyodon,Quercus,oxyodon,0.181225,173.8745652
Quercus robur,Quercus,robur,0.23131508383333332,36.08750965666667
Quercus rubra,Quercus,rubra,0.16666666666666666,64.19666666666667
Quercus serrata,Quercus,serrata,0.1831875,128.324
Quercus variabilis,Quercus,variabilis,0.13962585,80.16390306
Quercus wutaishanica,Quercus,wutaishanica,0.28783354033333336,55.25902850333333
Rhamnus davurica,Rhamnus,davurica,0.1805,180.7463913
Rhaphiolepis indica,Rhaphiolepis,indica,0.14481,86.79
Rhododendron hypoglaucum,Rhododendron,hypoglaucum,0.142675,163.4402532
Rhodoleia championii,Rhodoleia,championii,0.305,46.556
Rosa acicularis,Rosa,acicularis,0.2912,55.8341358
Rosa xanthina,Rosa,xanthina,0.1844,186.3612731
Rubus crataegifolius,Rubus,crataegifolius,0.1511,283.6918182
Rubus idaeus,Rubus,idaeus,0.18105,171.7289074
Rubus irritans,Rubus,irritans,0.177,192.6685185
Rubus rosifolius,Rubus,rosifolius,0.1182833,319.4613514
Salix caprea,Salix,caprea,0.114778325,126.5460541
Salix gordejevii,Salix,gordejevii,0.14,191.69
Salix pierotii,Salix,pierotii,0.223677975,170.7865423
Salix raddeana,Salix,raddeana,0.1209,331.0473003
Salix viminalis,Salix,viminalis,0.1407333,318.6970162
Salvia chinensis,Salvia,chinensis,0.1592,329.3590909
Sambucus williamsii,Sambucus,williamsii,0.3187065215,128.8462327
Sanguisorba officinalis,Sanguisorba,officinalis,0.396125,49.53
Sanicula orthacantha,Sanicula,orthacantha,0.194725,151.7144068
Saprosma ternatum,Saprosma,ternatum,0.14506,116.95
Sarcandra glabra,Sarcandra,glabra,0.50064585,30.488125795000002
