binominal,F01286,F01287,F01289,F01290,F00056,F00004,F00679,F00727
Alangium_chinense,Alangium,chinense,Cornaceae,Cornales,1.0,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",-2.3735441819345398,5.135268885097667
Alchemilla_alpina,Alchemilla,alpina,Rosaceae,Rosales,,"Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.",-0.9834994815676051,3.8146306594194965
Alchornea_tiliifolia,Alchornea,tiliifolia,Euphorbiaceae,Malpighiales,1.0,"Chen W, Zeng H, Eissenstat DM, Guo D. 2013. Variation of first-order root traits across climatic gradients and evolutionary trends in geological time. Global Ecology and Biogeography 22: 846-856.",-1.8971199848858813,5.63645607098297
Alchornea_trewioides,Alchornea,trewioides,Euphorbiaceae,Malpighiales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.369240606554063,4.527772527776599
Alectryon_excelsus,Alectryon,excelsus,Sapindaceae,Sapindales,,"Kramer-Walter KR, Bellingham PJ, Millar TR, Smissen RD, Richardson SJ, Laughlin DC. 2016. Root traits are multidimensional: specific root length is independent from root tissue density and the plant economic spectrum. Journal of Ecology 104: 1299-1310.",-0.7658791767260443,3.6063919629954304
Aleurites_moluccana,Aleurites,moluccana,Euphorbiaceae,Malpighiales,,"Rajab YA, Holscher D, Leuschner C, Barus H, Tjoa A, Hertel D. 2018. Effects of shade tree cover and diversity on root system structure and dynamics in cacao agroforests: The role of root competition and space partitioning. Plant Soil 422: 349-369.",-0.05129329438755058,2.0980179272527715
Alliaria_petiolata,Alliaria,petiolata,Brassicaceae,Brassicales,,"Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090",-1.7885645783315358,6.239676908885172
Allium_bidentatum,Allium,bidentatum,Amaryllidaceae,Asparagales,,"Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.",-0.6931471805599453,3.362629788512897
Allium_tenuissimum,Allium,tenuissimum,Amaryllidaceae,Asparagales,,"Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.",-0.916290731874155,3.887935209899056
Allium_textile,Allium,textile,Amaryllidaceae,Asparagales,,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.168659288052703,5.23566960080539
Allophylus_abyssinicus,Allophylus,abyssinicus,Sapindaceae,Sapindales,,"Assefa D, Godbold DL, Belay B, Abiya A, Rewald B. 2018. Fine root morphology, biochemistry and litter quality indices of fast- and slow-growing woody species in Ethiopian highland forest. Ecosystems 21: 482-494.",-0.5978370007556204,2.3561258599220753
Allophylus_cobbe,Allophylus,cobbe,Sapindaceae,Sapindales,1.0,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",-1.8568101214823827,4.318421011584911
Alniphyllum_fortunei,Alniphyllum,fortunei,Styracaceae,Ericales,1.0,"<StringArray>
[                                                                                                                'Liu B, Li H, Zhu B, Koide RT, Eissenstat DM, Guo D. 2015. Complementarity between roots and AM fungi in nutrient foraging strategies. New Phytologist 208: 125-136.',
                                                                                                 'Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.',
 'Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.']
Length: 3, dtype: str",-1.2536037968925091,4.480711519573874
Alnus_formosana,Alnus,formosana,Betulaceae,Fagales,1.0,"Miao Y, Chen YL, Li XW, Fan C, Liu YK, Yang ZJ, Zhang J, Cai XL. 2013. Effects of fertilization on Alnus formosana fine root morphological characteristics, biomass and issue content of C, N under A. formosana-Hemarthria compressa compound mode. Chinese Journal of Plant Ecology 37: 674-683.",-1.2321424604362348,5.312971321708953
Alnus_glutinosa,Alnus,glutinosa,Betulaceae,Fagales,,"de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.",-0.9526305986530476,3.2857469622150157
Alnus_hirsuta,Alnus,hirsuta,Betulaceae,Fagales,1.0,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",-1.4116079229593492,4.243669755378868
Alnus_mandshurica,Alnus,mandshurica,Betulaceae,Fagales,1.0,"Shi W, Wang ZQ, Liu JL, Gu JC, Guo DL. 2008. Fine root morphology of twenty hardwood species in Maoershan Natural Secondary Forest in Northeastern China. Journal of Plant Ecology (Chinese Version) 32: 1217-1226.",-1.6251807227509556,4.691245507264235
Alopecurus_pratensis,Alopecurus,pratensis,Poaceae,Poales,,"Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.",-1.5141277326297755,5.4785534168509695
Alpinia_japonica,Alpinia,japonica,Zingiberaceae,Zingiberales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.7781524658218382,5.505626207959451
Alseis_blackiana,Alseis,blackiana,Rubiaceae,Gentianales,,"Collins CG, Wright SJ, Wurzburger N. 2016. Root and leaf traits reflect distinct resource acquisition strategies in tropical lianas and trees. Oecologia 180: 1037-1047.",-0.4266678815496418,2.549350172624313
Alstonia_scholaris,Alstonia,scholaris,Apocynaceae,Gentianales,1.0,"Kong D, Ma C, Zhang Q, Li L, Chen X, Zeng H, Guo D. 2014. Leading dimensions in absorptive root trait variation across 96 subtropical forest species. New Phytologist 203: 863-872.",-0.6468362776966949,3.248822901236153
Alternanthera_sessilis,Alternanthera,sessilis,Amaranthaceae,Caryophyllales,,"Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.",-1.2310014767138553,3.82929335782915
Altingia_gracilipes,Altingia,gracilipes,Altingiaceae,Saxifragales,1.0,"Xiong D, Huang J, Yang Z, Lu Z, Chen G, Yang Y. 2012. Fine root architecture and morphology among different branch orders of six subtropical tree species. Acta Ecologica Sinica 32: 1888-1897.",-0.8076354230135604,2.566897930067926
Altingia_obovata,Altingia,obovata,Altingiaceae,Saxifragales,1.0,"Xu Y, Gu JC, Dong XY, Liu Y, Wang ZQ. 2011. Fine root morphology, anatomy and tissue nitrogen and carbon contents of the first five orders in four tropical hardwood species in Hainan Island, China. Chinese Journal of Plant Ecology 35:955-964.",-1.1718990345819649,3.918454412918559
Ambrosia_artemisiifolia,Ambrosia,artemisiifolia,Asteraceae,Asterales,,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.0216512475319814,4.859812404361672
Amelanchier_alnifolia,Amelanchier,alnifolia,Rosaceae,Rosales,,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-0.9779888454580034,3.038581000863127
Anaphalis_aureopunctata,Anaphalis,aureopunctata,Asteraceae,Asterales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.98813938327305,6.172024135880895
Anaphalis_hancockii,Anaphalis,hancockii,Asteraceae,Asterales,1.0,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.7220468568167546,5.7678769869239215
