binominal,F01286,F01287,F01289,F01290,F00679,F00727,F00261,F00709
Garcinia cowa,Garcinia,cowa,Clusiaceae,Malpighiales,0.29289,87.27,19.3,0.47
Eriobotrya japonica,Eriobotrya,japonica,Rosaceae,Rosales,0.31884,46.15,16.18,0.39
Rhaphiolepis indica,Rhaphiolepis,indica,Rosaceae,Rosales,0.14481,86.79,12.7,0.53
Archidendron lucidum,Archidendron,lucidum,Fabaceae,Fabales,0.26056,58.89,22.59,0.31
Acacia crassicarpa,Acacia,crassicarpa,Fabaceae,Fabales,0.22593,108.28,20.7,0.36
Acacia mangium,Acacia,mangium,Fabaceae,Fabales,0.25255,99.19,24.86,0.29
Acacia auriculiformis,Acacia,auriculiformis,Fabaceae,Fabales,0.38313,93.62,23.35,0.25
Archidendron clypearia,Archidendron,clypearia,Fabaceae,Fabales,0.27083,70.33,24.78,0.41
Millettia leptobotrya,Millettia,leptobotrya,Fabaceae,Fabales,0.34158,25.62,31.22,0.43
Carallia brachiata,Carallia,brachiata,Rhizophoraceae,Malpighiales,0.21426,109.24,16.92,0.21
Alangium chinense,Alangium,chinense,Cornaceae,Cornales,0.09315,169.91,18.73,0.32
Microcos paniculata,Microcos,paniculata,Malvaceae,Malvales,0.11685,115.38,15.79,0.52
Acer fabri,Acer,fabri,Sapindaceae,Sapindales,0.18574,67.16,15.42,0.53
Decaspermum gracilentum,Decaspermum,gracilentum,Myrtaceae,Myrtales,0.15535,63.99,14.13,0.42
Adiantum pedatum,Adiantum,pedatum,Pteridaceae,Polypodiales,0.36842516,210.1911064,16.3492098,0.050704322
Athyrium multidentatum,Athyrium,multidentatum,Athyriaceae,Polypodiales,0.223407236,136.9427611,10.31747311,0.097183429
Athyrium sinense,Athyrium,sinense,Athyriaceae,Polypodiales,0.265480361,116.2421463,9.841285275,0.105634186
Cystopteris sudetica,Cystopteris,sudetica,Cystopteridaceae,Polypodiales,0.339810499,251.5923562,16.50794771,0.046479318
Equisetum hyemale,Equisetum,hyemale,Equisetaceae,Equisetales,0.478689502,85.98739783,17.301598,0.067606073
Equisetum pratense,Equisetum,pratense,Equisetaceae,Equisetales,0.243316685,254.7770675,19.52381846,0.038028636
Matteuccia struthiopteris,Matteuccia,struthiopteris,Onocleaceae,Polypodiales,0.214458722,261.1464891,22.85714904,0.050704686
Onoclea sensibilis,Onoclea,sensibilis,Onocleaceae,Polypodiales,0.250080285,148.0892597,11.90477724,0.067606083
Athyrium spinulosum,Athyrium,spinulosum,Athyriaceae,Polypodiales,0.17606237,235.6688042,17.46032823,0.054930039
