binominal,state,F00679,F00727,F01286,F01287,F01289,F01290
Fraxinus_mandshurica,AM,0.2748168275333333,103.60824795533334,Fraxinus,mandshurica,Oleaceae,Lamiales
Galium_aparine,NMAM,0.1891,240.5986667,Galium,aparine,Rubiaceae,Gentianales
Garcinia_cowa,AM,0.29289,87.27,Garcinia,cowa,Clusiaceae,Malpighiales
Garcinia_oblongifolia,AM,0.19019,90.87,Garcinia,oblongifolia,Clusiaceae,Malpighiales
Ginkgo_biloba,AM,0.677,19.926,Ginkgo,biloba,Ginkgoaceae,Ginkgoales
Gironniera_subaequalis,AM,0.1249,67.58,Gironniera,subaequalis,Cannabaceae,Rosales
Gleditsia_triacanthos,AM,0.379290275,20.16580475,Gleditsia,triacanthos,Fabaceae,Fabales
Goniothalamus_griffithii,AM,0.614634146,16.58542002,Goniothalamus,griffithii,Annonaceae,Magnoliales
Gordonia_axillaris,AM,0.54176,16.33,Gordonia,axillaris,Theaceae,Ericales
Halesia_tetraptera,AM,0.22442758,50.525798735,Halesia,tetraptera,Styracaceae,Ericales
Hamamelis_virginiana,AM,0.26510931,24.294909850000003,Hamamelis,virginiana,Hamamelidaceae,Saxifragales
Helicia_formosana,NM,0.18426,97.81,Helicia,formosana,Proteaceae,Proteales
Hosta_ventricosa,AM,0.40705,60.45922807,Hosta,ventricosa,Asparagaceae,Asparagales
Ilex_opaca,AM,0.22143414,44.46771745,Ilex,opaca,Aquifoliaceae,Aquifoliales
Iris_japonica,AM,0.4238,68.55555556,Iris,japonica,Iridaceae,Asparagales
Itea_chinensis,AM,0.11926,110.33,Itea,chinensis,Iteaceae,Saxifragales
Juglans_mandshurica,AM,0.2581569033846154,109.1548591223077,Juglans,mandshurica,Juglandaceae,Fagales
Juglans_nigra,AM,0.26609704,24.60819736,Juglans,nigra,Juglandaceae,Fagales
Juniperus_monosperma,AM,0.4,21.0,Juniperus,monosperma,Cupressaceae,Pinales
Juniperus_sabina,AM,0.3998,38.21711538,Juniperus,sabina,Cupressaceae,Pinales
Knema_erratica,AM,0.848165138,4.774158719,Knema,erratica,Myristicaceae,Magnoliales
Koelreuteria_paniculata,AM,0.24690002,97.53809795,Koelreuteria,paniculata,Sapindaceae,Sapindales
Lamium_album,NMAM,0.1354,327.7189189,Lamium,album,Lamiaceae,Lamiales
Larix_gmelinii,EcM,0.3399907495555555,37.31887145055556,Larix,gmelinii,Pinaceae,Pinales
Lespedeza_bicolor,AM,0.2449,138.6036364,Lespedeza,bicolor,Fabaceae,Fabales
Lespedeza_thunbergii,AM,0.2289,116.4530579,Lespedeza,thunbergii,Fabaceae,Fabales
Lindera_communis,AM,0.395,38.76733436,Lindera,communis,Lauraceae,Laurales
Lindera_obtusiloba,AM,0.261375,92.51081301,Lindera,obtusiloba,Lauraceae,Laurales
Liquidambar_formosana,AM,0.27378335,71.455758425,Liquidambar,formosana,Altingiaceae,Saxifragales
Liquidambar_styraciflua,AM,0.299814855,31.72214725,Liquidambar,styraciflua,Altingiaceae,Saxifragales
Liriodendron_chinense,AM,0.558055,21.192,Liriodendron,chinense,Magnoliaceae,Magnoliales
Liriodendron_tulipifera,AM,0.5745604120000001,11.8251194,Liriodendron,tulipifera,Magnoliaceae,Magnoliales
Lithocarpus_chiungchungensis,EcM,0.21954,75.71,Lithocarpus,chiungchungensis,Fagaceae,Fagales
Lithocarpus_cleistocarpus,EcM,0.274125,68.80162393,Lithocarpus,cleistocarpus,Fagaceae,Fagales
Lithocarpus_fenestratus,EcM,0.595625,13.835,Lithocarpus,fenestratus,Fagaceae,Fagales
Litsea_baviensis,AM,0.70594,13.02,Litsea,baviensis,Lauraceae,Laurales
Litsea_cubeba,AM,0.40593,39.99,Litsea,cubeba,Lauraceae,Laurales
Litsea_elongata,AM,0.3189333,48.22580247,Litsea,elongata,Lauraceae,Laurales
Litsea_ichangensis,AM,0.4037375,61.46794831,Litsea,ichangensis,Lauraceae,Laurales
Litsea_verticillata,AM,0.52339,15.59,Litsea,verticillata,Lauraceae,Laurales
Lonicera_chrysantha,AM,0.253525,171.05046295,Lonicera,chrysantha,Caprifoliaceae,Dipsacales
Macaranga_sampsonii,AM,0.138946515,113.26702005,Macaranga,sampsonii,Euphorbiaceae,Malpighiales
Machilus_breviflora,AM,0.559169136,19.589081725,Machilus,breviflora,Lauraceae,Laurales
Machilus_kwangtungensis,AM,0.42593,32.3,Machilus,kwangtungensis,Lauraceae,Laurales
Machilus_nanmu,AM,0.48080415,28.339731095,Machilus,nanmu,Lauraceae,Laurales
Machilus_oculodracontis,AM,0.47,27.7,Machilus,oculodracontis,Lauraceae,Laurales
Machilus_robusta,AM,0.47895,18.0,Machilus,robusta,Lauraceae,Laurales
Machilus_shweliensis,AM,0.400120192,37.169,Machilus,shweliensis,Lauraceae,Laurales
Machilus_velutina,AM,0.45361,21.78,Machilus,velutina,Lauraceae,Laurales
Macropanax_undulatus,AM,0.2637,28.7,Macropanax,undulatus,Araliaceae,Apiales
Magnolia_acuminata,AM,0.541701225,12.3825478,Magnolia,acuminata,Magnoliaceae,Magnoliales
Magnolia_baillonii,AM,0.57475,19.33,Magnolia,baillonii,Magnoliaceae,Magnoliales
Magnolia_balansae,AM,0.58004,20.16,Magnolia,balansae,Magnoliaceae,Magnoliales
Magnolia_cavaleriei,AM,0.74241,15.4,Magnolia,cavaleriei,Magnoliaceae,Magnoliales
Magnolia_champaca,AM,0.46352,19.9,Magnolia,champaca,Magnoliaceae,Magnoliales
Magnolia_championii,AM,0.543,31.403,Magnolia,championii,Magnoliaceae,Magnoliales
Magnolia_chapensis,AM,0.60676665,23.247184685,Magnolia,chapensis,Magnoliaceae,Magnoliales
Magnolia_dandyi,AM,0.6237,17.69,Magnolia,dandyi,Magnoliaceae,Magnoliales
Magnolia_denudata,AM,0.496648755,20.900724,Magnolia,denudata,Magnoliaceae,Magnoliales
Magnolia_ernestii,AM,0.7408049999999999,15.899,Magnolia,ernestii,Magnoliaceae,Magnoliales
Magnolia_fulva,AM,0.66407,19.39,Magnolia,fulva,Magnoliaceae,Magnoliales
Magnolia_grandiflora,AM,0.352837505,9.415,Magnolia,grandiflora,Magnoliaceae,Magnoliales
Magnolia_kobus,AM,0.4374226,27.3223821,Magnolia,kobus,Magnoliaceae,Magnoliales
Magnolia_lotungensis,AM,0.69685,12.01,Magnolia,lotungensis,Magnoliaceae,Magnoliales
Magnolia_macclurei,AM,0.520244524,22.4083889,Magnolia,macclurei,Magnoliaceae,Magnoliales
Magnolia_macrophylla,AM,0.19940411,12.9,Magnolia,macrophylla,Magnoliaceae,Magnoliales
Magnolia_maudiae,AM,0.60317,20.65447826,Magnolia,maudiae,Magnoliaceae,Magnoliales
Magnolia_odora,AM,0.566552686,20.3519985075,Magnolia,odora,Magnoliaceae,Magnoliales
Magnolia_opipara,AM,0.56288,12.67,Magnolia,opipara,Magnoliaceae,Magnoliales
Magnolia_stellata,AM,0.43328456,31.164053350000003,Magnolia,stellata,Magnoliaceae,Magnoliales
Magnolia_tripetala,AM,0.507611895,17.9969887,Magnolia,tripetala,Magnoliaceae,Magnoliales
Magnolia_virginiana,AM,0.10884048,20.13,Magnolia,virginiana,Magnoliaceae,Magnoliales
Magnolia_yunnanensis,AM,0.72074,17.24,Magnolia,yunnanensis,Magnoliaceae,Magnoliales
Magnolia_yuyuanensis,AM,0.51,35.8,Magnolia,yuyuanensis,Magnoliaceae,Magnoliales
Mallotus_paniculatus,AM,0.2358,97.12113636,Mallotus,paniculatus,Euphorbiaceae,Malpighiales
Malus_baccata,AM,0.235897436,71.42969735,Malus,baccata,Rosaceae,Rosales
Malus_domestica,AM,0.1845,56.39758845333333,Malus,domestica,Rosaceae,Rosales
Manglietia_paruicula,AM,0.50389,21.82,Manglietia,paruicula,Magnoliaceae,Magnoliales
Matteuccia_struthiopteris,AM,0.2529793609999999,178.45521084,Matteuccia,struthiopteris,Onocleaceae,Polypodiales
Melicope_pteleifolia,AM,0.25397,97.19,Melicope,pteleifolia,Rutaceae,Sapindales
Memecylon_nigrescens,AM,0.20275974,88.05012329,Memecylon,nigrescens,Melastomataceae,Myrtales
Microcos_paniculata,AM,0.11685,115.38,Microcos,paniculata,Malvaceae,Malvales
Microtropis_discolor,AM,0.45889,79.59,Microtropis,discolor,Celastraceae,Celastrales
Millettia_leptobotrya,AM,0.34158,25.62,Millettia,leptobotrya,Fabaceae,Fabales
Myrsine_seguinii,AM,0.282291667,56.47293753,Myrsine,seguinii,Primulaceae,Ericales
Nabalus_tatarinowii,AM,0.1784,342.7914286,Nabalus,tatarinowii,Asteraceae,Asterales
Neolitsea_phanerophlebia,AM,0.52,36.8,Neolitsea,phanerophlebia,Lauraceae,Laurales
Nephelium_lappaceum,AM,0.15885,58.45,Nephelium,lappaceum,Sapindaceae,Sapindales
Nyssa_aquatica,AM,0.18002592,13.57333333,Nyssa,aquatica,Cornaceae,Cornales
Nyssa_sylvatica,AM,0.87833333,13.5728051,Nyssa,sylvatica,Cornaceae,Cornales
Ocotea_lancifolia,AM,0.3488102469999999,33.968189655,Ocotea,lancifolia,Lauraceae,Laurales
Olea_rosea,AM,0.39436,28.91,Olea,rosea,Oleaceae,Lamiales
Onoclea_sensibilis,AM,0.250080285,148.0892597,Onoclea,sensibilis,Onocleaceae,Polypodiales
Oreocnide_frutescens,NMAM,0.2392,94.0809434,Oreocnide,frutescens,Urticaceae,Rosales
Orophea_creaghii,AM,0.39934,45.31,Orophea,creaghii,Annonaceae,Magnoliales
Osmanthus_didymopetalus,AM,0.71949,4.42,Osmanthus,didymopetalus,Oleaceae,Lamiales
Osmunda_japonica,AM,0.418775,23.52217391,Osmunda,japonica,Osmundaceae,Osmundales
Parthenocissus_quinquefolia,AM,0.1757667,152.6108108,Parthenocissus,quinquefolia,Vitaceae,Vitales
Pentaphylax_euryoides,AM,0.12066,97.84,Pentaphylax,euryoides,Pentaphylacaceae,Ericales
Pertusadina_metcalfii,AM,0.15444,99.96,Pertusadina,metcalfii,Rubiaceae,Gentianales
Phellodendron_amurense,AM,0.4984083738571429,36.43878731428571,Phellodendron,amurense,Rutaceae,Sapindales
Philadelphus_incanus,AM,0.1901999999999999,176.7733599,Philadelphus,incanus,Hydrangeaceae,Cornales
Phlomoides_umbrosa,AM,0.24455,122.8399898,Phlomoides,umbrosa,Lamiaceae,Lamiales
