binominal,state,F00679,F00727,F01286,F01287,F01289,F01290
Deutzia_glabrata,AM,0.184,214.6035484,Deutzia,glabrata,Hydrangeaceae,Cornales
Deutzia_grandiflora,AM,0.328375,156.31638565,Deutzia,grandiflora,Hydrangeaceae,Cornales
Dicranopteris_linearis,AM,0.1968,75.1,Dicranopteris,linearis,Gleicheniaceae,Gleicheniales
Dicranopteris_pedata,AM,0.20445,80.98027027,Dicranopteris,pedata,Gleicheniaceae,Gleicheniales
Dioscorea_nipponica,AM,0.2018,264.2472414,Dioscorea,nipponica,Dioscoreaceae,Dioscoreales
Diospyros_strigosa,AM,0.356122449,40.00319502,Diospyros,strigosa,Ebenaceae,Ericales
Diospyros_virginiana,AM,0.373386195,24.38063865,Diospyros,virginiana,Ebenaceae,Ericales
Diplospora_dubia,AM,0.3013,83.34823529,Diplospora,dubia,Rubiaceae,Gentianales
Doellingeria_scabra,AM,0.2113,219.2008,Doellingeria,scabra,Asteraceae,Asterales
Dryopteris_lepidopoda,AM,0.1998667,122.6113953,Dryopteris,lepidopoda,Dryopteridaceae,Polypodiales
Dryopteris_sparsa,AM,0.19875415,189.9133206,Dryopteris,sparsa,Dryopteridaceae,Polypodiales
Duchesnea_indica,AM,0.1938,204.2005085,Duchesnea,indica,Rosaceae,Rosales
Dysoxylum_excelsum,AM,0.886523438,9.100844511,Dysoxylum,excelsum,Meliaceae,Sapindales
Elaeocarpus_dubius,AM,0.29794,58.391206895,Elaeocarpus,dubius,Elaeocarpaceae,Oxalidales
Elaeocarpus_glabripetalus,AM,0.28,76.7,Elaeocarpus,glabripetalus,Elaeocarpaceae,Oxalidales
Elaeocarpus_sylvestris,AM,0.2349721265,89.815946135,Elaeocarpus,sylvestris,Elaeocarpaceae,Oxalidales
Eleutherococcus_senticosus,AM,0.2245,193.1835714,Eleutherococcus,senticosus,Araliaceae,Apiales
Embelia_vestita,NM,0.20785,96.43036364,Embelia,vestita,Primulaceae,Ericales
Endospermum_chinense,AM,0.621321739,28.44631994,Endospermum,chinense,Euphorbiaceae,Malpighiales
Engelhardia_roxburghiana,EcM,0.1765,106.585,Engelhardia,roxburghiana,Juglandaceae,Fagales
Equisetum_hyemale,NMAM,0.478689502,85.98739783,Equisetum,hyemale,Equisetaceae,Equisetales
Equisetum_pratense,NMAM,0.243316685,254.7770675,Equisetum,pratense,Equisetaceae,Equisetales
Eriobotrya_japonica,AM,0.31884,46.15,Eriobotrya,japonica,Rosaceae,Rosales
Eucalyptus_urophylla,EcMAM,0.14444,106.21,Eucalyptus,urophylla,Myrtaceae,Myrtales
Euonymus_alatus,AM,0.2247355833333333,107.19515355666664,Euonymus,alatus,Celastraceae,Celastrales
Euonymus_verrucosus,AM,0.233333604,185.4772787,Euonymus,verrucosus,Celastraceae,Celastrales
Euptelea_pleiosperma,AM,0.3194083,60.28073226,Euptelea,pleiosperma,Eupteleaceae,Ranunculales
Eurya_japonica,AM,0.175657895,126.8491646,Eurya,japonica,Pentaphylacaceae,Ericales
Fagus_engleriana,EcM,0.184175,93.53339118,Fagus,engleriana,Fagaceae,Fagales
Ficus_variolosa,AM,0.13292,143.45,Ficus,variolosa,Moraceae,Rosales
Filipendula_palmata,AM,0.183,220.6077778,Filipendula,palmata,Rosaceae,Rosales
Fraxinus_americana,AM,0.22671527,38.93199325,Fraxinus,americana,Oleaceae,Lamiales
Fraxinus_chinensis,AM,0.3675190476666667,43.62895822,Fraxinus,chinensis,Oleaceae,Lamiales
Fraxinus_excelsior,AM,0.373682861,32.82298012,Fraxinus,excelsior,Oleaceae,Lamiales
