"binominal","F01286","F01287","F01289","F01290","F00056","F00004","F00679","F00727","state"
"Leontopodium_nanum","Leontopodium","nanum","Asteraceae","Asterales",NA,"Hong J, Ma X, Yan Y, Zhang X, Wang X. 2017. Which root traits determine nitrogen uptake by alpine plant species on the Tibetan Plateau? Plant Soil, in press. ",-1.6094379124341,-0.967373522103471,"AM"
"Inula_conyza","Inula","conyza","Asteraceae","Asterales",NA,"<StringArray>
[                                                                    'Birouste M, Kazakou E, Blanchard A, Roumet C. 2012. Plant traits and decomposition: are the relationships for roots comparable to those for leaves? Annals of Botany 109: 463-472. ',
                                                                      'Roumet C, Lafont F, Sari M, Warembourg F, Garnier E. 2008. Root traits and taxonomic affiliation of nine herbaceous species grown in glasshouse conditions. Plant Soil 312:69-83. ',
 'Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.']
Length: 3, dtype: str",-0.881889305156823,5.10891077003085,"AM"
"Haplopappus_spinulosus","Haplopappus","spinulosus","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.15106414867053,4.75115187600315,"AM"
"Symphyotrichum_oolentangiense","Symphyotrichum","oolentangiense","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.04982212449868,4.46590811865458,"AM"
"Symphyotrichum_falcatum","Symphyotrichum","falcatum","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.16738375609532,4.13519143659285,"AM"
"Symphyotrichum_ciliolatum","Symphyotrichum","ciliolatum","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.74068619904405,4.71076309414069,"AM"
"Symphyotrichum_puniceum","Symphyotrichum","puniceum","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.27296567581289,4.95582705760126,"AM"
"Symphyotrichum_laeve","Symphyotrichum","laeve","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.20397280432594,4.48863636973214,"AM"
"Symphyotrichum_novae-angliae","Symphyotrichum","novae-angliae","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.776528789498996,3.95124371858143,"AM"
"Symphyotrichum_ericoides","Symphyotrichum","ericoides","Asteraceae","Asterales",NA,"<StringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285', 'Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 2, dtype: str",-1.11993807538286,4.49149744149952,"AM"
"Heterotheca_villosa","Heterotheca","villosa","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.51640304646691,4.64999026646069,"AM"
"Solidago_ptarmicoides","Solidago","ptarmicoides","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.941608539858445,3.52636052461616,"AM"
"Solidago_nemoralis","Solidago","nemoralis","Asteraceae","Asterales",NA,"<StringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285', 'Comas - Pasture species']
Length: 2, dtype: str",-1.00287038388861,5.76465718112043,"AM"
"Solidago_decurrens","Solidago","decurrens","Asteraceae","Asterales",1,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.39341968606248,5.31263315491084,"AM"
"Solidago_speciosa","Solidago","speciosa","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-0.967584026261706,3.8286413964891,"AM"
"Solidago_rigida","Solidago","rigida","Asteraceae","Asterales",NA,"<StringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285',
                                                         'Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.',
                                                                                                                                                                                          'Craine J. Unpublished data.']
Length: 3, dtype: str",-0.729036753247427,3.58669647122897,"AM"
"Solidago_missouriensis","Solidago","missouriensis","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.1278866303424,4.60729495806029,"AM"
"Solidago_canadensis","Solidago","canadensis","Asteraceae","Asterales",NA,"Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090",-1.58133648232323,6.04642149012161,"AM"
"Gutierrezia_sarothrae","Gutierrezia","sarothrae","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.32388310099849,4.43871541663599,"AM"
"Erigeron_glabellus","Erigeron","glabellus","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.18471498881144,3.98110572821168,"AM"
"Erigeron_pumilus","Erigeron","pumilus","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.69472350671646,4.43738608281715,"AM"
"Erigeron_canadensis","Erigeron","canadensis","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.04982212449868,4.77912349311153,"AM"
"Doellingeria_umbellata","Doellingeria","umbellata","Asteraceae","Asterales",NA,"Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090",-1.03761126711071,4.74494147830215,"AM"
"Aster_lanceolatus","Aster","lanceolatus","Asteraceae","Asterales",NA,"Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285",-1.02165124753198,4.21950770517611,"AM"
"Aster_laevis","Aster","laevis","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.05526548416474,3.52701927612115,"AM"
"Aster_tataricus","Aster","tataricus","Asteraceae","Asterales",1,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.62455155024415,5.69410244060289,"AM"
"Doellingeria_scabra","Doellingeria","scabra","Asteraceae","Asterales",1,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.55447635436013,5.38998820470224,"AM"
"Olearia_avicenniaefolia","Olearia","avicenniaefolia","Asteraceae","Asterales",NA,"Holdaway RJ, Richardson SJ, Dickie IA, Peltzer DA, Coomes DA. 2011. Species- and community-level patterns in fine root traits along a 120 000-year soil chronosequence in temperate rain forest. Journal of Ecology 99: 954-963.",-0.7339691750802,2.98568193770049,"AM"
"Olearia_rani","Olearia","rani","Asteraceae","Asterales",NA,"Kramer-Walter KR, Bellingham PJ, Millar TR, Smissen RD, Richardson SJ, Laughlin DC. 2016. Root traits are multidimensional: specific root length is independent from root tissue density and the plant economic spectrum. Journal of Ecology 104: 1299-1310.",-0.621695113153306,3.80891799302419,"AM"
"Artemisia_igniaria","Artemisia","igniaria","Asteraceae","Asterales",1,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.78856457833154,5.3188690127693,"AM"
"Artemisia_codonocephala","Artemisia","codonocephala","Asteraceae","Asterales",NA,"Roumet C, Birouste M, Picon-Cochard C, Ghestem M, Osman N, Vrignon-Brenas S, Cao K-F, Stokes A. 2016. Root structure-function relationships in 74 species: evidence of root economics spectrum related to carbon economy. New Phytologist 210: 815-826.",-0.556869562267398,2.50634193050807,"AM"
"Artemisia_barrelieri","Artemisia","barrelieri","Asteraceae","Asterales",NA,"de la Riva, Navarro-Fernandez, Perez-Ramos, Villar, Maranon. Unpublished.",-0.856019113532587,1.6239199287813,"AM"
"Artemisia_halodendron","Artemisia","halodendron","Asteraceae","Asterales",1,"Huang G, Zhao  X-Y, Zhao H-L, Huang Y-X, Zuo X-A. 2010. Linking root morphology, longevity and function to root branch order: a case study in three shrubs. Plant Soil 336: 197-208.",-1.02165124753198,2.79239134953596,"AM"
"Artemisia_frigida","Artemisia","frigida","Asteraceae","Asterales",NA,"<StringArray>
['Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.', 'Zhou M, Wang J, Bai W, Zhang Y, Zhang W-H. 2019. The response of root traits to precipitation change of herbaceous species in temperate steppes. Functional Ecology, in press.']
Length: 2, dtype: str",-1.1719503009068,4.16399364532301,"AM"
"Artemisia_mongolica","Artemisia","mongolica","Asteraceae","Asterales",1,"Wang R, Wang Q, Zhao N, Xu Z, Zhu X, Jiao C, Yu G, He N. 2018. Different phylogenetic and environmental controls of first-order root morphological and nutrient traits: Evidence of multidimensional root traits. Special Focus on Functional Traits Along A Transect 32(1): 29-39.",-1.79516526236289,5.27643036558358,"AM"
"Artemisia_ludoviciana","Artemisia","ludoviciana","Asteraceae","Asterales",NA,"<StringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285', 'Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 2, dtype: str",-1.09111191591884,4.43512083431079,"AM"
"Artemisia_cana","Artemisia","cana","Asteraceae","Asterales",NA,"Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.",-1.17118298150295,4.02391358608675,"AM"
"Achillea_millefolium","Achillea","millefolium","Asteraceae","Asterales",NA,"<StringArray>
['Craine JM, Froehle J, Tilman DG, Wedin DA, Chapin FS. 2001. The relationships among root and leaf traits of 76 grassland species and relative abundance among fertility and disturbance gradients. Oikos 93: 274-285',
                 'Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090',
                                                                                                                                                                                              'Comas - Pasture species',
                                                         'Kembel SW, Cahill JF, Jr. 2011. Independent Evolution of Leaf and Root Traits within and among Temperate Grassland Plant Communities. PLoS ONE 6(6): e19992.']
Length: 4, dtype: str",-1.50131621254399,5.84927128443819,"AM"
"Leucanthemum_vulgare","Leucanthemum","vulgare","Asteraceae","Asterales",NA,"Poon GT, Maherali H. 2015. Competitive interactions between a nonmycorrhizal invasive plant, Alliaria petiolata, and a suite of mycorrhizal grassland, old field, and forest species. PeerJ 3: e1090",-1.32215592000366,5.46963286948769,"AM"
