binominal,F01286,F01287,F01289,F01290,state
Chloranthus henryi,Chloranthus,henryi,Chloranthaceae,Chloranthales,AM
Choerospondias axillaris,Choerospondias,axillaris,Anacardiaceae,Sapindales,AM
Chomelia psilocarpa,Chomelia,psilocarpa,Rubiaceae,Gentianales,AM
Chomelia tenuiflora,Chomelia,tenuiflora,Rubiaceae,Gentianales,AM
Chromolucuma rubriflora,Chromolucuma,rubriflora,Sapotaceae,Ericales,AM
Chrysojasminum fruticans,Chrysojasminum,fruticans,Oleaceae,Lamiales,AM
Chrysophyllum sanguinolentum,Chrysophyllum,sanguinolentum,Sapotaceae,Ericales,AM
Chrysopsis villosa,Chrysopsis,villosa,Asteraceae,Asterales,AM
Cibotium barometz,Cibotium,barometz,Cibotiaceae,Cyatheales,AM
Cichorium intybus,Cichorium,intybus,Asteraceae,Asterales,AM
Cinnamomum austro-sinensis,Cinnamomum,austro-sinensis,Lauraceae,Laurales,AM
Cinnamomum camphora,Cinnamomum,camphora,Lauraceae,Laurales,AM
Cinnamomum chekiangense,Cinnamomum,chekiangense,Lauraceae,Laurales,AM
Cinnamomum contractum,Cinnamomum,contractum,Lauraceae,Laurales,AM
Cinnamomum glanduliferum,Cinnamomum,glanduliferum,Lauraceae,Laurales,AM
Cinnamomum iners,Cinnamomum,iners,Lauraceae,Laurales,AM
Cinnamomum micranthum,Cinnamomum,micranthum,Lauraceae,Laurales,AM
Cinnamomum parthenoxylon,Cinnamomum,parthenoxylon,Lauraceae,Laurales,AM
Cistus albidus,Cistus,albidus,Cistaceae,Malvales,EcM
Cistus calycinus,Cistus,calycinus,Cistaceae,Malvales,EcM
Cistus crispus,Cistus,crispus,Cistaceae,Malvales,EcM
Cistus halimifolius,Cistus,halimifolius,Cistaceae,Malvales,EcM
Cistus ladanifer,Cistus,ladanifer,Cistaceae,Malvales,EcM
Cistus libanotis,Cistus,libanotis,Cistaceae,Malvales,EcM
Cistus monspeliensis,Cistus,monspeliensis,Cistaceae,Malvales,EcM
Cistus salviifolius,Cistus,salviifolius,Cistaceae,Malvales,EcM
Clarisia biflora,Clarisia,biflora,Moraceae,Rosales,AM
Clarisia racemosa,Clarisia,racemosa,Moraceae,Rosales,AM
Cleidion brevipetiolatum,Cleidion,brevipetiolatum,Euphorbiaceae,Malpighiales,AM
Cleistogenes squarrosa,Cleistogenes,squarrosa,Poaceae,Poales,AM
Clethra revoluta,Clethra,revoluta,Clethraceae,Ericales,AM
Clinopodium nepeta,Clinopodium,nepeta,Lamiaceae,Lamiales,AM
Clitoria javitensis,Clitoria,javitensis,Fabaceae,Fabales,AM
Clusia alata,Clusia,alata,Clusiaceae,Malpighiales,AM
Clusia ducuoides,Clusia,ducuoides,Clusiaceae,Malpighiales,AM
