binominal,F01286,F01287,F01289,F01290,state
Rhus typhina,Rhus,typhina,Anacardiaceae,Sapindales,AM
Richetia multiflora,Richetia,multiflora,Dipterocarpaceae,Malvales,
Rosa acicularis,Rosa,acicularis,Rosaceae,Rosales,AM
Rosa arkansana,Rosa,arkansana,Rosaceae,Rosales,AM
Rosa canina,Rosa,canina,Rosaceae,Rosales,AM
Rosa xanthina,Rosa,xanthina,Rosaceae,Rosales,AM
Roucheria columbiana,Roucheria,columbiana,Linaceae,Malpighiales,AM
Ruagea glabra,Ruagea,glabra,Meliaceae,Sapindales,AM
Rubia peregrina,Rubia,peregrina,Rubiaceae,Gentianales,AM
Rubroshorea acuminata,Rubroshorea,acuminata,Dipterocarpaceae,Malvales,
Rubroshorea leprosula,Rubroshorea,leprosula,Dipterocarpaceae,Malvales,
Rubus allegheniensis,Rubus,allegheniensis,Rosaceae,Rosales,AM
Rubus crataegifolius,Rubus,crataegifolius,Rosaceae,Rosales,AM
Rubus idaeus,Rubus,idaeus,Rosaceae,Rosales,AM
Rubus irritans,Rubus,irritans,Rosaceae,Rosales,AM
Rubus phoenicolasius,Rubus,phoenicolasius,Rosaceae,Rosales,AM
Rubus rosifolius,Rubus,rosifolius,Rosaceae,Rosales,AM
Rubus ulmifolius,Rubus,ulmifolius,Rosaceae,Rosales,AM
Rudgea cornifolia,Rudgea,cornifolia,Rubiaceae,Gentianales,AM
Rudgea lanceifolia,Rudgea,lanceifolia,Rubiaceae,Gentianales,AM
Rumex acetosella,Rumex,acetosella,Polygonaceae,Caryophyllales,NMAM
Salix abscondita,Salix,abscondita,Salicaceae,Malpighiales,EcMAM
Salix atrocinerea,Salix,atrocinerea,Salicaceae,Malpighiales,EcMAM
Salix caprea,Salix,caprea,Salicaceae,Malpighiales,EcMAM
Salix viminalis,Salix,viminalis,Salicaceae,Malpighiales,EcMAM
Salvia chinensis,Salvia,chinensis,Lamiaceae,Lamiales,AM
Salvia rosmarinus,Salvia,rosmarinus,Lamiaceae,Lamiales,AM
Sambucus williamsii,Sambucus,williamsii,Viburnaceae,Dipsacales,AM
Sanguisorba minor,Sanguisorba,minor,Rosaceae,Rosales,AM
Sanguisorba officinalis,Sanguisorba,officinalis,Rosaceae,Rosales,AM
Sanicula orthacantha,Sanicula,orthacantha,Apiaceae,Apiales,AM
Sapium stylare,Sapium,stylare,Euphorbiaceae,Malpighiales,AM
Saprosma ternatum,Saprosma,ternatum,Rubiaceae,Gentianales,AM
Sarcandra glabra,Sarcandra,glabra,Chloranthaceae,Chloranthales,AM
Sassafras albidum,Sassafras,albidum,Lauraceae,Laurales,NMAM
Saurauia herthae,Saurauia,herthae,Actinidiaceae,Ericales,AM
Saussurea amurensis,Saussurea,amurensis,Asteraceae,Asterales,AM
Saussurea mongolica,Saussurea,mongolica,Asteraceae,Asterales,AM
Saussurea nivea,Saussurea,nivea,Asteraceae,Asterales,AM
Schefflera digita,Schefflera,digita,Araliaceae,Apiales,AM
Schima superba,Schima,superba,Theaceae,Ericales,AM
Schima wallichii,Schima,wallichii,Theaceae,Ericales,AM
Schizachyrium scoparium,Schizachyrium,scoparium,Poaceae,Poales,AM
Schoepfia jasminodora,Schoepfia,jasminodora,Schoepfiaceae,Santalales,AM
Sciadopitys verticillata,Sciadopitys,verticillata,Sciadopityaceae,Cupressales,AM
Sciodaphyllum acuminatum,Sciodaphyllum,acuminatum,Araliaceae,Apiales,
Scleronema micranthum,Scleronema,micranthum,Malvaceae,Malvales,AM
Semecarpus reticulata,Semecarpus,reticulata,Anacardiaceae,Sapindales,AM
Sequoiadendron giganteum,Sequoiadendron,giganteum,Cupressaceae,Cupressales,AM
Sextonia rubra,Sextonia,rubra,Lauraceae,Laurales,AM
Sibbaldianthe bifurca,Sibbaldianthe,bifurca,Rosaceae,Rosales,AM
Sideritis pusilla,Sideritis,pusilla,Lamiaceae,Lamiales,AM
Simira rubescens,Simira,rubescens,Rubiaceae,Gentianales,AM
Siparuna aspera,Siparuna,aspera,Siparunaceae,Laurales,AM
Siparuna muricata,Siparuna,muricata,Siparunaceae,Laurales,AM
Sloanea grandiflora,Sloanea,grandiflora,Elaeocarpaceae,Oxalidales,AM
Sloanea rufa,Sloanea,rufa,Elaeocarpaceae,Oxalidales,AM
Smilax aspera,Smilax,aspera,Smilacaceae,Liliales,AM
Smilax trinervula,Smilax,trinervula,Smilacaceae,Liliales,AM
Solidago decurrens,Solidago,decurrens,Asteraceae,Asterales,AM
Solidago missouriensis,Solidago,missouriensis,Asteraceae,Asterales,AM
Solidago nemoralis,Solidago,nemoralis,Asteraceae,Asterales,AM
Solidago ptarmicoides,Solidago,ptarmicoides,Asteraceae,Asterales,AM
Solidago rigida,Solidago,rigida,Asteraceae,Asterales,AM
Solidago speciosa,Solidago,speciosa,Asteraceae,Asterales,AM
Sophora microphylla,Sophora,microphylla,Fabaceae,Fabales,AM
Sorbus aucuparia,Sorbus,aucuparia,Rosaceae,Rosales,AM
Sorbus discolor,Sorbus,discolor,Rosaceae,Rosales,AM
Sorghastrum nutans,Sorghastrum,nutans,Poaceae,Poales,AM
Sorocea guilleminiana,Sorocea,guilleminiana,Moraceae,Rosales,AM
Sorocea muriculata,Sorocea,muriculata,Moraceae,Rosales,AM
Sorocea pubivena,Sorocea,pubivena,Moraceae,Rosales,AM
Sphaeralcea coccinea,Sphaeralcea,coccinea,Malvaceae,Malvales,AM
Sphaeropteris medullaris,Sphaeropteris,medullaris,Cyatheaceae,Cyatheales,AM
Spiraea dahurica,Spiraea,dahurica,Rosaceae,Rosales,AM
Spiraea ouensanensis,Spiraea,ouensanensis,Rosaceae,Rosales,AM
Sporobolus heterolepis,Sporobolus,heterolepis,Poaceae,Poales,AM
Sporobolus rigidus,Sporobolus,rigidus,Poaceae,Poales,AM
Stachyarrhena acuminata,Stachyarrhena,acuminata,Rubiaceae,Gentianales,AM
Stauracanthus genistoides,Stauracanthus,genistoides,Fabaceae,Fabales,AM
Sterculia lanceolata,Sterculia,lanceolata,Malvaceae,Malvales,AM
Sterculia monosperma,Sterculia,monosperma,Malvaceae,Malvales,AM
Sticherus cunninghamii,Sticherus,cunninghamii,Gleicheniaceae,Gleicheniales,AM
Stipa krylovii,Stipa,krylovii,Poaceae,Poales,AM
Stipa pennata,Stipa,pennata,Poaceae,Poales,AM
Strobilanthes dimorphotricha,Strobilanthes,dimorphotricha,Acanthaceae,Lamiales,AM
Styphnolobium japonicum,Styphnolobium,japonicum,Fabaceae,Fabales,AM
Styrax suberifolius,Styrax,suberifolius,Styracaceae,Ericales,AM
Symphoricarpos occidentalis,Symphoricarpos,occidentalis,Caprifoliaceae,Dipsacales,AM
Symphyotrichum ciliolatum,Symphyotrichum,ciliolatum,Asteraceae,Asterales,AM
Symphyotrichum ericoides,Symphyotrichum,ericoides,Asteraceae,Asterales,AM
Symphyotrichum falcatum,Symphyotrichum,falcatum,Asteraceae,Asterales,AM
Symphyotrichum laeve,Symphyotrichum,laeve,Asteraceae,Asterales,AM
Symphyotrichum novae-angliae,Symphyotrichum,novae-angliae,Asteraceae,Asterales,AM
Symphyotrichum oolentangiense,Symphyotrichum,oolentangiense,Asteraceae,Asterales,AM
Symphyotrichum puniceum,Symphyotrichum,puniceum,Asteraceae,Asterales,AM
Symplocos cochinchinensis,Symplocos,cochinchinensis,Symplocaceae,Ericales,AM
Syringa reticulata,Syringa,reticulata,Oleaceae,Lamiales,AM
Syzygium acuminatissimum,Syzygium,acuminatissimum,Myrtaceae,Myrtales,AM
Syzygium borbonicum,Syzygium,borbonicum,Myrtaceae,Myrtales,AM
Syzygium castaneum,Syzygium,castaneum,Myrtaceae,Myrtales,AM
Syzygium globiflorum,Syzygium,globiflorum,Myrtaceae,Myrtales,AM
Syzygium hancei,Syzygium,hancei,Myrtaceae,Myrtales,AM
Syzygium jambos,Syzygium,jambos,Myrtaceae,Myrtales,AM
Syzygium kunstleri,Syzygium,kunstleri,Myrtaceae,Myrtales,AM
Syzygium levinei,Syzygium,levinei,Myrtaceae,Myrtales,AM
Syzygium maire,Syzygium,maire,Myrtaceae,Myrtales,AM
Syzygium napiforme,Syzygium,napiforme,Myrtaceae,Myrtales,AM
Syzygium pachysepalum,Syzygium,pachysepalum,Myrtaceae,Myrtales,AM
Syzygium subdecussatum,Syzygium,subdecussatum,Myrtaceae,Myrtales,AM
Tanaecium pyramidatum,Tanaecium,pyramidatum,Bignoniaceae,Lamiales,AM
Tapirira guianensis,Tapirira,guianensis,Anacardiaceae,Sapindales,AM
Taraxacum campylodes,Taraxacum,campylodes,Asteraceae,Asterales,AM
Taxodium distichum,Taxodium,distichum,Cupressaceae,Cupressales,AM
Taxus chinensis,Taxus,chinensis,Taxaceae,Cupressales,AM
Taxus cuspidata,Taxus,cuspidata,Taxaceae,Cupressales,AM
Terminalia amazonia,Terminalia,amazonia,Combretaceae,Myrtales,AM
Ternstroemia coriacea,Ternstroemia,coriacea,Pentaphylacaceae,Ericales,AM
Tetractomia tetrandra,Tetractomia,tetrandra,Rutaceae,Sapindales,AM
Tetrapilus roseus,Tetrapilus,roseus,Oleaceae,Lamiales,
Teucrium chamaedrys,Teucrium,chamaedrys,Lamiaceae,Lamiales,AM
Teucrium charidemi,Teucrium,charidemi,Lamiaceae,Lamiales,AM
Teucrium fruticans,Teucrium,fruticans,Lamiaceae,Lamiales,AM
Thalictrum simplex,Thalictrum,simplex,Ranunculaceae,Ranunculales,AM
Theobroma cacao,Theobroma,cacao,Malvaceae,Malvales,AM
Thermopsis rhombifolia,Thermopsis,rhombifolia,Fabaceae,Fabales,AM
Thuja occidentalis,Thuja,occidentalis,Cupressaceae,Cupressales,AM
Thymelaea hirsuta,Thymelaea,hirsuta,Thymelaeaceae,Malvales,AM
Thymus dolomiticus,Thymus,dolomiticus,Lamiaceae,Lamiales,AM
Thymus hyemalis,Thymus,hyemalis,Lamiaceae,Lamiales,AM
Thymus mastichina,Thymus,mastichina,Lamiaceae,Lamiales,AM
Tilia americana,Tilia,americana,Malvaceae,Malvales,EcM
Tilia amurensis,Tilia,amurensis,Malvaceae,Malvales,EcM
Tilia cordata,Tilia,cordata,Malvaceae,Malvales,EcM
Tilia mandshurica,Tilia,mandshurica,Malvaceae,Malvales,EcM
Tilia mongolica,Tilia,mongolica,Malvaceae,Malvales,EcM
Tilia oliveri,Tilia,oliveri,Malvaceae,Malvales,EcM
Tordylium maximum,Tordylium,maximum,Apiaceae,Apiales,AM
Torreya californica,Torreya,californica,Taxaceae,Cupressales,AM
Torreya nucifera,Torreya,nucifera,Taxaceae,Cupressales,AM
Toxicodendron acuminatum,Toxicodendron,acuminatum,Anacardiaceae,Sapindales,AM
Toxicoscordion venenosum,Toxicoscordion,venenosum,Melanthiaceae,Liliales,AM
Trachelospermum axillare,Trachelospermum,axillare,Apocynaceae,Gentianales,AM
Tragopogon dubius,Tragopogon,dubius,Asteraceae,Asterales,AM
Trattinnickia lawrancei,Trattinnickia,lawrancei,Burseraceae,Sapindales,AM
Trichilia septentrionalis,Trichilia,septentrionalis,Meliaceae,Sapindales,AM
Trifolium angustifolium,Trifolium,angustifolium,Fabaceae,Fabales,AM
Trifolium pratense,Trifolium,pratense,Fabaceae,Fabales,AM
Trifolium purpureum,Trifolium,purpureum,Fabaceae,Fabales,AM
Trifolium repens,Trifolium,repens,Fabaceae,Fabales,AM
Trifolium subterraneum,Trifolium,subterraneum,Fabaceae,Fabales,AM
Tristaniopsis elliptica,Tristaniopsis,elliptica,Myrtaceae,Myrtales,EcMAM
Tristaniopsis obovata,Tristaniopsis,obovata,Myrtaceae,Myrtales,EcMAM
Trymatococcus amazonicus,Trymatococcus,amazonicus,Moraceae,Rosales,AM
Tsuga canadensis,Tsuga,canadensis,Pinaceae,Pinales,EcM
Turpinia occidentalis,Turpinia,occidentalis,Staphyleaceae,Crossosomatales,AM
Ulex parviflorus,Ulex,parviflorus,Fabaceae,Fabales,AM
Ulmus americana,Ulmus,americana,Ulmaceae,Rosales,AM
Ulmus davidiana,Ulmus,davidiana,Ulmaceae,Rosales,AM
Ulmus macrocarpa,Ulmus,macrocarpa,Ulmaceae,Rosales,AM
Ulmus minor,Ulmus,minor,Ulmaceae,Rosales,AM
Ulmus pumila,Ulmus,pumila,Ulmaceae,Rosales,AM
Ulmus rubra,Ulmus,rubra,Ulmaceae,Rosales,AM
Unonopsis rufescens,Unonopsis,rufescens,Annonaceae,Magnoliales,AM
Vaccinium corymbosum,Vaccinium,corymbosum,Ericaceae,Ericales,ErM
Vaccinium mandarinorum,Vaccinium,mandarinorum,Ericaceae,Ericales,ErM
Vepris nobilis,Vepris,nobilis,Rutaceae,Sapindales,AM
Veratrum nigrum,Veratrum,nigrum,Melanthiaceae,Liliales,AM
Verbascum thapsus,Verbascum,thapsus,Scrophulariaceae,Lamiales,AM
Verbena hastata,Verbena,hastata,Verbenaceae,Lamiales,AM
Veronia fasciculata,Veronia,fasciculata,Asteraceae,Asterales,
Veronica persica,Veronica,persica,Plantaginaceae,Lamiales,NMAM
Veronica spuria,Veronica,spuria,Plantaginaceae,Lamiales,NMAM
Veronicastrum virginicum,Veronicastrum,virginicum,Plantaginaceae,Lamiales,AM
Viburnum dentatum,Viburnum,dentatum,Viburnaceae,Dipsacales,AM
Viburnum stipitatum,Viburnum,stipitatum,Viburnaceae,Dipsacales,AM
Viburnum tinus,Viburnum,tinus,Viburnaceae,Dipsacales,AM
Vicia americana,Vicia,americana,Fabaceae,Fabales,AM
Vicia villosa,Vicia,villosa,Fabaceae,Fabales,AM
Viola adunca,Viola,adunca,Violaceae,Malpighiales,AM
Vitex lucens,Vitex,lucens,Lamiaceae,Lamiales,AM
Vitis amurensis,Vitis,amurensis,Vitaceae,Vitales,AM
Vitis vinifera,Vitis,vinifera,Vitaceae,Vitales,AM
Vitis vulpina,Vitis,vulpina,Vitaceae,Alismatales,AM
Weinmannia elliptica,Weinmannia,elliptica,Cunoniaceae,Oxalidales,AM
Weinmannia fagaroides,Weinmannia,fagaroides,Cunoniaceae,Oxalidales,AM
Weinmannia magnifolia,Weinmannia,magnifolia,Cunoniaceae,Oxalidales,AM
Weinmannia microphylla,Weinmannia,microphylla,Cunoniaceae,Oxalidales,AM
Weinmannia ovata,Weinmannia,ovata,Cunoniaceae,Oxalidales,AM
Weinmannia silvicola,Weinmannia,silvicola,Cunoniaceae,Oxalidales,AM
Wendlandia uvariifolia,Wendlandia,uvariifolia,Rubiaceae,Gentianales,AM
Withania frutescens,Withania,frutescens,Solanaceae,Solanales,AM
Wurfbainia villosa,Wurfbainia,villosa,Zingiberaceae,Zingiberales,
Xanthisma spinulosum,Xanthisma,spinulosum,Asteraceae,Asterales,AM
Xanthophyllum flavescens,Xanthophyllum,flavescens,Polygalaceae,Fabales,AM
Xanthophyllum tenue,Xanthophyllum,tenue,Polygalaceae,Fabales,AM
Zabelia biflora,Zabelia,biflora,Caprifoliaceae,Dipsacales,AM
Zamia lucayana,Zamia,lucayana,Zamiaceae,Cycadales,AM
Zizia aurea,Zizia,aurea,Apiaceae,Apiales,AM
Zygia inaequalis,Zygia,inaequalis,Fabaceae,Fabales,uncertain
