binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Licaria guianensis,Licaria,guianensis,Lauraceae,Laurales,AM,FRED4,
Licaria hirsuta,Licaria,hirsuta,Lauraceae,Laurales,AM,FRED4,
Licaria macrophylla,Licaria,macrophylla,Lauraceae,Laurales,AM,FRED4,"['Misanteca macrophylla', 'Acrodiclidium macrophyllum']"
Licaria oppositifolia,Licaria,oppositifolia,Lauraceae,Laurales,AM,FRED4,"['Misanteca oppositifolia', 'Acrodiclidium oppositifolium']"
Lindera benzoin,Lindera,benzoin,Lauraceae,Laurales,AM,FRED4,"['Ozanthes benzoin', 'Laurus benzoin']"
Lindera communis,Lindera,communis,Lauraceae,Laurales,AM,FRED4,['Benzoin commune']
Lindera metcalfiana,Lindera,metcalfiana,Lauraceae,Laurales,NM,FungalRoot,
Lindera obtusiloba,Lindera,obtusiloba,Lauraceae,Laurales,AM,FRED4,['Benzoin obtusilobum']
Linum lewisii,Linum,lewisii,Linaceae,Malpighiales,AM,FRED4,"['Adenolinum lewisii', 'Linum perenne subsp. lewisii', 'Linum perenne var. lewisii', 'Linum sibiricum var. lewisii']"
Liquidambar formosana,Liquidambar,formosana,Altingiaceae,Saxifragales,AM,FRED4,
Liquidambar gracilipes,Liquidambar,gracilipes,Altingiaceae,Saxifragales,,,['Altingia gracilipes']
Liquidambar obovata,Liquidambar,obovata,Altingiaceae,Saxifragales,,,['Altingia obovata']
Liquidambar styraciflua,Liquidambar,styraciflua,Altingiaceae,Saxifragales,AM,FRED4,
Liriodendron chinense,Liriodendron,chinense,Magnoliaceae,Magnoliales,AM,FRED4,['Liriodendron tulipifera var. chinense']
Liriodendron tulipifera,Liriodendron,tulipifera,Magnoliaceae,Magnoliales,AM,FRED4,['Tulipifera liriodendrum']
Lithocarpus bacgiangensis,Lithocarpus,bacgiangensis,Fagaceae,Fagales,,,['Pasania bacgiangensis']
Lithocarpus chiungchungensis,Lithocarpus,chiungchungensis,Fagaceae,Fagales,EcM,FRED4,
Lithocarpus cleistocarpus,Lithocarpus,cleistocarpus,Fagaceae,Fagales,EcM,FRED4,"['Synaedrys cleistocarpa', 'Quercus cleistocarpa', 'Pasania cleistocarpa']"
Lithocarpus clementianus,Lithocarpus,clementianus,Fagaceae,Fagales,EcM,FRED4,"['Pasania clementiana', 'Quercus clementiana', 'Synaedrys clementiana']"
Lithocarpus confertus,Lithocarpus,confertus,Fagaceae,Fagales,EcM,FRED4,
Lithocarpus elegans,Lithocarpus,elegans,Fagaceae,Fagales,,,"['Quercus elegans', 'Lithocarpus spicatus var. elegans']"
Lithocarpus fenestratus,Lithocarpus,fenestratus,Fagaceae,Fagales,EcM,FRED4,"['Pasania fenestrata', 'Synaedrys fenestrata', 'Quercus fenestrata']"
Lithocarpus fohaiensis,Lithocarpus,fohaiensis,Fagaceae,Fagales,,,['Pasania fohaiensis']
Lithocarpus lampadarius,Lithocarpus,lampadarius,Fagaceae,Fagales,EcM,FRED4,"['Pasania lampadaria', 'Quercus lampadaria', 'Synaedrys lampadaria']"
Lithocarpus rigidus,Lithocarpus,rigidus,Fagaceae,Fagales,EcM,FRED4,
Lithocarpus variolosus,Lithocarpus,variolosus,Fagaceae,Fagales,,,"['Quercus variolosa', 'Synaedrys variolosa', 'Pasania variolosa']"
Litsea baviensis,Litsea,baviensis,Lauraceae,Laurales,AM,FRED4,
Litsea cubeba,Litsea,cubeba,Lauraceae,Laurales,AM,FRED4,"['Malapoenna cubeba', 'Cubeba pipereta', 'Benzoin cubeba', 'Daphnidium cubeba', 'Tetranthera cubeba', 'Laurus cubeba', 'Persea cubeba']"
Litsea elongata,Litsea,elongata,Lauraceae,Laurales,AM,FRED4,"['Malapoenna elongata', 'Tetranthera elongata', 'Daphnidium elongatum']"
Litsea glutinosa,Litsea,glutinosa,Lauraceae,Laurales,AM,FungalRoot,['Sebifera glutinosa']
Litsea ichangensis,Litsea,ichangensis,Lauraceae,Laurales,AM,FRED4,
Litsea martabanica,Litsea,martabanica,Lauraceae,Laurales,,,['Tetranthera martabanica']
Litsea mollis,Litsea,mollis,Lauraceae,Laurales,,,
Litsea panamanja,Litsea,panamanja,Lauraceae,Laurales,AM,FungalRoot,"['Malapoenna panamonja', 'Tetranthera panamanja']"
Litsea salicifolia,Litsea,salicifolia,Lauraceae,Laurales,AM,FungalRoot,['Tetranthera salicifolia']
Litsea szemaois,Litsea,szemaois,Lauraceae,Laurales,AM,FRED4,"['Litsea baviensis var. szemaois', 'Litsea pierrei var. szemaois']"
Litsea umbellata,Litsea,umbellata,Lauraceae,Laurales,,,['Hexanthus umbellatus']
Litsea verticillata,Litsea,verticillata,Lauraceae,Laurales,AM,FRED4,
Lolium arundinaceum,Lolium,arundinaceum,Poaceae,Poales,AM,FRED4,"['Bromus arundinaceus', 'Schedonorus arundinaceus', 'Festuca elatior subsp. arundinacea', 'Festuca elatior var. arundinacea', 'Festuca arundinacea']"
Lolium perenne,Lolium,perenne,Poaceae,Poales,EcMAM,FRED4,['Festuca perennis']
Lomaria discolor,Lomaria,discolor,Blechnaceae,Polypodiales,AM,FRED4,
Lonicera chrysantha,Lonicera,chrysantha,Caprifoliaceae,Dipsacales,AM,FRED4,"['Caprifolium chrysanthum', 'Xylosteon chrysanthum', 'Lonicera xylosteum var. chrysantha']"
Lonicera maackii,Lonicera,maackii,Caprifoliaceae,Dipsacales,AM,FRED4,['Xylosteon maackii']
Lotus corniculatus,Lotus,corniculatus,Fabaceae,Fabales,NMAM,FRED4,
Lupinus perennis,Lupinus,perennis,Fabaceae,Fabales,,,
Lygodesmia juncea,Lygodesmia,juncea,Asteraceae,Asterales,AM,FRED4,['Prenanthes juncea']
Macaranga sampsonii,Macaranga,sampsonii,Euphorbiaceae,Malpighiales,AM,FRED4,
Machilus breviflora,Machilus,breviflora,Lauraceae,Laurales,AM,FRED4,
Machilus kwangtungensis,Machilus,kwangtungensis,Lauraceae,Laurales,AM,FRED4,['Persea kwangtungensis']
Machilus nanmu,Machilus,nanmu,Lauraceae,Laurales,AM,FRED4,"['Persea nanmu', 'Phoebe nanmu']"
Machilus oculodracontis,Machilus,oculodracontis,Lauraceae,Laurales,AM,FRED4,['Persea oculodracontis']
Machilus robusta,Machilus,robusta,Lauraceae,Laurales,AM,FRED4,
Machilus rufipes,Machilus,rufipes,Lauraceae,Laurales,,,['Persea rufipes']
Machilus shweliensis,Machilus,shweliensis,Lauraceae,Laurales,AM,FRED4,['Persea shweliensis']
Machilus tenuipilis,Machilus,tenuipilis,Lauraceae,Laurales,AM,FungalRoot,['Persea tenuipilis']
Machilus velutina,Machilus,velutina,Lauraceae,Laurales,AM,FRED4,
Macropanax undulatus,Macropanax,undulatus,Araliaceae,Apiales,AM,FRED4,"['Hedera undulata', 'Paratropia undulata']"
Madhuca endertii,Madhuca,endertii,Sapotaceae,Ericales,AM,FRED4,
Magnolia acuminata,Magnolia,acuminata,Magnoliaceae,Magnoliales,AM,FRED4,"['Kobus acuminata', 'Tulipastrum acuminatum', 'Yulania acuminata', 'Magnolia virginiana var. acuminata', 'Magnolia umbrella var. acuminata']"
Magnolia baillonii,Magnolia,baillonii,Magnoliaceae,Magnoliales,AM,FRED4,"['Michelia baillonii', 'Paramichelia baillonii', 'Aromadendron baillonii']"
Magnolia balansae,Magnolia,balansae,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia balansae']
Magnolia carsonii,Magnolia,carsonii,Magnoliaceae,Magnoliales,AM,FRED4,['Aromadendron carsonii']
Magnolia cavaleriei,Magnolia,cavaleriei,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia cavaleriei']
Magnolia champaca,Magnolia,champaca,Magnoliaceae,Magnoliales,AM,FRED4,"['Michelia champaca', 'Michelia tsiampacca var. champaca']"
Magnolia championii,Magnolia,championii,Magnoliaceae,Magnoliales,AM,FRED4,"['Lirianthe championii', 'Magnolia liliifera var. championii', 'Magnolia pumila var. championii']"
Magnolia chapensis,Magnolia,chapensis,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia chapensis']
Magnolia dandyi,Magnolia,dandyi,Magnoliaceae,Magnoliales,AM,FRED4,['Manglietia dandyi']
Magnolia denudata,Magnolia,denudata,Magnoliaceae,Magnoliales,AM,FRED4,"['Yulania denudata', 'Magnolia purpurea var. denudata']"
Magnolia ernestii,Magnolia,ernestii,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia wilsonii']
Magnolia fulva,Magnolia,fulva,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia fulva']
Magnolia grandiflora,Magnolia,grandiflora,Magnoliaceae,Magnoliales,AM,FRED4,
Magnolia kobus,Magnolia,kobus,Magnoliaceae,Magnoliales,AM,FRED4,['Yulania kobus']
Magnolia lotungensis,Magnolia,lotungensis,Magnoliaceae,Magnoliales,AM,FRED4,"['Parakmeria lotungensis', 'Magnolia nitida var. lotungensis']"
Magnolia macclurei,Magnolia,macclurei,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia macclurei']
Magnolia macrophylla,Magnolia,macrophylla,Magnoliaceae,Magnoliales,AM,FRED4,['Metamagnolia macrophylla']
Magnolia maudiae,Magnolia,maudiae,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia maudiae']
Magnolia odora,Magnolia,odora,Magnoliaceae,Magnoliales,AM,FRED4,"['Michelia odora', 'Tsoongiodendron odorum']"
Magnolia opipara,Magnolia,opipara,Magnoliaceae,Magnoliales,AM,FRED4,['Michelia opipara']
Magnolia stellata,Magnolia,stellata,Magnoliaceae,Magnoliales,AM,FRED4,"['Magnolia kobus f. stellata', 'Talauma stellata', 'Buergeria stellata', 'Yulania stellata', 'Magnolia kobus var. stellata']"
Magnolia tripetala,Magnolia,tripetala,Magnoliaceae,Magnoliales,AM,FRED4,"['Magnolia virginiana var. tripetala', 'Houpoea tripetala', 'Magnolia umbrella var. tripetala']"
Magnolia virginiana,Magnolia,virginiana,Magnoliaceae,Magnoliales,AM,FRED4,
Magnolia yunnanensis,Magnolia,yunnanensis,Magnoliaceae,Magnoliales,AM,FRED4,"['Parakmeria yunnanensis', 'Pachylarnax yunnanensis']"
Magnolia yuyuanensis,Magnolia,yuyuanensis,Magnoliaceae,Magnoliales,AM,FRED4,['Manglietia yuyuanensis']
Mallotus paniculatus,Mallotus,paniculatus,Euphorbiaceae,Malpighiales,AM,FRED4,"['Croton paniculatus', 'Rottlera paniculata']"
Malus baccata,Malus,baccata,Rosaceae,Rosales,AM,FRED4,"['Malus microcarpa baccata', 'Sinomalus baccata', 'Pyrus baccata']"
Manglietia paruicula,Manglietia,paruicula,Magnoliaceae,Magnoliales,AM,FRED4,
Manoao colensoi,Manoao,colensoi,Podocarpaceae,Araucariales,AM,FRED4,"['Lagarostrobos colensoi', 'Lepidothamnus colensoi', 'Dacrydium colensoi']"
Maquira calophylla,Maquira,calophylla,Moraceae,Rosales,AM,FRED4,"['Perebea calophylla', 'Olmedioperebea calophylla', 'Olmedia calophylla']"
Maquira coriacea,Maquira,coriacea,Moraceae,Rosales,AM,FRED4,['Pseudolmedia coriacea']
Maquira sclerophylla,Maquira,sclerophylla,Moraceae,Rosales,AM,FRED4,['Olmedioperebea sclerophylla']
Matayba inelegans,Matayba,inelegans,Sapindaceae,Sapindales,,,
Matayba peruviana,Matayba,peruviana,Sapindaceae,Sapindales,,,
Matteuccia struthiopteris,Matteuccia,struthiopteris,Onocleaceae,Polypodiales,AM,FRED4,
Maytenus schippii,Maytenus,schippii,Celastraceae,Celastrales,AM,FRED4,['Monteverdia schippii']
Medicago minima,Medicago,minima,Fabaceae,Fabales,AM,FRED4,"['Spirocarpus minimus', 'Medicago polymorpha var. minima']"
Medicago ruthenica,Medicago,ruthenica,Fabaceae,Fabales,AM,FRED4,"['Trigonella ruthenica', 'Turukhania ruthenica', 'Pocockia ruthenica', 'Melilotoides ruthenica', 'Melissitus ruthenicus']"
Medicago sativa,Medicago,sativa,Fabaceae,Fabales,AM,FRED4,['Medica sativa']
Melicope pteleifolia,Melicope,pteleifolia,Rutaceae,Sapindales,AM,FRED4,"['Euodia pteleifolia', 'Zanthoxylum pteleifolium']"
Melicytus ramiflorus,Melicytus,ramiflorus,Violaceae,Malpighiales,AM,FRED4,
Melilotus officinalis,Melilotus,officinalis,Fabaceae,Fabales,AM,FRED4,"['Trifolium officinale', 'Medicago officinalis', 'Sertula officinalis', 'Brachylobus officinalis', 'Trigonella officinalis']"
Memecylon nigrescens,Memecylon,nigrescens,Melastomataceae,Myrtales,AM,FRED4,
Meriania franciscana,Meriania,franciscana,Melastomataceae,Myrtales,,,
Metasequoia glyptostroboides,Metasequoia,glyptostroboides,Cupressaceae,Cupressales,AM,FRED4,['Sequoia glyptostroboides']
Metrosideros diffusa,Metrosideros,diffusa,Myrtaceae,Myrtales,AM,FRED4,"['Melaleuca diffusa', 'Nania diffusa']"
Metrosideros excelsa,Metrosideros,excelsa,Myrtaceae,Myrtales,AM,FRED4,
Metrosideros fulgens,Metrosideros,fulgens,Myrtaceae,Myrtales,AM,FRED4,
Metrosideros robusta,Metrosideros,robusta,Myrtaceae,Myrtales,AM,FRED4,['Nania robusta']
Metrosideros umbellata,Metrosideros,umbellata,Myrtaceae,Myrtales,AM,FRED4,['Agalmanthus umbellata']
Mezilaurus ita-uba,Mezilaurus,ita-uba,Lauraceae,Laurales,AM,FRED4,"['Endiandra ita-uba', 'Acrodiclidium ita-uba', 'Mezia ita-uba', 'Silvia ita-uba', 'Silvia ita-uba']"
Miconia calophylla,Miconia,calophylla,Melastomataceae,Myrtales,,,"['Acinodendron calophyllum', 'Cremanium calophyllum']"
Miconia crebribullata,Miconia,crebribullata,Melastomataceae,Myrtales,,,
Miconia dolichorrhyncha,Miconia,dolichorrhyncha,Melastomataceae,Myrtales,,,['Acinodendron dolichorrhynchum']
Miconia jahnii,Miconia,jahnii,Melastomataceae,Myrtales,,,
Miconia punctata,Miconia,punctata,Melastomataceae,Myrtales,,,"['Acinodendron punctatum', 'Melastoma punctatum', 'Eurychaenia punctata']"
Miconia radula,Miconia,radula,Melastomataceae,Myrtales,,,['Acinodendron radula']
Microbiota decussata,Microbiota,decussata,Cupressaceae,Cupressales,AM,FRED4,['Platycladus decussata']
Microcos paniculata,Microcos,paniculata,Malvaceae,Malvales,AM,FRED4,
Micromelum integerrimum,Micromelum,integerrimum,Rutaceae,Sapindales,,,"['Micromelum pubescens var. integerrimum', 'Bergera integerrima']"
Micropholis casiquiarensis,Micropholis,casiquiarensis,Sapotaceae,Ericales,AM,FRED4,
Micropholis cylindrocarpa,Micropholis,cylindrocarpa,Sapotaceae,Ericales,AM,FRED4,"['Sideroxylon cylindrocarpon', 'Mastichodendron cylindrocarpon', 'Pouteria cylindrocarpa']"
Micropholis egensis,Micropholis,egensis,Sapotaceae,Ericales,AM,FRED4,"['Sideroxylon egense', 'Pouteria egensis', 'Sideroxylon rugosum var. egense', 'Bumelia egensis']"
Micropholis guyanensis,Micropholis,guyanensis,Sapotaceae,Ericales,AM,FRED4,['Sideroxylon guyanense']
Micropholis mensalis,Micropholis,mensalis,Sapotaceae,Ericales,AM,FRED4,['Pouteria mensalis']
Micropholis trunciflora,Micropholis,trunciflora,Sapotaceae,Ericales,AM,FRED4,
Micropholis venulosa,Micropholis,venulosa,Sapotaceae,Ericales,AM,FRED4,"['Pouteria venulosa', 'Sideroxylon venulosum', 'Xantolis venulosa']"
Microtropis discolor,Microtropis,discolor,Celastraceae,Celastrales,AM,FRED4,['Cassine discolor']
Millettia leptobotrya,Millettia,leptobotrya,Fabaceae,Fabales,AM,FRED4,
Mitrephora tomentosa,Mitrephora,tomentosa,Annonaceae,Magnoliales,,,['Kinginda tomentosa']
Monarda fistulosa,Monarda,fistulosa,Lamiaceae,Lamiales,AM,FungalRoot,
Monoon simiarum,Monoon,simiarum,Annonaceae,Magnoliales,,,"['Polyalthia simiarum', 'Unona simiarum', 'Guatteria simiarum']"
Morus insignis,Morus,insignis,Moraceae,Rosales,,,
Munroa christianii-bernardii,Munroa,christianii-bernardii,Poaceae,Poales,,,
Musineon divaricatum,Musineon,divaricatum,Apiaceae,Apiales,,,"['Marathrum divaricatum', 'Seseli divaricatum', 'Adorium divaricatum']"
Myrcia bracteata,Myrcia,bracteata,Myrtaceae,Myrtales,AM,FRED4,['Eugenia bracteata']
Myrcia caudata,Myrcia,caudata,Myrtaceae,Myrtales,AM,FRED4,['Marlierea caudata']
Myrcia citrifolia,Myrcia,citrifolia,Myrtaceae,Myrtales,AM,FRED4,"['Myrtus citrifolia', 'Aulomyrcia citrifolia']"
Myrcia crebra,Myrcia,crebra,Myrtaceae,Myrtales,AM,FRED4,['Calyptranthes crebra']
Myrcia cuspidata,Myrcia,cuspidata,Myrtaceae,Myrtales,AM,FRED4,"['Chytraculia cuspidata', 'Calyptranthes cuspidata']"
Myrcia fenestrata,Myrcia,fenestrata,Myrtaceae,Myrtales,AM,FRED4,
Myrcia ferruginea,Myrcia,ferruginea,Myrtaceae,Myrtales,AM,FRED4,"['Eugenia ferruginea', 'Marlierea ferruginea', 'Krugia ferruginea', 'Myrtus ferruginea']"
Myrcia grandis,Myrcia,grandis,Myrtaceae,Myrtales,AM,FRED4,
Myrcia integra,Myrcia,integra,Myrtaceae,Myrtales,AM,FRED4,
Myrcia neospeciosa,Myrcia,neospeciosa,Myrtaceae,Myrtales,AM,FRED4,['Calyptranthes speciosa']
Myrcia paivae,Myrcia,paivae,Myrtaceae,Myrtales,AM,FRED4,
Myrcia servata,Myrcia,servata,Myrtaceae,Myrtales,AM,FRED4,
Myrcia splendens,Myrcia,splendens,Myrtaceae,Myrtales,AM,FRED4,['Myrtus splendens']
Myrcia subsericea,Myrcia,subsericea,Myrtaceae,Myrtales,AM,FRED4,
Myrcia sylvatica,Myrcia,sylvatica,Myrtaceae,Myrtales,AM,FRED4,"['Myrtus sylvatica', 'Myrcia ambigua var. sylvatica']"
Myrcia umbraticola,Myrcia,umbraticola,Myrtaceae,Myrtales,AM,FRED4,"['Marlierea umbraticola', 'Myrtus umbraticola']"
Myrcianthes rhopaloides,Myrcianthes,rhopaloides,Myrtaceae,Myrtales,,,"['Eugenia rhopaloides', 'Myrtus rhopaloides']"
Myrciaria floribunda,Myrciaria,floribunda,Myrtaceae,Myrtales,AM,FRED4,"['Eugenia floribunda', 'Myrtus floribunda']"
Myrciaria tenella,Myrciaria,tenella,Myrtaceae,Myrtales,AM,FRED4,['Eugenia tenella']
Myrica pubescens,Myrica,pubescens,Myricaceae,Fagales,,,['Morella pubescens']
Myriocarpa stipitata,Myriocarpa,stipitata,Urticaceae,Rosales,,,
Myrsine andina,Myrsine,andina,Primulaceae,Ericales,,,['Rapanea andina']
Myrsine australis,Myrsine,australis,Primulaceae,Ericales,AM,FRED4,"['Rapanea australis', 'Suttonia australis']"
Myrsine coriacea,Myrsine,coriacea,Primulaceae,Ericales,AM,FRED4,"['Rapanea coriacea', 'Samara coriacea', 'Anguillaria coriacea', 'Tinus coriacea', 'Ardisia coriacea']"
Myrsine divaricata,Myrsine,divaricata,Primulaceae,Ericales,AM,FRED4,['Rapanea divaricata']
Myrsine seguinii,Myrsine,seguinii,Primulaceae,Ericales,AM,FRED4,['Athruphyllum seguinii']
Myrtus communis,Myrtus,communis,Myrtaceae,Myrtales,AM,FRED4,
Mytilaria laosensis,Mytilaria,laosensis,Hamamelidaceae,Saxifragales,,,
Nabalus tatarinowii,Nabalus,tatarinowii,Asteraceae,Asterales,AM,FRED4,['Prenanthes tatarinowii']
Nageia nagi,Nageia,nagi,Podocarpaceae,Araucariales,AM,FRED4,"['Morella nagi', 'Podocarpus nagi', 'Decussocarpus nagi', 'Myrica nagi']"
Nassella viridula,Nassella,viridula,Poaceae,Poales,AM,FungalRoot,['Stipa viridula']
Naucleopsis caloneura,Naucleopsis,caloneura,Moraceae,Rosales,AM,FRED4,"['Ogcodeia caloneura', 'Olmedia caloneura']"
Naucleopsis francisci,Naucleopsis,francisci,Moraceae,Rosales,,,
Naucleopsis imitans,Naucleopsis,imitans,Moraceae,Rosales,AM,FRED4,['Ogcodeia imitans']
Naucleopsis insculptula,Naucleopsis,insculptula,Moraceae,Rosales,AM,FRED4,
Naucleopsis krukovii,Naucleopsis,krukovii,Moraceae,Rosales,AM,FRED4,['Pseudolmedia krukovii']
Naucleopsis ternstroemiiflora,Naucleopsis,ternstroemiiflora,Moraceae,Rosales,AM,FRED4,['Ogcodeia ternstroemiiflora']
Neolitsea cassia,Neolitsea,cassia,Lauraceae,Laurales,AM,FRED4,"['Laurus cassia', 'Balanopsis cassia', 'Camphorina cassia', 'Persea cassia', 'Cinnamomum cassia']"
Neolitsea phanerophlebia,Neolitsea,phanerophlebia,Lauraceae,Laurales,AM,FRED4,
Neomyrtus pedunculata,Neomyrtus,pedunculata,Myrtaceae,Myrtales,AM,FRED4,['Myrtus pedunculata']
Neopanax arboreus,Neopanax,arboreus,Araliaceae,Apiales,AM,FRED4,"['Pseudopanax arboreus', 'Panax arboreus', 'Nothopanax arboreus']"
Neopanax colensoi,Neopanax,colensoi,Araliaceae,Apiales,AM,FRED4,"['Nothopanax colensoi', 'Panax colensoi', 'Pseudopanax colensoi']"
Nephelium lappaceum,Nephelium,lappaceum,Sapindaceae,Sapindales,AM,FRED4,
Nerium oleander,Nerium,oleander,Apocynaceae,Gentianales,NMAM,FRED4,
Nestegis lanceolata,Nestegis,lanceolata,Oleaceae,Lamiales,AM,FRED4,
Noronhia mildbraedii,Noronhia,mildbraedii,Oleaceae,Lamiales,,,"['Chionanthus mildbraedii', 'Olea mildbraedii', 'Campanolea mildbraedii']"
Nothofagus fusca,Nothofagus,fusca,Nothofagaceae,Fagales,EcMAM,FRED4,"['Fagus fusca', 'Fuscospora fusca']"
Nothofagus menziesii,Nothofagus,menziesii,Nothofagaceae,Fagales,AM,FRED4,"['Fagus menziesii', 'Lophozonia menziesii']"
Nothofagus obliqua,Nothofagus,obliqua,Nothofagaceae,Fagales,EcM,FRED4,"['Fagus obliqua', 'Lophozonia obliqua']"
Nothofagus solandri,Nothofagus,solandri,Nothofagaceae,Fagales,EcMAM,FRED4,"['Fagus solandri', 'Fuscospora solandri']"
Nyssa aquatica,Nyssa,aquatica,Nyssaceae,Cornales,,,
Nyssa sylvatica,Nyssa,sylvatica,Nyssaceae,Cornales,AM,FRED4,['Nyssa multiflora var. sylvatica']
Ocotea aciphylla,Ocotea,aciphylla,Lauraceae,Laurales,AM,FRED4,['Oreodaphne aciphylla']
Ocotea amazonica,Ocotea,amazonica,Lauraceae,Laurales,AM,FRED4,['Oreodaphne amazonica']
Ocotea andina,Ocotea,andina,Lauraceae,Laurales,,,
Ocotea argyrophylla,Ocotea,argyrophylla,Lauraceae,Laurales,AM,FRED4,
Ocotea aurantiodora,Ocotea,aurantiodora,Lauraceae,Laurales,AM,FRED4,"['Laurus aurantiodora', 'Mespilodaphne aurantiodora', 'Nectandra aurantiodora']"
Ocotea boissieriana,Ocotea,boissieriana,Lauraceae,Laurales,AM,FRED4,['Oreodaphne boissieriana']
Ocotea cujumary,Ocotea,cujumary,Lauraceae,Laurales,AM,FRED4,"['Aydendron cujumary', 'Aniba cujumary', 'Alseodaphne cujumary']"
Ocotea cuneifolia,Ocotea,cuneifolia,Lauraceae,Laurales,,,['Laurus cuneifolia']
Ocotea infrafoveolata,Ocotea,infrafoveolata,Lauraceae,Laurales,,,
Ocotea lancifolia,Ocotea,lancifolia,Lauraceae,Laurales,AM,FRED4,"['Oreodaphne lancifolia', 'Persea lancifolia']"
Ocotea myriantha,Ocotea,myriantha,Lauraceae,Laurales,AM,FRED4,['Oreodaphne myriantha']
Ocotea nigra,Ocotea,nigra,Lauraceae,Laurales,,,
Ocotea nigrescens,Ocotea,nigrescens,Lauraceae,Laurales,AM,FRED4,
Ocotea olivacea,Ocotea,olivacea,Lauraceae,Laurales,AM,FRED4,
Ocotea pauciflora,Ocotea,pauciflora,Lauraceae,Laurales,AM,FRED4,['Oreodaphne pauciflora']
Ocotea pedanomischa,Ocotea,pedanomischa,Lauraceae,Laurales,,,
Ocotea percurrens,Ocotea,percurrens,Lauraceae,Laurales,AM,FRED4,
Ocotea rotundata,Ocotea,rotundata,Lauraceae,Laurales,,,
Ocotea scabrella,Ocotea,scabrella,Lauraceae,Laurales,AM,FRED4,
Ocotea splendens,Ocotea,splendens,Lauraceae,Laurales,AM,FRED4,['Oreodaphne splendens']
Oenothera biennis,Oenothera,biennis,Onagraceae,Myrtales,AM,Maherali et. al. 2016,"['Oenothera communis proles biennis', 'Brunyera biennis', 'Onagra biennis']"
Olea europaea,Olea,europaea,Oleaceae,Lamiales,AM,Maherali et. al. 2016,
Olearia avicenniaefolia,Olearia,avicenniaefolia,Asteraceae,Asterales,AM,FRED4,
Olearia rani,Olearia,rani,Asteraceae,Asterales,AM,FRED4,"['Brachyglottis rani', 'Aster rani']"
Onoclea sensibilis,Onoclea,sensibilis,Onocleaceae,Polypodiales,AM,FungalRoot,"['Angiopteris sensibilis', 'Calypterium sensibile', 'Riedlea sensibilis', 'Pterinodes sensibilis']"
Oreocnide frutescens,Oreocnide,frutescens,Urticaceae,Rosales,AM,FRED4,"['Villebrunea frutescens', 'Boehmeria frutescens', 'Urtica frutescens']"
Oreopanax sessiliflorus,Oreopanax,sessiliflorus,Araliaceae,Apiales,,,['Hedera sessiliflora']
Orophea creaghii,Orophea,creaghii,Annonaceae,Magnoliales,AM,FRED4,['Mezzettiopsis creaghii']
Orthocarpus luteus,Orthocarpus,luteus,Orobanchaceae,Lamiales,NMAM,FungalRoot,
Osmanthus didymopetalus,Osmanthus,didymopetalus,Oleaceae,Lamiales,AM,FRED4,
Osmunda japonica,Osmunda,japonica,Osmundaceae,Osmundales,AM,FRED4,"['Osmunda regalis var. japonica', 'Osmunda regalis subsp. japonica', 'Osmundastrum japonicum']"
Osyris alba,Osyris,alba,Santalaceae,Santalales,NMAM,FungalRoot,
Oxytropis sericea,Oxytropis,sericea,Fabaceae,Fabales,NM,FungalRoot,"['Aragallus lambertii var. sericeus', 'Aragallus sericeus', 'Oxytropis lambertii var. sericea', 'Spiesia lambertii var. sericea']"
Pachira insignis,Pachira,insignis,Malvaceae,Malvales,AM,FRED4,['Carolinea insignis']
Pachira macrocalyx,Pachira,macrocalyx,Malvaceae,Malvales,AM,FRED4,"['Bombacopsis macrocalyx', 'Bombax macrocalyx']"
Pachira minor,Pachira,minor,Malvaceae,Malvales,AM,FRED4,"['Carolinea minor', 'Rhodognaphalopsis minor', 'Bombax minus', 'Pochota minor']"
Pagamea macrophylla,Pagamea,macrophylla,Rubiaceae,Gentianales,AM,FRED4,
Palicourea amplectens,Palicourea,amplectens,Rubiaceae,Gentianales,AM,FRED4,"['Uragoga amplectens', 'Psychotria amplectens']"
Palicourea corymbifera,Palicourea,corymbifera,Rubiaceae,Gentianales,AM,FRED4,"['Uragoga urbaniana', 'Psychotria corymbifera']"
Palicourea dichotoma,Palicourea,dichotoma,Rubiaceae,Gentianales,AM,FRED4,['Cephaelis dichotoma']
Palicourea hoffmannseggiana,Palicourea,hoffmannseggiana,Rubiaceae,Gentianales,AM,FRED4,"['Psychotria hoffmannseggiana', 'Uragoga hoffmannseggiana', 'Uragoga hoffmannseggiana', 'Cephaelis hoffmannseggiana']"
Palicourea spicata,Palicourea,spicata,Rubiaceae,Gentianales,AM,FRED4,"['Psychotria spiciflora', 'Uragoga spicata']"
Palicourea stenosepala,Palicourea,stenosepala,Rubiaceae,Gentianales,,,
Palicourea thyrsiflora,Palicourea,thyrsiflora,Rubiaceae,Gentianales,,,"['Uragoga thyrsiflora', 'Psychotria thyrsiflora']"
Palicourea tinctoria,Palicourea,tinctoria,Rubiaceae,Gentianales,,,['Uragoga tinctoria']
