binominal,F01286,F01287,F01289,F01290,reconciled_state,source,synonyms
Araucaria rulei,Araucaria,rulei,Araucariaceae,Araucariales,AM,FRED4,"['Eutassa rulei', 'Eutacta rulei']"
Arbutus unedo,Arbutus,unedo,Ericaceae,Ericales,EcM,Maherali et. al. 2016,
Archidendron clypearia,Archidendron,clypearia,Fabaceae,Fabales,AM,FRED4,"['Pithecellobium clypearia', 'Abarema clypearia', 'Feuilleea clypearia', 'Inga clypearia', 'Albizia clypearia']"
Archidendron lucidum,Archidendron,lucidum,Fabaceae,Fabales,AM,FRED4,"['Pithecellobium lucidum', 'Abarema lucida']"
Ardisia depressa,Ardisia,depressa,Primulaceae,Ericales,AM,FRED4,
Ardisia japonica,Ardisia,japonica,Primulaceae,Ericales,AM,FRED4,"['Tinus japonica', 'Bladhia japonica']"
Ardisia quinquegona,Ardisia,quinquegona,Primulaceae,Ericales,NMAM,FungalRoot,['Bladhia quinquegona']
Arenaria serpyllifolia,Arenaria,serpyllifolia,Caryophyllaceae,Caryophyllales,NMAM,FRED4,"['Stellaria serpyllifolia', 'Alsinanthus serpyllifolius']"
Aristotelia serrata,Aristotelia,serrata,Elaeocarpaceae,Oxalidales,AM,FRED4,['Dicera serrata']
Armeria velutina,Armeria,velutina,Plumbaginaceae,Caryophyllales,NMAM,Maherali et. al. 2016,"['Statice velutina', 'Armeria maritima subsp. velutina']"
Arnica fulgens,Arnica,fulgens,Asteraceae,Asterales,AM,Maherali et. al. 2016,['Arnica montana var. fulgens']
Arnica sororia,Arnica,sororia,Asteraceae,Asterales,AM,FungalRoot,['Arnica fulgens var. sororia']
Artemisia barrelieri,Artemisia,barrelieri,Asteraceae,Asterales,,,['Seriphidium barrelieri']
Artemisia cana,Artemisia,cana,Asteraceae,Asterales,AM,FungalRoot,['Seriphidium canum']
Artemisia frigida,Artemisia,frigida,Asteraceae,Asterales,AM,FRED4,['Absinthium frigidum']
Artemisia igniaria,Artemisia,igniaria,Asteraceae,Asterales,AM,FRED4,
Artemisia ludoviciana,Artemisia,ludoviciana,Asteraceae,Asterales,AM,FRED4,"['Artemisia vulgaris var. ludoviciana', 'Artemisia vulgaris subsp. ludoviciana']"
Artemisia mongolica,Artemisia,mongolica,Asteraceae,Asterales,AM,FRED4,['Artemisia vulgaris var. mongolica']
Artocarpus lakoocha,Artocarpus,lakoocha,Moraceae,Rosales,,,
Artocarpus styracifolius,Artocarpus,styracifolius,Moraceae,Rosales,AM,FRED4,
Ascarina lucida,Ascarina,lucida,Chloranthaceae,Chloranthales,AM,FRED4,
Asclepias incarnata,Asclepias,incarnata,Apocynaceae,Gentianales,AM,Maherali et. al. 2016,['Acerates incarnata']
Asclepias syriaca,Asclepias,syriaca,Apocynaceae,Gentianales,AM,Maherali et. al. 2016,
Asclepias tuberosa,Asclepias,tuberosa,Apocynaceae,Gentianales,AM,Maherali et. al. 2016,
Asimina triloba,Asimina,triloba,Annonaceae,Magnoliales,AM,FRED4,"['Uvaria triloba', 'Porcelia triloba', 'Annona triloba']"
Asparagus schoberioides,Asparagus,schoberioides,Asparagaceae,Asparagales,AM,FRED4,
Asplenium bulbiferum,Asplenium,bulbiferum,Aspleniaceae,Polypodiales,AM,FRED4,"['Asplenium marinum var. bulbiferum', 'Caenopteris bulbifera', 'Chamaefilix bulbifera']"
