binominal,F01286,F01289,F00679,F00727,F00709,state,state_source,synonym
Saussurea_nivea,Saussurea,Asteraceae,-1.317888328,4.76606890365125,-1.887069646,AM,FRED4,
Saussurea_mongolica,Saussurea,Asteraceae,-1.526016304,5.01532496040111,-1.706601664,AM,FRED4,"('Saussurea ussuriensis var. mongolica',)"
Saussurea_amurensis,Saussurea,Asteraceae,-1.603952982,5.505175697,-2.051270661,AM,FRED4,"('Theodorea amurensis',)"
Atractylis_humilis,Atractylis,Asteraceae,-0.934263784,1.70672406852896,-0.651258992,AM,"(Brundrett and Tedersoo, 2018)",
Adenocaulon_himalaicum,Adenocaulon,Asteraceae,-1.752154215,5.26223251994172,-1.505641119,AM,FRED4,
Campanula_rotundifolia,Campanula,Campanulaceae,-1.954984528,6.28544042078824,-1.772501655,AM,"(Soudzilovskaia et al., 2020)",
Carpodetus_serratus,Carpodetus,Rousseaceae,-0.659760762,3.44488282296282,-1.871129941,AM,FRED4,
Musineon_divaricatum,Musineon,Apiaceae,-0.665921194,3.56990121054355,-1.498053907,AM,"(Brundrett and Tedersoo, 2018)","('Marathrum divaricatum', 'Seseli divaricatum', 'Adorium divaricatum')"
Zizia_aurea,Zizia,Apiaceae,-1.171182982,4.60517018598809,-2.040220829,AM,"(Soudzilovskaia et al., 2020)","('Smyrnium aureum', 'Sison aureum', 'Carum aureum', 'Thaspium aureum')"
Tordylium_maximum,Tordylium,Apiaceae,-1.378326191,5.61312810638807,-2.375155786,AM,"(Brundrett and Tedersoo, 2018)","('Heracleum tordylium', 'Pastinaca tordylium', 'Pastinaca maxima', 'Caucalis maxima')"
Daucus_carota,Daucus,Apiaceae,-1.370421012,5.95324333428778,-2.551046452,AM,FRED4,"('Caucalis carota',)"
Sanicula_orthacantha,Sanicula,Apiaceae,-1.636166972,5.02199985086301,-1.502192384,AM,FRED4,
Sciodaphyllum_acuminatum,Sciodaphyllum,Araliaceae,-1.061605563,3.713254943,-1.348194514,AM,"(Brundrett and Tedersoo, 2018)","('Brassaia acuminata', 'Schefflera acuminata', 'Actinophyllum acuminatum')"
Heptapleurum_heptaphyllum,Heptapleurum,Araliaceae,-1.307298355,5.05933598823162,-2.207274913,AM,FRED4,"('Aralia heptaphylla', 'Sciodaphyllum heptaphyllum', 'Schefflera heptaphylla', 'Vitis heptaphylla', 'Ampelopsis heptaphylla')"
Heptapleurum_minutistellatum,Heptapleurum,Araliaceae,-1.100724518,3.63521492952824,-1.049822124,AM,FRED4,"('Schefflera minutistellata',)"
Schefflera_digita,Schefflera,Araliaceae,-0.529032026,3.81325616350755,-2.401945918,AM,FRED4,
Oreopanax_sessiliflorus,Oreopanax,Araliaceae,-0.423626695,2.82868605151143,-1.704448024,AM,"(Brundrett and Tedersoo, 2018)","('Hedera sessiliflora',)"
Dendropanax_dentigerus,Dendropanax,Araliaceae,-2.061208773,5.4083710520356,-0.875468737,AM,FRED4,"('Textoria dentigera', 'Dendropanax chevalieri var. dentigerus', 'Gilibertia dentigera')"
Eleutherococcus_senticosus,Eleutherococcus,Araliaceae,-1.493879572,5.26364088400132,-2.014903023,AM,FRED4,"('Hedera senticosa', 'Acanthopanax senticosus')"
Macropanax_undulatus,Macropanax,Araliaceae,-1.332943186,3.35689712276558,-1.139434283,AM,FRED4,"('Hedera undulata', 'Paratropia undulata')"
Hedera_helix,Hedera,Araliaceae,-0.604403971,2.66154012465602,-1.177521365,AM,FRED4,
