binominal,F01286,F01287,F00679_mean,F00679_sem,F00727_mean,F00727_sem,F00709_mean,F00709_sem
Calpurnia_aurea,Calpurnia,aurea,-0.6348782724359695,,2.830267833826459,,-1.1394342831883648,
Caltha_palustris,Caltha,palustris,-1.5616005830199404,,5.84841055554281,,-2.4849066537880002,
Calycolpus_goetheanus,Calycolpus,goetheanus,-0.843970070294529,,3.0027078872904163,,-0.959720289801491,
Campanula_rotundifolia,Campanula,rotundifolia,-1.954984527976418,,6.285440420788243,,-1.7725016550214605,
Canarium_album,Canarium,album,-0.8157117108400365,0.1529026550524121,3.3941045293671617,0.2607755704315714,-1.5673661812040407,0.12766762211406443
Canarium_subulatum,Canarium,subulatum,-0.3783180573133738,0.0704163939815905,2.274515409671679,0.1926104206793553,-1.1527034313957574,0.1478747035303348
Carallia_brachiata,Carallia,brachiata,-1.5405650481477249,,4.693547296605504,,-1.5606477482646683,
Carapichea_pacimonica,Carapichea,pacimonica,-0.7787050689215919,,3.258096538021482,,-1.4567168254164364,
Carex_atrofusca,Carex,atrofusca,-0.4493653364974331,0.024068182117960617,3.1601916376173707,0.04364428183402108,-2.043141457496332,0.025254411436707067
Carex_coriophora,Carex,coriophora,-0.3568250291761593,0.03366855180912437,3.062591926414176,0.05647202416575446,-2.107319244478197,0.03748417381874808
Carex_filifolia,Carex,filifolia,-1.7039055877450273,,4.678025021150672,,-0.6715565487753447,
Carex_flacca,Carex,flacca,-1.0937634721761047,0.2030122462928149,4.235665227604223,0.49009433442920713,-1.930449731255104,0.2592931146329343
Carex_humulis,Carex,humulis,-1.2911494978983247,0.01818382208543745,4.594276163521069,0.503270502564483,-1.6037207236212687,0.3623921327515639
Carex_korshinskyi,Carex,korshinskyi,-1.4067053583800182,0.020410997260127628,5.527989311834203,0.08513879455386773,-2.4668371264800637,0.058891517828191686
Carex_lasiocarpa,Carex,lasiocarpa,-1.4696759700589417,,5.529429087511423,,-2.4079456086518722,
Carex_obtusata,Carex,obtusata,-1.7993213221070719,,4.619216429009954,,-0.5603064511383525,
Carex_pseuduncinoides,Carex,pseuduncinoides,-0.49592707493351346,0.025856012882250298,3.19918872653155,0.054027002239325356,-1.9658471432959854,0.023460806210613954
Carex_tibetikobresia,Carex,tibetikobresia,-0.4054375647103531,0.056548822413792534,2.770171017199702,0.07355173272246084,-1.9934938742803616,0.04018416661781279
Carpinus_betulus,Carpinus,betulus,-0.8531729716710631,0.1078735427901448,3.1104032153201433,0.1678803959565689,-0.7359592064966789,0.1529082859886449
Carpinus_caroliniana,Carpinus,caroliniana,-0.47445737277250155,0.04385415979703666,2.8223043609917964,0.15666734657870868,-1.6321644443628696,0.10913549828169938
Carpinus_cordata,Carpinus,cordata,-1.5683955983492925,0.24998672234709632,3.2843035696371867,0.5686769624783927,0.09405211984113751,0.07982552355084294
Carpodetus_serratus,Carpodetus,serratus,-0.6632225985664808,0.03174957720877821,3.432466353249019,0.05962824982398625,-1.874150513732138,0.029855558657592398
Carya_cordiformis,Carya,cordiformis,-0.5026630141714579,0.027625150820873433,2.8725257403916924,0.1408456609963055,-1.6259700941401616,0.12756332805255066
Carya_glabra,Carya,glabra,-1.6605335694180057,0.08634522722596905,3.9368961586218902,0.1627870414157921,-0.3606018951454792,0.14307739764789773
Carya_ovata,Carya,ovata,-0.5576396178353847,0.01807911659177979,2.927557787900765,0.053052228957548395,-1.5704328648507915,0.04773275498664974
Caryota_maxima,Caryota,maxima,-1.2301456786299592,,4.05301196636022,,-1.3342833741352949,
Castanea_henryi,Castanea,henryi,-1.7836127440922864,,3.7125959807312525,,-0.7133498878774648,
Castanopsis_boisii,Castanopsis,boisii,-0.43572052308174586,0.07113562663085357,2.0335893624643218,0.2816361154699304,-0.8429589854804435,0.16904681422206833
Castanopsis_calathiformis,Castanopsis,calathiformis,-0.41895569879745453,,1.9015820043045208,,-0.7712935607328995,
Castanopsis_carlesii,Castanopsis,carlesii,-0.8065179801424345,0.254050647181853,2.5287788840880934,0.7119651812227067,-0.6554128649412811,0.2209232731179735
Castanopsis_echinocarpa,Castanopsis,echinocarpa,-0.6516634034263862,0.13473291552717118,2.4823890053052633,0.26824039116818615,-0.8607984046681824,0.07534668822264128
Castanopsis_eyrei,Castanopsis,eyrei,-1.636637834073377,,4.6279072887905155,,-1.0739196751021285,
Castanopsis_fabri,Castanopsis,fabri,-0.822093673859659,0.23279685106525017,2.3550285314482844,0.7847301548567446,-0.4287688563620459,0.30891527056812035
Castanopsis_fargesii,Castanopsis,fargesii,-1.5960282255241827,,4.743054926652544,,-1.330724511046161,
Castanopsis_ferox,Castanopsis,ferox,-0.4116982342270692,0.209500447020292,2.05644357023428,0.6309760211288725,-0.9310641602671538,0.18631720467505217
