F01286,F01287,F01289,F01290
Halocarpus,biformis,Podocarpaceae,Araucariales
Halocarpus,kirkii,Podocarpaceae,Araucariales
Podocarpus,totara,Podocarpaceae,Araucariales
Prumnopitys,taxifolia,Podocarpaceae,Araucariales
Ackama,rosifolia,Cunoniaceae,Oxalidales
Alectryon,excelsus,Sapindaceae,Sapindales
Coprosma,linariifolia,Rubiaceae,Gentianales
Corynocarpus,laevigatus,Corynocarpaceae,Cucurbitales
Dracophyllum,longifolium,Ericaceae,Ericales
Didymocheton,spectabilis,Meliaceae,Sapindales
Elaeocarpus,dentatus,Elaeocarpaceae,Oxalidales
Elaeocarpus,hookerianus,Elaeocarpaceae,Oxalidales
Fuchsia,excorticata,Onagraceae,Myrtales
Nothofagus,solandri,Nothofagaceae,Fagales
Nothofagus,fusca,Nothofagaceae,Fagales
Hoheria,lyallii,Malvaceae,Malvales
Hoheria,sexstylosa,Malvaceae,Malvales
Knightia,excelsa,Proteaceae,Proteales
Kunzea,ericoides,Myrtaceae,Myrtales
Nothofagus,obliqua,Nothofagaceae,Fagales
Metrosideros,excelsa,Myrtaceae,Myrtales
Metrosideros,robusta,Myrtaceae,Myrtales
Myrsine,coriacea,Primulaceae,Ericales
Nestegis,lanceolata,Oleaceae,Lamiales
Olearia,rani,Asteraceae,Asterales
Pennantia,corymbosa,Pennantiaceae,Apiales
Pittosporum,eugenioides,Pittosporaceae,Apiales
Pittosporum,tenuifolium,Pittosporaceae,Apiales
Plagianthus,regius,Malvaceae,Malvales
Neopanax,arboreus,Araliaceae,Apiales
Sophora,microphylla,Fabaceae,Fabales
Syzygium,maire,Myrtaceae,Myrtales
Vitex,lucens,Lamiaceae,Lamiales
Weinmannia,silvicola,Cunoniaceae,Oxalidales
Beilschmiedia,tarairi,Lauraceae,Laurales
Beilschmiedia,tawa,Lauraceae,Laurales
Rhopalostylis,sapida,Arecaceae,Arecales
Alsophila,tricolor,Cyatheaceae,Cyatheales
Sphaeropteris,medullaris,Cyatheaceae,Cyatheales
Alsophila,smithii,Cyatheaceae,Cyatheales
Helianthus,agrestis,Asteraceae,Asterales
Helianthus,angustifolius,Asteraceae,Asterales
Helianthus,annuus,Asteraceae,Asterales
Helianthus,argophyllus,Asteraceae,Asterales
Helianthus,atrorubens,Asteraceae,Asterales
Helianthus,carnosus,Asteraceae,Asterales
Helianthus,cusickii,Asteraceae,Asterales
Helianthus,debilis,Asteraceae,Asterales
Helianthus,floridanus,Asteraceae,Asterales
Helianthus,grosseserratus,Asteraceae,Asterales
Helianthus,heterophyllus,Asteraceae,Asterales
Helianthus,longifolius,Asteraceae,Asterales
Helianthus,maximiliani,Asteraceae,Asterales
Pappobolus,microphyllus,Asteraceae,Asterales
Helianthus,mollis,Asteraceae,Asterales
Helianthus,neglectus,Asteraceae,Asterales
Helianthus,niveus,Asteraceae,Asterales
Helianthus,occidentalis,Asteraceae,Asterales
Helianthus,petiolaris,Asteraceae,Asterales
Helianthus,porteri,Asteraceae,Asterales
Helianthus,praecox,Asteraceae,Asterales
Helianthus,radula,Asteraceae,Asterales
Helianthus,salicifolius,Asteraceae,Asterales
Helianthus,silphioides,Asteraceae,Asterales
Helianthus,verticillatus,Asteraceae,Asterales
Acer,campestre,Sapindaceae,Sapindales
Prunus,avium,Rosaceae,Rosales
Fraxinus,nigra,Oleaceae,Lamiales
Quercus,palustris,Fagaceae,Fagales
Carya,cordiformis,Juglandaceae,Fagales
Quercus,bicolor,Fagaceae,Fagales
Carpinus,caroliniana,Betulaceae,Fagales
Ilex,verticillata,Aquifoliaceae,Aquifoliales
Vitis,vulpina,Vitaceae,Vitales
Podophyllum,peltatum,Berberidaceae,Ranunculales
Betula,pendula,Betulaceae,Fagales
Pleioblastus,amarus,Poaceae,Poales
Berberis,thunbergii,Berberidaceae,Ranunculales
Lonicera,maackii,Caprifoliaceae,Dipsacales
Rubus,phoenicolasius,Rosaceae,Rosales
Rubus,allegheniensis,Rosaceae,Rosales
Viburnum,dentatum,Viburnaceae,Dipsacales
Trifolium,subterraneum,Fabaceae,Fabales
Mytilaria,laosensis,Hamamelidaceae,Saxifragales
Carex,flacca,Cyperaceae,Poales
Centaurea,pectinata,Asteraceae,Asterales
Coronilla,minima,Fabaceae,Fabales
Helianthemum,apenninum,Cistaceae,Malvales
Helianthemum,oelandicum,Cistaceae,Malvales
Pilosella,officinarum,Asteraceae,Asterales
Koeleria,vallesiana,Poaceae,Poales
Lotus,corniculatus,Fabaceae,Fabales
Sanguisorba,minor,Rosaceae,Rosales
Stipa,pennata,Poaceae,Poales
Thymus,dolomiticus,Lamiaceae,Lamiales
Chomelia,psilocarpa,Rubiaceae,Gentianales
Coccoloba,excelsa,Polygonaceae,Caryophyllales
Combretum,decandrum,Combretaceae,Myrtales
Prionostemma,aspera,Celastraceae,Celastrales
Clitoria,javitensis,Fabaceae,Fabales
Tanaecium,pyramidatum,Bignoniaceae,Lamiales
Alseis,blackiana,Rubiaceae,Gentianales
Coccoloba,manzinellensis,Polygonaceae,Caryophyllales
Terminalia,amazonia,Combretaceae,Myrtales
Maytenus,schippii,Celastraceae,Celastrales
Platypodium,elegans,Fabaceae,Fabales
Handroanthus,guayacan,Bignoniaceae,Lamiales
Larix,kaempferi,Pinaceae,Pinales
Apodytes,dimidiata,Metteniusaceae,Metteniusales
Calpurnia,aurea,Fabaceae,Fabales
Dovyalis,abyssinica,Salicaceae,Malpighiales
Gymnosporia,arbutifolia,Celastraceae,Celastrales
Afrocarpus,falcatus,Podocarpaceae,Araucariales
Allophylus,abyssinicus,Sapindaceae,Sapindales
Noronhia,mildbraedii,Oleaceae,Lamiales
Combretum,collinum,Combretaceae,Myrtales
Ekebergia,capensis,Meliaceae,Sapindales
Vepris,nobilis,Rutaceae,Sapindales
Pinus,koraiensis,Pinaceae,Pinales
Picea,koraiensis,Pinaceae,Pinales
Festuca,christianii-bernardii,Poaceae,Poales
Ilex,macropoda,Aquifoliaceae,Aquifoliales
Ilex,pedunculosa,Aquifoliaceae,Aquifoliales
Quercus,serrata,Fagaceae,Fagales
