species,number of plants studied,mycorrhiza type,AM intensity,AM method,EcM intensity,EcM frequency,EcM method,ErM intensity,ErM frequency,ErM method,OrM intensity,OrM frequency,OrM method,remark_mycorrhiza_ type,curator_remark_1_name,curator_remark_1_comment,curator_remark_2_name,curator _remark_2_comment,curator_remark_3_name,curator_remark_3_comment,other_remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubia peregrina,,EcM; others not addressed,,,,,,,,,,,,,Leho Tedersoo,incorrect report (this genus is AM; in this study 31% reports conflict with predictions),,,Laura M. Suz,do not know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica uniflora,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 31% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex portulacoides,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suaeda maritima,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suaeda maritima,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suaeda vera,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suaeda vera,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia maritima,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago maritima,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tripolium pannonicum subtripolium,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triglochin maritima,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolboschoenus maritimus,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parapholis incurva,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puccinellia distans,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puccinellia maritima,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puccinellia maritima,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartina X townsendii,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buxus sempervirens,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frangula alnus,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamnus cathartica,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes alpinum,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes nigrum,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes uva-crispa,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornus sanguinea,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus excelsior,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligustrum vulgare,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalanthera damasonium,,OM,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia maritima,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huperzia selago,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phegopteris connectilis,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 20% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athyrium filix-femina ,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 20% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dryopteris carthusiana,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 20% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gymnocarpium dryopteris,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polystichum aculeatum,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea abies,,EcM; others not addressed,,,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,Laura M. Suz,confirmed ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranunculus repens,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine amara,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is NM, most reports of this species are NM; in this study 20% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine bulbifera,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardamine pratensis,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stellaria nemorum,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium robertianum,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxalis acetosella,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impatiens noli-tangere,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 20% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosa ,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorbus aucuparia,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum telephium,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysosplenium alternifolium,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium angustifolium,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium angustifolium,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 20% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circaea alpina,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium montanum,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rumex alpinus ,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urtica dioica,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus sylvatica,,EcM; others not addressed,,,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,Laura M. Suz,confirmed ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vaccinium myrtillus,,ErM,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lysimachia nemorum ,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 20% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primula elatior,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myosotis sylvatica,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symphytum tuberosum,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica chamaedrys,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium galeobdolon,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium galeobdolon,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudostellaria sylvatica,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyteuma spicatum,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium odoratum,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium odoratum,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adoxa moschatellina,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valeriana officinalis,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca alpina,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM; in this study 20% reports conflict with predictions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca muralis,,EcM; others not addressed,,,,,,,,,,,,,Leho Tedersoo,incorrect report (this genus is AM; in this study 20% reports conflict with predictions),Mark Brundrett,incorrect report,Laura M. Suz,not ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium ursinum ,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonatum verticillatum ,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris quadrifolia,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris quadrifolia,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM; in this study 20% reports conflict with predictions)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzula pilosa,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzula sylvatica,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poa annua,,AM; others not addressed,,other,,,,,,,,,,,Leho Tedersoo,in this study 20% reports conflict with predictions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium adiantum-nigrum,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asplenium trichomanes,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxus baccata,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filipendula ,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes alpinum,,EcM; others not addressed,,,,,,,,,,,,,Leho Tedersoo,incorrect report (this genus is AM),Mark Brundrett,incorrect report,Laura M. Suz,not ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribes alpinum,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium montanum,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimpinella saxifraga ,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,"probably incorrect (this genus is AM, most reports of this species are AM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanicula europaea,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia amygdaloides,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurialis perennis,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagus sylvatica,,EcM; others not addressed,,,,,,,,,,,,,,,,,Laura M. Suz,confirmed ECM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melittis melissophyllum,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hieracium murorum,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca muralis,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca muralis,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,Leho Tedersoo,probably incorrect (this genus is AM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilium martagon,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonatum odoratum ,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruscus aculeatus ,,AM; others not addressed,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzula sylvatica,,non-mycorrhizal (checked for all types),,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalanthera longifolia,,OM,,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
