"binominal","F01286","F01289","F00679D","F00727D","F00709D","F00679O","F00727O","F00709O","state","synonym"
"Philadelphus_incanus","Philadelphus","Hydrangeaceae",-1.65967912887085,5.17486845955163,-1.49459420348021,-1.65967912887085,5.17486845955163,-1.49459420348021,"AM",""
"Cornus_bretschneideri","Cornus","Cornaceae",-0.789850659688466,3.41260271509167,-1.05538734019561,-1.02010697803015,3.73228916959441,-1.34096290663495,"AM","('Swida bretschneideri',)"
"Cornus_ulotricha","Cornus","Cornaceae",-0.492515122207834,2.58692645824223,-1.35895332893471,-0.492515122207834,2.58692645824223,-1.35895332893471,"AM","('Swida ulotricha',)"
"Cornus_controversa","Cornus","Cornaceae",-0.425336237750576,2.68768478190838,-1.59616157925999,-0.425336237750576,2.68768478190838,-1.59616157925999,"AM","('Bothrocaryum controversum', 'Swida controversa')"
"Cornus_kousa","Cornus","Cornaceae",-0.970351008724099,3.94341900636482,-1.76436049676967,-0.970351008724099,3.94341900636482,-1.76436049676967,"AM","('Benthamia kousa', 'Benthamia japonica', 'Dendrobenthamia japonica', 'Benthamidia japonica', 'Cynoxylon japonicum', 'Cynoxylon kousa')"
"Cornus_florida","Cornus","Cornaceae",-0.687188921293148,3.29926744917094,-1.69963618035225,-0.687188921293148,3.29926744917094,-1.69963618035225,"AM","('Benthamia florida', 'Benthamidia florida', 'Cynoxylon floridum')"
"Cornus_officinalis","Cornus","Cornaceae",-0.345491926762416,2.46514392049588,-0.72712461056259,-0.813968965792738,2.90162876053439,-0.841239492415521,"AM","('Macrocarpium officinale',)"
"Alangium_chinense","Alangium","Cornaceae",-2.37354418193454,5.13526888509767,-1.13943428318836,-2.37354418193454,5.13526888509767,-1.13943428318836,"AM","('Karangolum chinense', 'Stylis chinensis', 'Stylidium chinense', 'Marlea chinensis')"
"Nyssa_aquatica","Nyssa","Nyssaceae",-1.71465443845893,2.60810708332858,-1.83258146374831,-1.71465443845893,2.60810708332858,-1.83258146374831,"AM",""
"Nyssa_sylvatica","Nyssa","Nyssaceae",0.070913985853365,2.10359442652957,-1.45958215688972,0.070913985853365,2.10359442652957,-1.45958215688972,"AM","('Nyssa multiflora var. sylvatica',)"
