"binominal","F01286","F01287","F01289","F00679","F00727","F00709","state","taxa"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4899,24.04813725,0.220143885,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6591,8.0777842,0.362937063,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6825,14.21770073,0.191608392,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6399,25.01976608,0.124363636,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.8998,10.76220532,0.146111111,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4089,40.06066265,0.190804598,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4825,32.52017361,0.168421053,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.501,37.49925926,0.135,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7179,18.61110672,0.132460733,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6481,38.79718391,0.078202247,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7085,13.78464191,0.183902439,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7368,30.05565217,0.077966102,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6766,12.86658088,0.215873016,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6114,15.33191667,0.222222222,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5216,37.71186667,0.123966942,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6019,47.34171717,0.07443609,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5662,6.577586478,0.602843602,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6582,15.34777778,0.192073171,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4579,8.750453333,0.694444444,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4791,37.84492857,0.145833333,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.26,49.71,0.39,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6459,15.04452479,0.20251046,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5275,42.8018254,0.106779661,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5871,25.32894834,0.145698925,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5115,18.2675576,0.266257669,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4846,7.188908927,0.754421769,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5823,10.72757741,0.349681529,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.3352,45.52388095,0.24852071,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6224,18.41061798,0.178,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4763,46.67935065,0.1203125,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6538,29.76973958,0.1,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5219,16.78291667,0.27961165,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5049,25.95411765,0.192907801,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.639,33.58339416,0.092881356,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5787,43.65959538,0.086934673,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.33,23.28,0.51,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4794,9.226896552,0.6,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6388,42.8862243,0.072789116,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5671,11.05336493,0.357627119,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7899,7.45165109,0.274358974,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5964,20.87739623,0.170967742,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5355,18.46439474,0.240506329,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5257,36.93345029,0.124817518,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.527,48.04551471,0.095104895,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4928,23.91293151,0.219879518,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6566,30.39507837,0.097256098,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.33,69.3,0.17,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6011,28.76838828,0.122421525,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.4359,33.32781499,0.200961538,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.8259,7.8846875,0.236619718,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7383,21.33204082,0.109701493,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.32,18.58,0.66,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5049,17.11590164,0.292215569,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6846,37.3452439,0.072888889,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.3374,42.91904255,0.261111111,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7269,22.99704467,0.104676259,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.7344,7.121331878,0.331884058,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.5914,18.31201258,0.19875,"AM","Acer_rubrum"
"Acer_rubrum","Acer","rubrum","Sapindaceae",0.6702,11.0572439,0.25625,"AM","Acer_rubrum"
"Acer_saccharum","Acer","saccharum","Sapindaceae",0.5626,52.85739583,0.076190476,"AM","Acer_saccharum"
