binominal,F00645
Salvia rosmarinus,AM
Sambucus williamsii,AM
Sanguisorba minor,AM
Sanguisorba officinalis,AM
Sanguisorba officinalis,NM
Sanicula orthacantha,AM
Saprosma ternatum,AM
Sassafras albidum,AM
Saussurea amurensis,AM
Saussurea mongolica,AM
Saussurea nivea,AM
Schefflera digita,AM
Schima superba,AM
Schima wallichii,AM
Schoepfia jasminodora,NM
Sciadopitys verticillata,AM
Scleronema micranthum,AM
Sequoiadendron giganteum,AM
Sibbaldianthe bifurca,AM
Simira rubescens,AM
Smilax aspera,AM
Smilax trinervula,AM
Solidago decurrens,AM
Sophora microphylla,AM
Sorbus aucuparia,AM
Sorocea guilleminiana,AM
Sorocea muriculata,AM
Sorocea pubivena,AM
Sphaeropteris medullaris,AM
Spiraea dahurica,AM
Spiraea ouensanensis,AM
Stachyarrhena acuminata,AM
Sterculia lanceolata,AM
Sterculia monosperma,AM
Sticherus cunninghamii,AM
Stipa krylovii,AM
Stipa pennata,AM
Strobilanthes dimorphotricha,AM
Styphnolobium japonicum,AM
Styrax suberifolius,AM
Symphyotrichum falcatum,AM
Syringa reticulata,AM
Syringa reticulata,EcMAM
Syzygium acuminatissimum,AM
Syzygium borbonicum,AM
Syzygium castaneum,AM
Syzygium globiflorum,AM
Syzygium hancei,AM
Syzygium jambos,EcM
Syzygium kunstleri,AM
Syzygium levinei,AM
Syzygium maire,AM
Syzygium napiforme,AM
Syzygium pachysepalum,AM
Syzygium subdecussatum,AM
Tanaecium pyramidatum,AM
Tapirira guianensis,AM
Taraxacum campylodes,AM
Taxodium distichum,AM
Taxus chinensis,AM
Taxus cuspidata,AM
Terminalia amazonia,AM
Ternstroemia coriacea,AM
Tetractomia tetrandra,AM
Tetrapilus roseus,AM
Teucrium chamaedrys,AM
Teucrium fruticans,AM
Thalictrum simplex,AM
Thuja occidentalis,AM
Tilia americana,EcM
Tilia amurensis,EcM
Tilia cordata,EcM
Tilia mandshurica,EcM
Tilia mandshurica,AM
Tilia mongolica,EcM
Tilia oliveri,EcM
Torreya californica,AM
Torreya nucifera,AM
Trachelospermum axillare,AM
Trifolium angustifolium,AM
Trifolium pratense,AM
Trifolium repens,EcM
Trifolium repens,AM
Trifolium subterraneum,AM
Tristaniopsis elliptica,EcMAM
Tristaniopsis obovata,EcMAM
Trymatococcus amazonicus,AM
Tsuga canadensis,EcM
Tsuga canadensis,NM
Ulmus americana,AM
Ulmus davidiana,EcM
Ulmus davidiana,EcMAM
Ulmus macrocarpa,AM
Ulmus minor,AM
Ulmus pumila,AM
Ulmus rubra,AM
Vaccinium corymbosum,ErM
Vaccinium mandarinorum,ErM
Veratrum nigrum,AM
Verbascum thapsus,AM
Veronica persica,NMAM
Veronica spuria,AM
Viburnum dentatum,AM
Viburnum tinus,AM
