"binominal","F01286","F01289","F00679","F00679_se","F00727","F00727_se","F00709","F00709_se","state","state_source","synonym"
"Helianthus_cusickii","Helianthus","Asteraceae",-0.516566805903487,0.0112913514134985,5.17590324200081,0.0910266513055959,-3.36690098592935,0.0144937684366261,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_pauciflorus","Helianthus","Asteraceae",-1.02165124753198,NA,3.95124371858143,NA,-1.66073120682165,NA,"AM","(Soudzilovskaia et al., 2020)",NA
"Helianthus_radula","Helianthus","Asteraceae",-0.571009358123225,0.0435204870468551,5.5611762974825,0.0707520734057145,-3.22169626481324,0.0751411015246688,"AM","(Brundrett and Tedersoo, 2018)","('Centrocarpha radula', 'Helianthus atrorubens subsp. radula', 'Rudbeckia radula')"
"Helianthus_porteri","Helianthus","Asteraceae",-0.77845272773806,0.0914852182626616,5.97218626227116,0.0520866948165258,-3.39973393222839,0.0909231073831499,"AM","(Brundrett and Tedersoo, 2018)","('Gymnolomia porteri', 'Rudbeckia porteri')"
"Helianthus_carnosus","Helianthus","Asteraceae",-0.477902135592788,0.051979801101332,5.59729651153176,0.0594739202620294,-3.44332400928946,0.0361373751084628,"AM","(Brundrett and Tedersoo, 2018)",NA
"Helianthus_heterophyllus","Helianthus","Asteraceae",-0.461445878110265,0.0674354736693347,5.60312712188942,0.044331884380488,-3.5592381551489,0.0526802578289131,"AM","(Brundrett and Tedersoo, 2018)","('Helianthus atrorubens subsp. heterophyllus',)"
"Ambrosia_artemisiifolia","Ambrosia","Asteraceae",-1.02165124753198,NA,4.85981240436167,NA,-2.52572864430826,NA,"AM","(Maherali et. al. 2016)","('Ambrosia elatior var. artemisiifolia',)"
"Echinacea_serotina","Echinacea","Asteraceae",-0.891598119283784,NA,3.55534806148941,NA,-1.51412773262978,NA,"AM","(Brundrett and Tedersoo, 2018)",NA
"Coreopsis_palmata","Coreopsis","Asteraceae",-1.10866262452161,NA,4.72738781871234,NA,-2.30258509299405,NA,"AM","(Brundrett and Tedersoo, 2018)","('Anacis palmata',)"
"Helichrysum_italicum","Helichrysum","Asteraceae",-1.15090608338924,NA,2.91169127715811,NA,-0.0216367043877833,NA,"AM","(Maherali et. al. 2016)","('Gnaphalium italicum',)"
"Helichrysum_stoechas","Helichrysum","Asteraceae",-0.709378193670363,NA,1.8107268950628,NA,-0.426635810312212,NA,"AM","(Maherali et. al. 2016)","('Gnaphalium stoechas',)"
