Dataset,SpeciesName,AccSpeciesName,TraitID,OrigValueStr
FRED - Fine Root Ecology Database,Liriodendron tulipiferum,Liriodendron tulipifera,7.0,AM
FRED - Fine Root Ecology Database,Magnolia grandiflora,Magnolia grandiflora,7.0,AM
FRED - Fine Root Ecology Database,Magnolia kobus,Magnolia kobus,7.0,AM
FRED - Fine Root Ecology Database,Magnolia tripetala,Magnolia tripetala,7.0,AM
FRED - Fine Root Ecology Database,Magnolia virginiana,Magnolia virginiana,7.0,AM
FRED - Fine Root Ecology Database,Matteuccia struthiopteris,Matteuccia struthiopteris,7.0,AM
FRED - Fine Root Ecology Database,Pinus armandii,Pinus armandii,7.0,EM
FRED - Fine Root Ecology Database,Sorbus aucuparia,Sorbus aucuparia,7.0,AM
FRED - Fine Root Ecology Database,Sorbus sibirica,Sorbus aucuparia,7.0,AM
FRED - Fine Root Ecology Database,Syringa amurensis,Syringa reticulata,7.0,AM
FRED - Fine Root Ecology Database,Paramichelia baillonii,Magnolia baillonii,7.0,AM
FRED - Fine Root Ecology Database,Acacia auriculiformis,Acacia auriculiformis,7.0,AM
FRED - Fine Root Ecology Database,Larix gmelinii,Larix gmelinii,7.0,AM
FRED - Fine Root Ecology Database,Carpinus betula,Carpinus betulus,7.0,EM
FRED - Fine Root Ecology Database,Gletitsia triacanthos intermis,Gleditsia triacanthos,7.0,NM/AM
FRED - Fine Root Ecology Database,Tilia mandshurica,Tilia mandshurica,7.0,EM
FRED - Fine Root Ecology Database,Asimina triloba,Asimina triloba,7.0,AM
FRED - Fine Root Ecology Database,Catalpa bignonioides,Catalpa bignonioides,7.0,AM
FRED - Fine Root Ecology Database,Cercidiphyllum japonicum,Cercidiphyllum japonicum,7.0,AM
FRED - Fine Root Ecology Database,Chionanthus virginicus,Chionanthus virginicus,7.0,AM
FRED - Fine Root Ecology Database,Diospyros virginiana,Diospyros virginiana,7.0,AM
FRED - Fine Root Ecology Database,Gleditsia tricanthos,Gleditsia triacanthos,7.0,AM
FRED - Fine Root Ecology Database,Gleditsia tricanthos,Gleditsia triacanthos,7.0,NM/AM
FRED - Fine Root Ecology Database,Halesia tetraptera,Halesia tetraptera,7.0,AM
FRED - Fine Root Ecology Database,Ilex opaca,Ilex opaca,7.0,AM
FRED - Fine Root Ecology Database,Koelreuteria paniculata,Koelreuteria paniculata,7.0,AM
FRED - Fine Root Ecology Database,Liquidambar staryciflua,Liquidambar styraciflua,7.0,AM
FRED - Fine Root Ecology Database,Magnolia denudata,Magnolia denudata,7.0,AM
FRED - Fine Root Ecology Database,Magnolia macrophylla,Magnolia macrophylla,7.0,AM
FRED - Fine Root Ecology Database,Magnolia stellata,Magnolia stellata,7.0,AM
FRED - Fine Root Ecology Database,Nyssa sylvatica,Nyssa sylvatica,7.0,AM
FRED - Fine Root Ecology Database,Populus deltoides,Populus deltoides,7.0,AM
FRED - Fine Root Ecology Database,Prunus sargentii,Prunus sargentii,7.0,AM
FRED - Fine Root Ecology Database,Sassafras albidum,Sassafras albidum,7.0,AM
FRED - Fine Root Ecology Database,Styphnolobium japonicum,Styphnolobium japonicum,7.0,AM
FRED - Fine Root Ecology Database,Syringa reticulata,Syringa reticulata,7.0,AM
FRED - Fine Root Ecology Database,Ulmus americana,Ulmus americana,7.0,AM
FRED - Fine Root Ecology Database,Acer fabri,Acer fabri,7.0,AM
FRED - Fine Root Ecology Database,Alniphyllum fortunei,Alniphyllum fortunei,7.0,AM
FRED - Fine Root Ecology Database,Michelia macclurei,Magnolia macclurei,7.0,AM
