,RD,SRL,RN,RTD,F00056,F00645,F01286,F01287,F01289,F01290
206,0.892250,20.514550,23.203333,0.103000,1.000000,AM,Sassafras,albidum,Lauraceae,Laurales
207,0.931500,12.204328,19.603250,0.110000,2.000000,AM,Sassafras,albidum,Lauraceae,Laurales
208,1.335633,4.794158,15.991167,0.160000,3.000000,AM,Sassafras,albidum,Lauraceae,Laurales
209,0.481500,36.817618,26.334125,0.154000,1.000000,AM,Styphnolobium,japonicum,Fabaceae,Fabales
210,0.742000,20.964799,21.859375,0.180000,2.000000,AM,Styphnolobium,japonicum,Fabaceae,Fabales
211,1.033125,4.524390,15.092875,0.270000,3.000000,AM,Styphnolobium,japonicum,Fabaceae,Fabales
212,0.303000,89.918499,23.893875,0.078000,1.000000,AM,Syringa,reticulata,Oleaceae,Lamiales
213,0.295250,40.999364,20.343875,0.100000,2.000000,AM,Syringa,reticulata,Oleaceae,Lamiales
214,1.096175,4.427776,11.510375,0.270000,3.000000,AM,Syringa,reticulata,Oleaceae,Lamiales
215,0.243000,71.769631,16.328250,0.077000,1.000000,AM,Ulmus,americana,Ulmaceae,Rosales
216,0.376500,35.717512,10.180500,0.170000,2.000000,AM,Ulmus,americana,Ulmaceae,Rosales
217,0.856525,6.694492,7.988250,0.310000,3.000000,AM,Ulmus,americana,Ulmaceae,Rosales
218,0.420000,20.100000,18.200000,0.360000,1.000000,NA,Ardisia,quinquegona,Primulaceae,Ericales
219,0.530000,18.200000,17.100000,0.240000,2.000000,NA,Ardisia,quinquegona,Primulaceae,Ericales
220,0.740000,10.700000,14.300000,0.220000,3.000000,NA,Ardisia,quinquegona,Primulaceae,Ericales
221,0.555370,17.040000,26.130000,0.240000,1.000000,AM,Magnolia,macclurei,Magnoliaceae,Magnoliales
222,0.720740,17.240000,18.450000,0.210000,1.000000,AM,Magnolia,yunnanensis,Magnoliaceae,Magnoliales
223,0.696850,12.010000,21.260000,0.240000,1.000000,AM,Magnolia,lotungensis,Magnoliaceae,Magnoliales
224,0.580040,20.160000,21.710000,0.230000,1.000000,AM,Magnolia,balansae,Magnoliaceae,Magnoliales
225,0.576020,13.820000,20.570000,0.240000,1.000000,AM,Magnolia,odora,Magnoliaceae,Magnoliales
226,0.664070,19.390000,21.110000,0.230000,1.000000,AM,Magnolia,fulva,Magnoliaceae,Magnoliales
227,0.742410,15.400000,21.100000,0.220000,1.000000,AM,Magnolia,cavaleriei,Magnoliaceae,Magnoliales
228,0.503890,21.820000,22.150000,0.190000,1.000000,AM,Manglietia,paruicula,Magnoliaceae,Magnoliales
229,0.463520,19.900000,16.220000,0.290000,1.000000,AM,Magnolia,champaca,Magnoliaceae,Magnoliales
230,0.562880,12.670000,26.760000,0.190000,1.000000,AM,Magnolia,opipara,Magnoliaceae,Magnoliales
231,0.562760,17.860000,17.300000,0.290000,1.000000,AM,Magnolia,maudiae,Magnoliaceae,Magnoliales
232,0.531110,19.090000,15.520000,0.190000,1.000000,AM,Liriodendron,chinense,Magnoliaceae,Magnoliales
233,0.668610,17.820000,21.830000,0.220000,1.000000,AM,Magnolia,ernestii,Magnoliaceae,Magnoliales
234,0.579810,9.740000,21.640000,0.240000,1.000000,AM,Magnolia,grandiflora,Magnoliaceae,Magnoliales
235,0.575000,19.330000,18.790000,0.270000,1.000000,AM,Magnolia,baillonii,Magnoliaceae,Magnoliales
236,0.623700,17.690000,23.330000,0.130000,1.000000,AM,Magnolia,dandyi,Magnoliaceae,Magnoliales
237,0.576800,23.430000,23.520000,0.170000,1.000000,AM,Magnolia,chapensis,Magnoliaceae,Magnoliales
238,0.757960,4.930000,21.060000,0.310000,1.000000,AM,Cryptocarya,chinensis,Lauraceae,Laurales
239,0.453610,21.780000,27.500000,0.280000,1.000000,AM,Machilus,velutina,Lauraceae,Laurales
240,0.425930,32.300000,21.250000,0.300000,1.000000,AM,Machilus,kwangtungensis,Lauraceae,Laurales
241,0.405930,39.990000,25.620000,0.420000,1.000000,AM,Litsea,cubeba,Lauraceae,Laurales
242,0.415740,35.410000,25.860000,0.270000,1.000000,AM,Cinnamomum,camphora,Lauraceae,Laurales
243,0.523390,15.590000,31.630000,0.350000,1.000000,AM,Litsea,verticillata,Lauraceae,Laurales
244,0.484750,18.160000,22.840000,0.370000,1.000000,AM,Cryptocarya,concinna,Lauraceae,Laurales
245,0.478950,18.000000,19.570000,0.250000,1.000000,AM,Machilus,robusta,Lauraceae,Laurales
246,0.306300,18.170000,19.640000,0.320000,1.000000,AM,Cinnamomum,micranthum,Lauraceae,Laurales
247,0.534490,22.750000,29.240000,0.130000,1.000000,AM,Cinnamomum,cassia,Lauraceae,Laurales
248,0.705940,13.020000,34.540000,0.130000,1.000000,AM,Litsea,baviensis,Lauraceae,Laurales
249,0.441850,14.680000,20.930000,0.280000,1.000000,AM,Cinnamomum,porrectum,Lauraceae,Laurales
250,0.357960,30.070000,20.820000,0.440000,1.000000,AM,Ocotea,lancifolia,Lauraceae,Laurales
251,0.399340,45.310000,24.450000,0.390000,1.000000,AM,Orophea,creaghii,Annonaceae,Magnoliales
