,RD,SRL,RN,RTD,F00056,F00645,F01286,F01287,F01289,F01290
167,0.852750,15.188097,20.488125,0.129000,1.000000,AM,Liriodendron,tulipifera,Magnoliaceae,Magnoliales
168,0.889250,10.348418,18.298250,0.140000,2.000000,AM,Liriodendron,tulipifera,Magnoliaceae,Magnoliales
169,1.313625,4.245750,14.540125,0.160000,3.000000,AM,Liriodendron,tulipifera,Magnoliaceae,Magnoliales
170,0.982750,12.382596,20.450750,0.141000,1.000000,AM,Magnolia,acuminata,Magnoliaceae,Magnoliales
171,0.989750,7.859995,19.653375,0.160000,2.000000,AM,Magnolia,acuminata,Magnoliaceae,Magnoliales
172,1.700600,2.277348,16.189250,0.210000,3.000000,AM,Magnolia,acuminata,Magnoliaceae,Magnoliales
173,0.804500,20.901448,19.184750,0.111000,1.000000,AM,Magnolia,denudata,Magnoliaceae,Magnoliales
174,0.921000,11.355007,14.742000,0.130000,2.000000,AM,Magnolia,denudata,Magnoliaceae,Magnoliales
175,1.780600,2.038876,9.122250,0.200000,3.000000,AM,Magnolia,denudata,Magnoliaceae,Magnoliales
176,1.224000,9.091114,18.337000,0.137000,1.000000,AM,Magnolia,grandiflora,Magnoliaceae,Magnoliales
177,1.427000,4.920247,15.324250,0.160000,2.000000,AM,Magnolia,grandiflora,Magnoliaceae,Magnoliales
178,1.777650,1.918655,9.995250,0.210000,3.000000,AM,Magnolia,grandiflora,Magnoliaceae,Magnoliales
179,0.641500,27.324764,36.931000,0.122000,1.000000,AM,Magnolia,kobus,Magnoliaceae,Magnoliales
180,0.629000,14.387263,31.843000,0.170000,2.000000,AM,Magnolia,kobus,Magnoliaceae,Magnoliales
181,1.330650,3.948761,17.916250,0.210000,3.000000,AM,Magnolia,kobus,Magnoliaceae,Magnoliales
182,1.099000,12.895006,31.934000,0.134000,1.000000,AM,Magnolia,macrophylla,Magnoliaceae,Magnoliales
183,1.377000,9.176843,30.193500,0.150000,2.000000,AM,Magnolia,macrophylla,Magnoliaceae,Magnoliales
184,1.373833,4.222725,15.366106,0.190000,3.000000,AM,Magnolia,macrophylla,Magnoliaceae,Magnoliales
185,0.731500,31.165607,26.253450,0.096000,1.000000,AM,Magnolia,stellata,Magnoliaceae,Magnoliales
186,0.802500,18.315221,19.474625,0.110000,2.000000,AM,Magnolia,stellata,Magnoliaceae,Magnoliales
187,1.517475,4.357542,14.432125,0.140000,3.000000,AM,Magnolia,stellata,Magnoliaceae,Magnoliales
188,0.829250,17.996477,23.634125,0.135000,1.000000,AM,Magnolia,tripetala,Magnoliaceae,Magnoliales
189,1.106500,10.307400,21.113875,0.140000,2.000000,AM,Magnolia,tripetala,Magnoliaceae,Magnoliales
190,1.659675,2.712878,17.206000,0.190000,3.000000,AM,Magnolia,tripetala,Magnoliaceae,Magnoliales
191,1.079750,20.130884,24.713250,0.115000,1.000000,AM,Magnolia,virginiana,Magnoliaceae,Magnoliales
192,1.205750,16.278603,20.913875,0.140000,2.000000,AM,Magnolia,virginiana,Magnoliaceae,Magnoliales
193,1.466525,5.167746,15.350437,0.180000,3.000000,AM,Magnolia,virginiana,Magnoliaceae,Magnoliales
194,0.878333,13.572805,16.459167,0.157000,1.000000,AM,Nyssa,sylvatica,Cornaceae,Cornales
195,1.008333,8.737359,13.456833,0.200000,2.000000,AM,Nyssa,sylvatica,Cornaceae,Cornales
196,1.333800,2.276562,6.712500,0.340000,3.000000,AM,Nyssa,sylvatica,Cornaceae,Cornales
197,0.486750,11.977390,9.219875,0.149000,1.000000,AM,Platanus,occidentalis,Platanaceae,Proteales
198,1.169600,3.218217,6.524208,0.300000,2.000000,AM,Platanus,occidentalis,Platanaceae,Proteales
199,0.416000,23.929697,13.021250,0.150000,3.000000,AM,Platanus,occidentalis,Platanaceae,Proteales
200,0.337500,87.255293,13.853000,0.066000,1.000000,AM,Populus,deltoides,Salicaceae,Malpighiales
201,0.351500,48.630372,11.611500,0.110000,2.000000,AM,Populus,deltoides,Salicaceae,Malpighiales
202,0.882800,8.113986,7.795625,0.210000,3.000000,AM,Populus,deltoides,Salicaceae,Malpighiales
203,0.275000,81.442106,19.387167,0.103000,1.000000,AM,Prunus,sargentii,Rosaceae,Rosales
204,0.383333,32.085274,14.767667,0.180000,2.000000,AM,Prunus,sargentii,Rosaceae,Rosales
205,0.928167,5.205504,10.648667,0.310000,3.000000,AM,Prunus,sargentii,Rosaceae,Rosales
