"binominal","state","RD"
"Aporosa_octandra","AM",-1.00342938969092
"Aporosa_yunnanensis","AM",-1.34195216976915
"Carallia_brachiata","AM",-1.54056504814772
"Galearia_maingayi","AM",-0.601115095113452
"Euphorbia_cyparissias","AM",-0.358104536748327
"Aleurites_moluccana","AM",-0.0512932943875506
"Endospermum_chinense","AM",-0.475906232986543
"Macaranga_sampsonii","AM",-1.97366620407253
"Mallotus_paniculatus","AM",-1.44477129087887
"Blumeodendron_tokbrai","AM",-0.790760009426946
"Alchornea_tiliifolia","AM",-1.89711998488588
"Alchornea_trewioides","AM",-1.36924060655406
"Linum_lewisii","AM",-1.314531994893
"Elaeocarpus_dentatus","AM",-0.521116488784813
"Elaeocarpus_hookerianus","AM",-0.85817906881694
"Elaeocarpus_dubius","AM",-1.21086315503069
"Elaeocarpus_sylvestris","AM",-1.44828838251107
"Elaeocarpus_glabripetalus","AM",-1.27296567581289
"Aristotelia_serrata","AM",-1.02054075324795
"Weinmannia_racemosa","AM",-0.971350509057183
"Weinmannia_blumei","AM",-1.45886505395473
"Leiospermum_racemosum","AM",-1.46967597005894
"Weinmannia_silvicola","AM",-0.959407022947783
"Caldcluvia_rosifolia","AM",-1.01987931406024
"Prionostemma_aspera","AM",-0.365641728517865
"Euonymus_alatus","AM",-1.49283075303449
"Euonymus_verrucosus","AM",-1.45528607260751
"Maytenus_arbutifolia","AM",-0.653926467406664
"Maytenus_schippii","AM",-0.295360043444661
"Microtropis_discolor","AM",-0.778944749058703
"Alliaria_petiolata","NM",-1.78856457833154
"Draba_nemorosa","NM",-2.00730694392064
"Berteroa_incana","NM",-1.66073120682165
"Hesperis_matronalis","NM",-1.83633851262602
"Erysimum_inconspicuum","NM",-2.10455424249491
"Lepidium_densiflorum","NM",-1.79848201498888
"Descurainia_sophia","NM",-2.07226733793184
"Microcos_paniculata","AM",-2.14686421799727
"Sphaeralcea_coccinea","AM",-1.15106414867053
"Sida_acuta","AM",-0.896488104577975
"Hoheria_lyallii","AM",-0.617244900772059
"Hoheria_sexstylosa","AM",-0.246135007525282
"Plagianthus_regius","AM",-0.82915783449065
"Ceiba_pentandra","AM",0
"Tilia_mongolica","EcM",-1.67931145552705
"Tilia_mandshurica","EcM",-1.31574926189532
"Tilia_cordata","EcM",-1.16322483494547
"Tilia_oliveri","EcM",-1.57515726595727
"Tilia_amurensis","EcM",-1.57310598318671
"Tilia_americana","EcM",-0.804358109895947
"Pterospermum_acerifolium","AM",-1.27032630487596
"Sterculia_lanceolata","AM",-1.40719792622576
"Sterculia_nobilis","AM",-1.38728495159267
"Theobroma_cacao","AM",-0.579818495252942
"Shorea_multiflora","EcM",-0.125903416889156
"Shorea_acuminata","EcM",-0.872166196749426
"Shorea_leprosula","EcM",-1.0734262544156
