binominal,SRL
Allophylus_abyssinicus,2.3561258599220753
Alnus_glutinosa,3.2857469622150157
Alopecurus_pratensis,5.4785534168509695
Alseis_blackiana,2.5493501726243135
Alternanthera_sessilis,3.82929335782915
Ambrosia_artemisiifolia,4.859812404361672
Amelanchier_alnifolia,3.038581000863127
Anaxagorea_javanica,1.8703129747441396
Andropogon_gerardii,4.02535169073515
Androsace_occidentalis,5.334918413389103
Anemone_cylindrica,3.9512437185814275
Anemone_patens,3.501256317347026
Antennaria_neglecta,4.826183259044324
Antennaria_parvifolia,3.805296934268106
Anthoxanthum_odoratum,5.298242363735396
Anthyllis_cytisoides,2.2408114559060697
Anthyllis_terniflora,1.7962250888235667
Apodytes_dimidiata,2.5572273113676265
Aporosa_subcaudata,2.4220089311308337
Aquilegia_vulgaris,6.126973886492961
Arbutus_unedo,2.4945979586490235
Arctotheca_calendula,5.49875783799931
Arenaria_serpyllifolia,6.441751639101684
Aristida_ramosa,4.383899879055562
Aristotelia_serrata,4.317114146402651
Armeria_velutina,2.3518964032480256
Arnica_fulgens,2.7651715000311867
Arnica_sororia,4.3422566039633335
Arrhenatherum_elatius,5.193123503669531
Artemisia_barrelieri,1.6239199287813029
Artemisia_cana,4.023913586086754
Artemisia_codonocephala,2.506341930508065
Artemisia_frigida,4.163993645323009
Artemisia_ludoviciana,4.435120834310792
Arthraxon_hispidus,2.569554123848285
Ascarina_lucida,3.100092288878234
Asclepias_incarnata,4.248495242049359
Asclepias_syriaca,3.871201010907891
Asclepias_tuberosa,3.1354942159291497
Asplenium_bulbiferum,3.459466289786131
Astelia_fragrans,2.5572273113676265
Astelia_nervosa,2.6741486494265287
Aster_laevis,3.527019276121148
Aster_lanceolatus,4.219507705176107
Astragalus_aboriginum,3.7607826164598617
Astragalus_agrestis,3.0361683041597565
Astragalus_bisulcatus,4.505276183130613
Astragalus_canadensis,3.5263605246161616
Astragalus_pelecinus,5.576852994134958
Astragalus_scaberrimus,4.091757886325333
Astrantia_minor,2.3580197998821464
Atractylis_humilis,1.7067240685289604
Ballota_hirsuta,1.6660532864879638
Baptisia_alba,5.765191102784844
Bauhinia_championii,2.189416394888408
Beilschmiedia_tarairi,2.1843886504843235
Beilschmiedia_tawa,2.088905305193164
Berberis_thunbergii,3.350788018246876
Berteroa_incana,5.4680601411351315
Betula_alleghaniensis,4.373238128640803
Betula_lenta,4.697749367281185
Betula_pendula,4.212127597878484
Bituminaria_bituminosa,4.7239729257472645
Blechnum_chambersii,3.4781584227982836
Blechnum_discolor,3.269568939183719
Blechnum_fluviatile,3.758871825933971
Blechnum_novae-zelandiae,3.332204510175204
Blechnum_procerum,3.4372078191851885
Blumeodendron_tokbrai,3.21107720250907
Bothriochloa_macra,4.5976419195673
Bouteloua_curtipendula,4.174387269895637
Brachypodium_phoenicoides,4.8902990016521555
Brachypodium_pinnatum,5.465948207931988
Brachypodium_sylvaticum,5.081404364984463
Bromus_catharticus,5.342224871341821
Bromus_erectus,4.632993780436972
Bromus_hordeaceus,5.742076504217209
Bromus_inermis,5.125546462525955
Bromus_madritensis,5.832048641385611
Calamagrostis_canadensis,5.517452896464707
Calamovilfa_longifolia,3.4965075614664802
Caldcluvia_rosifolia,3.9510243683276944
Calpurnia_aurea,2.830267833826459
Campanula_rotundifolia,6.285440420788243
Carex_doisutepensis,3.1376657694426577
Carex_filifolia,4.678025021150672
Carex_flacca,4.1069991583341805
Carex_humilis,4.4513486186640385
Carex_korshinskyi,5.531609248914061
Carex_lasiocarpa,5.529429087511423
Carex_moorcroftii,-1.1307843023744606
Carex_nigra,2.2126603854660587
Carex_obtusata,4.619216429009954
Carpinus_caroliniana,3.0393599951522816
Carpodetus_serratus,3.4448828229628194
Carya_cordiformis,3.1219220039762328
Carya_ovata,3.067860515438203
Ceiba_pentandra,1.9600947840472698
Celtis_australis,3.1154290151287816
Centaurea_pectinata,3.7740270390550457
Cerastium_arvense,4.517229830868229
Cerastium_fontanum,1.9740810260220096
Cercis_canadensis,3.299533727885655
Chamaecrista_fasciculata,4.248495242049359
Chamaerhodos_erecta,4.658710952916121
Chenopodium_album,4.955499329608534
Chionanthus_mildbraedii,2.247072383063787
Chloris_anomala,2.9947317732204075
Chomelia_psilocarpa,2.942511704428173
Chondrosum_gracile,4.481377676912836
Cichorium_intybus,5.937234329179472
Cinnamomum_subcuneatum,2.3134459003267915
Cistus_albidus,1.940994916854536
Cistus_crispus,2.52003676585818
Cistus_ladanifer,2.226795782089849
Cistus_libanotis,2.3383594434867416
Cistus_monspeliensis,2.2929109689902534
Cistus_salviifolius,2.2678828720579176
Citrus_aurantium,3.0301337002713233
Citrus_trifoliata,3.484312288372662
Cleistogenes_squarrosa,5.365742342862826
