"binominal","state","SRL"
"Malus_domestica","AM",4.03242639967025
"Malus_baccata","AM",4.26871371214265
"Cydonia_oblonga","AM",2.2425130299389
"Crataegus_pinnatifida","AM",4.65663128004649
"Crataegus_monogyna","AM",2.31139379520943
"Cotoneaster_multiflorus","AM",4.98480350515749
"Cotoneaster_adpressus","AM",4.48380769424055
"Cotoneaster_acutifolius","AM",4.6317926425482
"Pyrus_bourgaeana","AM",2.23004742585042
"Pyrus_betulifolia","AM",2.87284382279162
"Sorbus_discolor","AM",4.7952884389838
"Sorbus_aucuparia","AM",4.09065267291113
"Eriobotrya_japonica","AM",3.83189696094886
"Rhaphiolepis_indica","AM",4.46349140765615
"Amelanchier_alnifolia","AM",3.03858100086313
"Spiraea_dahurica","AM",5.67299847766333
"Spiraea_pubescens","AM",5.01173690909558
"Prunus_alabamensis","AM",4.9638761218657
"Prunus_armeniaca","AM",3.51886293604751
"Prunus_sibirica","AM",4.70150162322239
"Prunus_persica","AM",4.33416649416709
"Prunus_sargentii","AM",4.39989994695238
"Prunus_avium","AM",4.95641899786301
"Prunus_virginiana","AM",3.97961212367171
"Prunus_serotina","AM",3.02321658752375
"Prunus_padus","AM",5.50616332770253
"Ficus_variolosa","AM",4.96598654242737
"Ficus_carica","AM",3.06235007118466
"Ficus_tikoua","AM",1.87946504964716
"Artocarpus_styracifolius","AM",3.54211807271853
"Oreocnide_frutescens","NMAM",4.54415551173609
"Celtis_australis","AM",3.11542901512878
"Celtis_sinensis","AM",4.72738781871234
"Gironniera_subaequalis","AM",4.21331208128614
"Ulmus_laciniata","AM",4.89896666181845
"Ulmus_minor","AM",2.99246564141613
"Ulmus_macrocarpa","AM",4.17772422697926
"Ulmus_pumila","AM",4.74100800540179
"Ulmus_davidiana","AM",4.76263893805587
"Ulmus_rubra","AM",4.37071287477361
"Ulmus_americana","AM",4.27346398793999
"Rhamnus_davurica","AM",5.19709489569434
"Rhamnus_lycioides","AM",3.22242990962009
"Rhamnus_alaternus","AM",2.78214481945248
"Elaeagnus_commutata","AM",2.91745669250874
"Coriaria_arborea","AM",3.31054301339402
"Coriaria_nepalensis","AM",3.44380222404426
"Corynocarpus_laevigatus","AM",3.16966489701815
"Carpinus_caroliniana","EcM",3.03935999515228
"Carpinus_betulus","EcM",3.71834565231058
"Carpinus_cordata","EcM",4.15396636985902
"Corylus_ferox","EcM",4.22385069265036
"Corylus_sieboldiana","EcM",4.88916930920065
"Betula_albosinensis","EcM",4.04679244003732
"Betula_platyphylla","EcM",4.62646745324346
"Betula_pendula","EcM",4.21212759787848
"Betula_dahurica","EcM",4.00173769289586
"Betula_costata","EcM",4.5926809503541
"Betula_fruticosa","EcM",3.88699799929116
"Betula_alleghaniensis","EcM",4.3732381286408
"Betula_lenta","EcM",4.69774936728118
"Alnus_glutinosa","EcM",3.28574696221502
"Alnus_hirsuta","EcM",4.24366975537887
"Alnus_formosana","EcM",5.31297132170895
"Alnus_mandshurica","EcM",4.69124550726424
"Engelhardia_roxburghiana","EcM",4.66894278888516
"Juglans_nigra","AM",3.20307961344712
"Juglans_mandshurica","AM",4.69276759984572
"Carya_glabra","EcM",4.51060306338171
"Carya_cordiformis","EcM",3.12192200397623
"Carya_ovata","EcM",3.0678605154382
"Quercus_lowii","EcM",3.43314814289398
"Quercus_ilex","EcM",1.99565570322495
"Quercus_serrata","EcM",4.85455831570219
"Quercus_robur","EcM",3.58594681257937
"Quercus_mongolica","EcM",4.59708007239045
"Quercus_aliena","EcM",4.61768926764541
"Quercus_alba","EcM",4.29141788580313
"Quercus_macrocarpa","EcM",3.86357716939098
"Quercus_bicolor","EcM",3.45302008298155
"Quercus_canariensis","EcM",2.55265190120949
"Quercus_faginea","EcM",2.10511468461268
"Quercus_wutaishanica","EcM",4.01203173887264
"Quercus_suber","EcM",2.94512711234848
"Quercus_variabilis","EcM",4.38407332701946
"Quercus_asymmetrica","EcM",3.81065451103986
"Quercus_glauca","EcM",4.17914516391457
"Quercus_oxyodon","EcM",5.15833414959346
"Quercus_multinervis","EcM",4.34556314783617
"Quercus_coccifera","EcM",2.29885417115269
"Quercus_palustris","EcM",3.62987745451656
"Quercus_rubra","EcM",4.16195128826801
"Castanopsis_carlesii","EcM",4.31277910721574
"Castanopsis_faberi","EcM",4.55254874417853
"Castanopsis_fargesii","EcM",4.74305492665254
"Castanopsis_echinocarpa","EcM",4.40280917385641
"Castanopsis_fissa","EcM",4.5373281962683
"Castanopsis_wattii","EcM",4.52526080275979
"Castanopsis_eyrei","EcM",4.62790728879052
"Castanopsis_hystrix","EcM",4.25717177752826
"Castanea_henryi","EcM",3.71259598073125
"Lithocarpus_rigidus","EcM",2.732385026117
"Lithocarpus_lampadarius","EcM",2.98597861086037
"Lithocarpus_confertus","EcM",3.01950739220476
"Lithocarpus_clementianus","EcM",3.38516962058496
"Lithocarpus_chiungchungensis","EcM",4.32691025211521
"Lithocarpus_fenestratus","EcM",2.62720161323889
