binominal,state,RD
Cotoneaster_adpressus,AM,-1.4120225096926218
Cotoneaster_multiflorus,AM,-1.4711988682103345
Crataegus_pinnatifida,AM,-1.540145085938151
Cratoxylum_cochinchinense,AM,-2.1126261090708796
Cryptocarya_chinensis,AM,-0.26669352554264664
Cryptocarya_concinna,AM,-0.7738150836274001
Cryptomeria_japonica,AM,-0.9226023583489199
Cunninghamia_lanceolata,AM,-0.8286264774997983
Cupressus_funebris,AM,-0.9717786574920971
Cystopteris_sudetica,AM,-1.0793671726348102
Dacrycarpus_imbricatus,AM,-0.7139503089104293
Daphniphyllum_pentandrum,AM,-1.299994470510012
Decaspermum_gracilentum,AM,-1.8620746431430808
Dendropanax_dentiger,AM,-2.0612087734187763
Deutzia_glabrata,AM,-1.6928195213731514
Deutzia_grandiflora,AM,-1.1135990309764332
Dicranopteris_linearis,AM,-1.625567294363984
Dicranopteris_pedata,AM,-1.5874318321714858
Dioscorea_nipponica,AM,-1.6004781710626284
Diospyros_strigosa,AM,-1.032480649404884
Diospyros_virginiana,AM,-0.9851420196345554
Diplospora_dubia,AM,-1.1996488328458814
Doellingeria_scabra,AM,-1.554476354360126
Dryopteris_lepidopoda,AM,-1.610104634643966
Dryopteris_sparsa,AM,-1.6156866451625458
Duchesnea_indica,AM,-1.640928579525471
Dysoxylum_excelsum,AM,-0.12044771501308699
Elaeocarpus_dubius,AM,-1.2108631550306903
Elaeocarpus_glabripetalus,AM,-1.2729656758128873
Elaeocarpus_sylvestris,AM,-1.448288382511074
Eleutherococcus_senticosus,AM,-1.493879571799828
Embelia_vestita,NM,-1.5709386132834906
Endospermum_chinense,AM,-0.47590623298654317
Engelhardia_roxburghiana,EcM,-1.7344344026087857
Equisetum_hyemale,NMAM,-0.7367031130518447
Equisetum_pratense,NMAM,-1.413391453656634
Eriobotrya_japonica,AM,-1.1430658694224145
Eucalyptus_urophylla,EcMAM,-1.93489108257288
Euonymus_alatus,AM,-1.4928307530344898
Euonymus_verrucosus,AM,-1.455286072607515
Euptelea_pleiosperma,AM,-1.1412850573146909
Eurya_japonica,AM,-1.739216953941945
Fagus_engleriana,EcM,-1.6918688864132598
Ficus_variolosa,AM,-2.0180078354957436
Filipendula_palmata,AM,-1.6982691261407161
Fraxinus_americana,AM,-1.484060365995576
Fraxinus_chinensis,AM,-1.000980131286906
Fraxinus_excelsior,AM,-0.9843478065341427
Fraxinus_mandshurica,AM,-1.291650484943504
Galium_aparine,NMAM,-1.6654793033177253
Garcinia_cowa,AM,-1.2279581670764472
Garcinia_oblongifolia,AM,-1.6597317064885675
Ginkgo_biloba,AM,-0.390084006069862
Gironniera_subaequalis,AM,-2.080241861850605
Gleditsia_triacanthos,AM,-0.9694534699515954
Goniothalamus_griffithii,AM,-0.48672807274248575
Gordonia_axillaris,AM,-0.6129321800373665
Halesia_tetraptera,AM,-1.4942022073600145
Hamamelis_virginiana,AM,-1.327613047480723
Helicia_formosana,NM,-1.691407475301351
